prefecture_id,総数,教授,芸術,宗教,報道,高度専門職１号イ,高度専門職１号ロ,高度専門職１号ハ,高度専門職２号,経営・管理,法律・会計業務,医療,研究,教育,技術・人文知識・国際業務,企業内転勤,興行,技能,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
,2471458,7551,442,4370,237,982,4228,183,101,22888,154,1632,1612,11183,180180,16601,2106,39378,5705,109674,3329,133013,2773,291164,1518,157424,54276,738661,139944,32534,173317,334298
01,29750,292,7,180,0,25,22,6,1,305,0,53,7,424,2002,159,48,825,11,4176,14,4266,109,3576,27,1836,1082,5128,1521,92,342,3214
02,4912,15,0,25,0,5,1,0,0,22,0,2,11,147,170,14,5,78,12,707,21,828,7,365,2,164,85,1124,335,24,130,613
03,6460,11,1,33,0,2,1,1,0,30,0,0,1,106,167,18,1,70,57,980,21,1413,2,293,4,163,63,1862,406,23,127,604
04,19417,273,0,161,0,58,10,0,0,115,0,9,9,231,933,103,28,231,22,1363,0,1541,49,4304,6,1319,150,5038,1015,111,460,1878
05,3812,53,1,7,0,4,1,0,0,17,0,0,0,108,111,9,4,78,8,354,14,467,2,433,0,138,18,1298,211,12,75,389
06,6628,21,0,17,0,3,4,0,0,29,0,19,0,99,194,25,5,70,29,677,34,771,7,294,26,195,34,3149,425,29,183,289
07,12518,41,0,14,0,6,0,0,0,39,0,1,11,193,534,69,15,181,96,1279,12,1550,6,775,6,382,213,4315,1092,85,553,1050
08,60163,177,0,63,0,108,35,1,1,575,0,8,353,374,2366,353,15,887,154,5193,29,7009,160,4195,115,3438,2277,18671,4068,834,6370,2334
09,38618,20,5,39,1,2,19,0,0,285,0,6,5,196,1933,414,10,378,159,2522,26,2624,6,3184,11,1843,2416,13784,2548,630,4053,1499
10,52979,23,0,48,0,5,12,1,0,295,0,5,3,287,2615,131,13,565,198,3347,21,3503,6,2496,7,2267,2528,20022,3462,1003,8531,1585
