prefecture_id,総数,教授,芸術,宗教,報道,高度専門職１号イ,高度専門職１号ロ,高度専門職１号ハ,高度専門職２号,経営・管理,法律・会計業務,医療,研究,教育,技術・人文知識・国際業務,企業内転勤,興行,技能,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
11,160026,221,20,159,3,45,227,0,3,2301,1,148,215,482,13653,616,23,2973,139,5074,49,5912,83,17531,36,14176,4716,57894,9948,3205,11388,8785
12,139823,351,14,143,3,36,261,2,6,1794,3,161,46,406,12522,835,169,2370,124,5528,28,6033,76,17450,34,11565,3238,46869,9939,2421,9654,7742
13,521088,1837,254,1101,208,205,2368,142,54,9439,145,296,393,1780,67756,6092,389,13790,95,3287,9,3283,817,104889,234,53769,14382,135918,26790,6375,20875,44116
14,198557,385,17,219,6,74,703,8,20,1766,3,200,218,748,19497,2564,157,3939,496,3080,73,3666,213,16017,46,17136,3686,75963,12890,3910,13129,17728
15,14892,63,0,19,0,7,1,0,0,102,0,1,4,122,677,103,18,184,79,1061,18,1204,11,2364,20,790,133,4953,1170,92,623,1073
16,15798,32,2,7,0,7,7,0,0,104,0,5,5,118,673,73,12,155,118,1870,55,2436,8,722,31,737,218,5157,923,211,1337,775
17,13247,121,2,16,0,10,4,0,0,25,0,9,1,113,424,41,17,161,58,1618,34,2116,30,2004,11,685,133,2803,647,90,794,1280
18,13203,26,0,11,0,1,2,0,0,18,0,1,2,126,227,39,2,78,48,1353,52,1882,6,458,15,205,103,3881,769,84,1794,2020
19,15079,29,1,28,1,1,16,0,0,135,0,5,0,112,681,31,9,493,76,632,11,646,7,1127,6,860,159,6466,1209,211,1620,507
20,33518,39,3,72,0,8,5,0,0,128,0,18,0,204,942,76,21,404,164,2904,36,2214,13,1671,26,937,440,13441,3468,458,3604,2222
21,49649,35,2,38,0,1,2,0,0,110,0,3,3,149,1206,93,24,450,98,4542,128,6477,20,1849,47,1165,494,18771,2668,731,6688,3855
22,83093,69,2,62,0,6,33,1,3,153,0,26,18,310,2824,458,34,643,777,3756,134,4788,29,3248,65,2079,901,37083,5802,1480,14898,3411
23,234330,574,16,320,0,54,114,2,4,686,0,32,45,337,10810,1504,47,2605,647,10996,374,14757,111,13270,176,10843,5329,86452,13294,3780,30050,27101
24,46176,17,5,28,0,4,10,0,0,112,0,2,2,157,1441,188,22,294,221,3111,254,4577,9,1177,12,1294,721,17700,2595,660,7360,4203
25,26584,47,1,17,0,2,12,0,0,32,0,3,5,158,825,65,4,217,117,1702,48,1978,24,1054,28,546,99,9119,1882,373,4197,4029
26,55647,694,19,85,4,58,38,2,1,289,0,124,37,239,2525,122,34,489,48,1205,55,1319,188,10014,29,2214,820,8252,2217,313,1085,23128
27,223025,581,21,342,3,38,151,10,5,1839,1,274,69,585,14371,722,194,1864,131,4279,106,4965,164,24460,123,9158,3235,47581,9202,2499,9325,86727
28,103505,228,4,351,0,32,62,4,1,533,0,55,68,559,4122,328,72,920,151,3390,128,4132,84,9523,28,4371,839,24284,4149,981,4353,39753
29,11528,40,2,49,0,6,3,0,0,44,0,27,24,69,474,33,2,123,18,717,3,900,49,937,0,441,128,3098,790,92,424,3035
30,6365,10,1,9,0,6,0,0,0,25,0,23,4,70,203,12,2,76,42,394,9,444,8,359,21,134,92,1635,555,35,352,1844
31,4152,27,1,2,0,1,1,0,0,21,0,2,0,77,137,4,5,49,43,466,11,680,7,217,8,157,23,980,230,16,105,882
32,7414,27,1,1,0,3,0,0,1,8,0,2,0,85,123,3,47,54,30,559,4,934,12,301,0,200,14,1905,776,39,1680,605
33,24588,72,2,17,0,3,6,0,0,109,0,22,9,159,1070,70,44,226,216,2545,221,3671,55,3374,15,934,327,4841,1182,142,673,4583
34,47663,122,0,47,0,13,21,0,0,110,0,23,8,233,1900,270,62,333,247,5511,446,7105,46,4241,36,2184,914,12192,1688,469,1966,7476
35,14953,35,0,35,0,2,2,0,0,37,0,2,1,83,360,29,22,107,30,1358,42,1867,24,1598,3,411,134,2384,537,64,261,5525
36,5500,31,0,5,0,2,0,0,0,25,0,6,1,84,122,10,26,102,10,1006,1,1364,3,340,4,238,217,1160,343,37,173,190
37,11290,12,1,15,0,1,0,0,0,31,0,1,2,68,381,52,7,100,271,1781,314,2368,6,529,12,263,566,2522,552,108,659,668
38,11122,47,2,3,0,4,2,0,0,26,0,0,1,113,443,153,11,109,145,1998,251,2930,11,524,5,375,430,1781,539,51,210,958
39,4127,21,0,2,0,1,0,0,0,8,0,9,0,108,76,9,10,76,6,548,0,652,11,657,6,110,36,944,294,13,94,436
40,68573,346,18,270,1,52,52,2,1,781,1,22,13,321,4618,272,171,679,168,4085,40,3765,113,17632,76,4481,779,12687,3042,414,1350,12321
41,5516,20,1,14,0,1,4,0,0,27,0,3,3,61,212,23,17,67,33,932,9,1075,16,778,6,247,75,1006,253,12,114,507
42,11198,55,1,32,0,3,0,0,0,44,0,2,2,182,651,152,59,1227,48,1018,84,1706,17,1961,47,421,347,1750,529,40,170,650
43,12453,69,5,18,0,3,3,0,0,36,0,10,1,138,546,51,44,171,21,2369,75,2331,22,1215,4,518,213,2942,744,68,313,523
44,11362,54,0,41,0,3,1,0,0,61,0,2,1,87,537,34,21,77,12,1125,5,1453,11,3608,4,405,123,1735,453,55,217,1237
45,5367,22,0,13,0,1,0,0,0,31,0,3,1,84,161,17,16,73,7,917,0,1217,10,645,7,223,18,1127,326,18,98,332
46,8364,42,0,41,0,3,1,0,0,29,0,4,1,121,277,12,11,123,0,1416,29,1719,13,706,1,257,53,2316,628,26,301,234
47,14599,194,5,143,1,66,10,1,0,141,0,3,5,145,1545,88,13,179,1,554,1,473,53,2382,18,975,359,4620,1677,108,481,358
未定・不詳,2827,30,5,8,6,1,1,0,0,16,0,0,4,25,143,62,124,35,24,389,0,2,39,417,74,175,916,58,161,10,78,24
