都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,アンドラ,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
10,52979,33314,60,0,559,0,3,777,0,221,500,7273,527,0,0,494,1450,179,0,3,1,2247,327,0,12,3,156,185,0,0,2549,932,7296,0,1,5,16,994,191,6348,4,1,515,1,5,2,8,1,1,3,1,0,0,38,20,1,6,0,18,17,0,0,0,0,0,3,0,0,3,1,2,0,13,3,84,73,0,44,4,6,0,0,121,9,19,0,2,0,0,2,3,0,0,0,1,0,196,3,2,0,41,0,0,0,4,0,0,0,0,8,0,0,0,16,23,0,0,0,8,0,0,0,0,8,0,5,0,0,1,0,24,0,0,2,0,0,0,0,0,0,5,0,20,5,10,4,1,0,6,0,0,636,0,0,0,90,5,1,10,0,3,1,4,1,8,32,1,1,0,0,0,1,478,0,0,18159,172,526,12422,42,47,3,0,186,4747,0,7,7,141,90,0,0,0,0,41,1,1,0,0,7,0,0,1,18
11,160026,140624,105,3,769,1,4,1661,1,266,1265,62948,3150,1,0,1318,2082,469,6,17,12,15707,1457,0,72,4,577,714,0,5,4553,2299,19169,0,83,29,111,3013,1476,17262,14,1,2805,1,20,17,12,11,2,13,13,4,29,335,227,12,40,1,39,132,17,11,0,1,7,14,0,0,12,2,40,11,84,24,112,403,0,123,67,20,0,1,630,84,177,5,5,0,2,13,17,4,0,1,10,0,1850,10,0,2,144,1,0,0,60,0,0,12,0,42,0,6,0,448,69,27,3,4,45,3,1,0,2,29,0,38,3,3,9,1,526,0,5,92,9,1,17,0,0,0,20,7,59,40,24,65,1,1,14,6,1,2617,1,1,0,384,5,11,35,0,8,5,0,8,22,122,3,5,0,1,0,3,2003,0,0,11598,181,159,7271,56,179,11,0,210,3514,0,6,11,483,299,18,1,1,4,146,0,0,2,2,5,0,0,5,49
12,139823,124900,1005,0,887,0,30,858,0,262,3689,47875,3390,1,0,1594,2047,420,11,24,26,15605,800,1,66,0,625,1155,0,3,5267,1088,18242,0,17,36,148,5543,85,14091,7,2,2953,7,30,29,14,14,3,15,19,5,32,306,166,11,36,3,40,102,9,20,1,2,7,19,0,0,6,0,30,10,72,33,99,539,1,90,58,38,0,3,811,100,153,0,1,0,1,4,5,0,0,0,9,0,1264,9,0,1,62,0,0,2,25,1,0,4,0,24,0,2,2,327,14,1,1,12,70,10,3,1,7,6,1,21,4,4,5,1,287,1,5,22,4,1,50,0,0,0,38,4,14,84,58,61,1,2,11,0,1,3112,0,0,1,465,12,13,20,2,10,9,2,17,51,259,4,1,0,0,0,2,2242,1,1,6951,103,180,3491,80,236,9,0,94,2738,0,4,16,615,390,29,0,0,0,172,0,2,4,1,8,0,0,9,28
13,521088,454401,148,47,9369,2,15,4209,28,702,2912,197510,18472,15,5,11809,4305,1025,19,257,25,92156,5625,16,216,43,2726,2328,3,12,25147,1192,31940,10,305,80,1219,8207,782,31502,10,8,29206,22,237,355,155,111,47,133,230,48,251,6573,2843,100,188,33,403,1872,68,109,6,19,31,91,1,10,38,16,500,156,468,211,529,2603,0,1112,930,439,14,32,6370,454,1174,17,29,1,17,21,52,12,1,3,67,4,3371,52,3,10,99,6,0,3,69,1,0,22,7,173,0,9,4,552,164,11,2,37,134,7,21,3,15,43,5,170,21,17,18,2,543,8,13,144,20,5,31,1,0,1,73,7,164,105,191,301,17,17,33,10,7,22749,4,2,4,3259,32,76,44,6,22,32,9,28,96,567,10,19,2,0,5,16,18516,0,0,6710,317,117,3398,146,538,41,0,69,1970,3,25,86,4556,3518,45,2,2,9,918,0,11,8,8,28,0,0,7,95
14,198557,164434,49,22,699,3,8,997,2,1905,2394,64830,5082,3,9,4710,2761,539,4,29,12,28077,1759,1,1239,16,1032,733,3,2,5139,1149,21101,13,165,27,278,4341,215,15082,2,2,7168,3,74,77,37,27,19,49,36,17,48,1010,1075,34,69,0,77,354,47,27,0,5,9,24,0,1,24,1,129,39,136,55,234,847,1,270,155,125,18,12,1632,188,136,2,13,0,0,6,9,5,1,1,10,0,1766,28,0,0,38,6,0,1,39,1,0,8,2,13,0,2,1,338,25,5,1,38,69,1,2,3,8,37,1,62,6,11,13,0,464,2,11,121,1,1,6,2,0,0,118,5,46,30,61,92,10,10,21,6,0,7000,0,2,1,911,31,20,185,2,18,14,5,9,85,248,18,4,0,1,0,9,5436,1,0,17100,660,747,8549,42,293,44,2,247,6468,0,6,42,999,759,18,0,0,8,199,0,1,3,1,6,1,0,3,90
15,14892,13207,27,0,121,0,0,78,0,37,199,4921,203,0,1,60,360,13,0,2,2,1789,130,0,18,0,83,207,0,0,298,274,2316,1,1,1,23,424,5,1612,0,1,572,4,3,3,1,0,1,1,1,0,0,38,26,1,3,0,4,22,14,3,0,0,1,1,0,0,0,0,23,1,8,1,20,199,0,21,5,6,0,9,111,10,20,1,3,0,1,1,3,0,0,1,1,0,132,0,0,0,7,0,0,0,1,0,0,1,0,5,1,1,0,15,0,3,0,3,15,0,0,0,3,5,0,9,0,1,5,1,12,0,0,8,0,0,3,0,0,0,4,1,3,1,15,7,1,0,0,0,1,461,0,0,0,59,5,0,1,0,1,3,0,1,4,42,0,1,0,0,0,2,342,0,0,392,6,2,304,1,5,0,0,1,70,0,0,3,127,86,3,0,0,2,35,0,0,0,1,0,0,0,0,1
16,15798,12354,1,0,57,0,0,108,0,71,54,5046,172,0,1,147,382,3,0,6,1,918,110,0,4,0,100,26,0,0,66,505,2084,0,0,5,5,194,1,2287,0,0,656,4,1,2,3,3,0,5,1,1,4,17,8,0,4,0,4,8,0,2,0,0,1,0,0,0,6,0,2,1,1,2,32,467,0,5,0,3,0,1,43,17,3,0,0,0,0,0,2,0,0,0,3,0,56,1,0,0,2,0,0,0,11,0,0,2,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,4,0,0,1,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,5,19,1,0,0,0,0,243,1,0,0,28,0,0,2,0,1,0,0,0,10,7,2,0,0,0,0,3,189,0,0,2452,3,26,2231,3,2,0,0,135,49,0,0,3,37,29,0,0,0,0,6,0,1,0,0,0,0,0,1,0
17,13247,11097,1,0,207,0,0,83,0,36,14,4452,180,0,0,103,637,6,3,0,1,1410,195,0,3,0,49,97,0,1,187,38,942,0,0,8,7,274,8,2154,0,1,345,0,3,7,1,4,0,3,1,0,6,35,26,1,4,0,13,17,0,0,0,0,0,2,0,0,0,0,3,3,5,0,18,73,0,12,4,6,0,2,71,9,1,0,1,0,2,0,6,0,0,0,6,0,101,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,1,0,1,0,0,5,0,12,1,0,1,0,0,0,1,0,0,1,0,4,0,6,58,0,1,1,0,0,333,0,0,0,45,0,2,3,0,1,1,0,1,6,11,3,0,0,0,0,2,258,0,0,1310,14,12,1156,2,7,0,0,8,109,0,1,1,61,41,2,0,0,0,14,0,0,0,0,4,0,0,0,0
18,13203,9406,8,0,130,0,2,16,0,142,7,3114,117,0,0,11,235,5,1,1,0,2210,281,0,2,0,75,13,0,1,74,21,1389,0,0,0,3,227,1,1320,0,0,171,0,0,0,0,1,0,2,0,0,2,14,9,0,3,0,5,9,0,1,0,0,0,0,0,0,1,0,3,0,2,5,3,71,0,2,1,1,0,0,24,8,2,0,0,0,1,0,1,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,7,4,0,0,0,0,0,234,0,0,0,25,0,1,0,0,0,0,0,0,4,1,1,1,0,0,0,1,200,0,0,3344,1,0,3251,2,3,0,0,5,82,0,0,0,25,18,0,1,0,0,6,0,0,0,0,0,0,0,0,5
19,15079,10995,1,0,13,0,0,27,1,8,75,3468,532,1,0,293,240,53,0,3,0,1924,45,0,14,0,80,38,0,0,219,33,2007,0,0,0,9,688,6,1217,0,0,250,0,2,4,0,0,2,3,3,0,3,36,20,0,2,0,8,8,0,3,0,0,0,1,0,0,0,0,7,5,4,5,5,26,0,3,3,7,0,0,80,3,2,0,0,0,0,0,1,0,0,0,4,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,3,0,0,7,0,0,4,0,0,0,0,0,3,1,5,6,1,1,1,0,0,372,1,1,0,62,1,1,1,0,1,1,0,0,3,3,0,0,0,0,0,5,292,0,0,3356,9,37,2563,1,21,0,0,22,694,1,0,8,62,43,1,0,0,1,14,0,0,0,0,2,0,0,1,4
20,33518,25837,5,0,167,0,3,66,0,87,247,9523,712,0,0,71,929,48,2,4,1,3442,327,0,8,0,106,75,1,0,353,206,4640,1,5,0,29,2297,9,2472,0,1,592,0,11,10,2,1,0,8,4,1,5,86,61,0,7,0,3,25,6,0,0,0,1,1,0,1,0,1,20,1,11,3,9,44,0,14,14,9,0,2,205,4,14,0,0,0,0,1,4,3,0,0,0,0,74,1,0,4,0,0,0,1,2,0,0,2,0,3,0,0,0,3,0,1,0,0,3,0,0,0,2,0,0,5,0,0,0,0,9,0,0,5,1,2,0,0,0,0,2,0,3,3,8,11,0,0,3,0,0,778,0,0,0,144,1,1,8,0,2,0,1,1,9,26,4,0,0,0,0,1,580,0,0,5874,29,152,5088,9,17,5,0,122,443,0,1,8,360,310,1,0,0,0,49,0,0,0,0,0,0,0,0,3
21,49649,36903,29,0,412,0,0,133,0,562,328,11740,196,0,7,107,675,21,0,6,1,3845,561,0,8,1,79,35,0,1,670,316,11659,0,0,5,11,535,72,4888,0,0,460,0,3,3,1,1,0,2,1,0,3,37,31,0,1,0,6,20,5,0,0,0,0,2,0,0,5,0,5,0,3,2,85,67,0,22,9,4,0,0,100,28,7,0,0,0,2,2,0,0,0,0,3,0,121,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,11,6,0,0,3,7,0,0,0,0,2,0,2,0,0,0,0,14,0,0,11,1,0,0,0,0,0,2,0,0,3,3,46,0,1,0,0,0,505,0,0,0,88,0,4,10,0,0,5,0,2,4,35,0,0,0,0,0,1,356,0,0,11549,33,67,10564,4,11,3,0,18,844,0,2,3,109,74,0,0,0,0,30,0,0,0,0,2,0,0,3,2
22,83093,47513,6,0,718,0,2,211,1,82,806,11527,762,0,1,516,2608,74,0,9,2,4882,421,0,189,0,186,81,0,3,1229,402,15313,0,0,5,39,1447,42,5948,0,1,862,0,4,6,6,6,2,6,6,1,8,103,57,5,6,0,12,37,2,2,1,0,1,3,0,0,0,1,14,2,18,10,91,129,0,26,14,13,1,0,209,35,12,0,1,0,0,0,8,0,0,0,4,0,142,1,0,0,15,0,1,0,2,0,0,1,0,0,0,2,0,5,1,0,0,0,9,0,0,0,0,2,0,5,0,1,0,1,43,0,0,7,0,0,3,0,0,0,3,0,4,3,16,11,0,1,1,1,3,1131,1,0,0,171,3,6,13,0,8,4,0,4,26,57,9,3,0,0,0,9,817,0,0,33219,244,289,27473,18,219,9,1,225,4703,0,23,15,217,130,1,0,0,0,80,0,1,1,0,1,0,0,3,9
23,234330,163087,250,0,1055,17,26,502,1,738,1607,46861,1997,1,1,1158,6093,184,2,15,24,30704,2343,1,54,7,440,481,0,1,6835,1436,34514,0,20,34,84,2931,1557,21105,5,3,3124,9,18,51,16,30,12,26,6,5,29,453,221,6,33,2,40,169,13,6,0,1,4,8,0,1,16,7,34,21,68,37,230,240,0,136,38,25,0,0,765,141,159,4,2,0,1,0,20,0,1,1,19,0,949,18,10,3,15,0,0,0,23,0,0,3,0,13,0,4,0,117,10,8,0,5,46,0,0,0,7,4,1,35,3,2,7,5,200,0,3,27,2,0,2,0,0,2,21,1,11,111,75,129,6,4,14,1,1,3720,0,0,0,617,8,15,34,0,6,9,0,9,50,162,3,2,1,0,0,1,2803,0,0,62786,365,1150,52919,61,300,17,1,321,7598,1,12,41,630,443,11,3,1,3,151,1,3,0,2,8,0,0,4,34
24,46176,28343,57,0,302,0,0,66,1,123,541,7708,363,0,0,58,1349,28,0,1,1,4509,360,0,11,2,72,187,0,0,797,196,6389,0,1,15,18,1300,24,3864,0,0,357,6,1,2,1,1,0,3,2,0,3,45,36,3,7,0,7,19,2,0,0,0,0,0,0,0,2,0,5,1,5,2,16,36,0,47,3,8,0,0,72,12,3,0,1,0,0,0,0,0,1,0,4,1,158,1,1,0,2,1,0,0,6,0,0,1,0,0,0,0,1,29,2,0,0,4,10,0,1,0,1,3,0,1,0,0,0,1,30,0,0,3,0,0,3,0,0,0,2,0,4,16,8,19,1,4,3,0,0,422,0,0,0,70,2,1,1,0,0,0,0,1,10,42,0,0,0,0,0,0,294,0,1,16813,49,916,12683,21,20,1,0,36,3086,0,0,1,79,54,4,0,0,0,19,0,0,2,0,0,0,0,0,4
25,26584,15311,20,0,120,1,2,67,0,51,27,4722,191,0,0,94,769,9,0,2,0,4314,345,0,4,0,108,52,0,0,172,22,2272,0,3,0,10,253,7,1674,0,0,334,0,2,5,0,0,0,0,2,1,5,36,32,2,8,0,1,21,13,0,0,0,0,1,0,0,0,0,7,1,9,3,9,30,0,14,10,9,0,0,97,5,11,0,0,0,0,0,0,0,0,0,0,0,61,1,0,0,4,0,0,0,1,0,0,0,0,9,0,0,0,1,0,0,0,2,8,0,0,0,0,2,0,6,0,0,0,0,11,0,0,3,0,0,0,0,0,0,4,0,1,2,1,5,0,0,0,0,0,510,0,0,0,61,1,0,25,0,1,1,1,6,10,33,0,0,0,0,0,2,369,0,0,10290,34,306,8262,8,21,2,0,29,1604,0,1,23,75,52,0,2,0,0,21,0,0,0,0,0,0,0,0,3
