都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,アンドラ,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
,2471458,2050909,2873,78,20346,31,180,13033,63,9598,20716,711486,54358,39,34,30048,46350,3988,115,566,160,452953,31674,28,2730,113,9394,8364,27,52,74300,14312,251934,25,791,569,2763,48952,5167,232562,71,66,73151,77,582,829,456,314,159,397,514,331,790,12273,6755,293,604,62,1084,4019,401,329,9,35,214,428,1,19,155,39,1279,399,1459,594,2410,8500,3,2852,1773,1077,39,131,16498,1858,2269,43,96,2,54,106,266,36,5,12,211,10,15143,205,20,43,555,14,2,17,387,6,1,82,11,439,1,42,26,2235,389,65,8,140,762,30,57,11,102,174,18,524,99,68,136,21,2845,17,97,590,53,13,232,9,1,4,444,32,505,560,834,1800,75,117,156,36,33,69875,29,19,9,10085,158,236,521,12,132,133,36,193,723,2393,94,57,6,5,5,101,54918,3,7,247938,2710,5657,185967,652,2366,214,10,2011,47861,5,107,378,13854,9981,249,14,12,40,3217,2,54,36,41,129,2,8,69,588
01,29750,24924,59,0,266,0,4,146,1,131,88,9513,1061,1,0,246,393,22,0,7,3,4280,663,1,9,0,201,223,1,2,686,221,1676,0,9,6,48,569,21,4366,0,1,1920,0,16,22,13,6,7,9,19,2,36,202,123,6,17,2,56,50,9,11,0,2,2,12,0,1,0,0,16,8,74,11,24,516,0,36,29,34,0,1,485,22,16,1,5,0,1,3,12,3,0,0,0,0,338,1,0,0,4,0,0,0,0,1,0,3,0,13,0,5,1,9,7,2,0,8,12,0,0,0,18,1,0,7,12,3,3,0,35,0,1,15,0,0,0,0,0,0,4,1,7,14,26,87,6,28,2,1,1,1570,0,0,0,301,5,9,2,0,2,3,0,4,19,34,2,1,0,0,0,1,1187,0,0,249,9,7,156,10,18,4,0,8,31,0,2,4,739,575,5,0,0,0,142,0,4,0,4,2,0,3,4,10
02,4912,4264,7,0,19,0,0,6,0,76,2,1202,64,0,0,30,116,2,0,0,0,762,79,0,4,0,65,8,0,0,117,65,579,0,0,0,4,102,2,953,0,0,129,0,0,0,0,0,0,0,1,0,0,19,10,0,3,0,3,4,0,0,0,0,0,0,0,0,0,0,1,0,2,0,20,19,0,13,1,0,0,0,31,1,0,0,0,0,0,0,1,0,0,0,0,0,23,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,3,5,0,0,0,0,0,422,0,0,0,36,0,0,0,0,1,0,0,0,5,6,0,0,0,0,0,0,374,0,0,39,2,1,28,0,3,0,0,0,5,0,0,0,34,21,0,0,0,0,12,0,0,0,1,0,0,0,0,1
03,6460,6016,7,0,91,0,2,16,0,19,7,2061,73,0,0,33,185,1,0,0,0,802,98,0,5,0,14,47,0,0,81,43,1211,0,0,1,8,70,0,1141,0,0,122,0,1,1,0,0,0,0,1,0,1,11,16,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,1,0,3,0,6,15,0,5,2,3,0,0,42,4,0,0,0,0,0,0,1,0,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,1,0,0,1,0,0,0,0,3,2,0,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,218,0,0,0,34,0,1,0,0,1,0,0,1,2,6,0,1,0,0,0,0,172,0,0,51,2,0,36,1,3,1,0,4,4,0,0,0,34,25,0,0,0,0,7,0,0,0,0,2,0,0,0,0
04,19417,17134,21,0,158,0,8,166,0,38,132,5868,326,1,0,164,696,33,0,3,2,3341,298,3,3,1,126,104,0,3,1224,230,1266,0,1,9,25,287,45,2548,3,1,666,1,7,5,1,5,2,11,3,3,15,109,69,3,6,1,8,29,3,1,0,0,3,3,0,0,0,0,13,1,10,5,16,112,0,34,38,8,0,0,113,14,4,2,0,0,0,0,6,1,0,0,1,0,191,5,0,5,11,0,0,1,7,0,0,2,0,4,0,4,0,23,1,0,0,1,15,0,0,0,3,1,0,6,1,0,3,0,16,0,1,8,2,0,1,0,0,0,3,0,4,8,21,30,2,1,0,1,0,915,0,1,0,124,3,9,2,0,6,5,1,3,18,31,2,1,0,0,0,1,708,0,0,362,6,10,256,14,8,2,0,4,50,0,1,11,137,97,7,1,0,0,30,0,0,0,0,1,0,0,1,12
05,3812,3267,4,2,5,0,0,5,2,41,2,1113,51,0,0,20,62,6,0,1,0,546,64,0,2,0,50,35,0,0,87,19,759,0,0,0,3,69,1,318,0,0,177,0,0,0,1,0,1,1,4,0,8,23,11,1,1,0,5,6,0,1,0,0,1,2,0,0,0,0,10,5,3,1,7,29,0,5,2,2,0,0,38,4,1,0,0,0,0,0,3,0,0,0,1,0,31,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,1,0,0,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,0,3,1,0,0,265,1,0,0,27,0,0,0,0,0,1,0,1,1,6,0,0,0,0,0,1,227,0,0,13,1,0,5,1,1,0,0,0,4,0,1,0,58,24,8,0,0,0,19,0,4,0,0,3,0,0,0,1
06,6628,6141,1,0,37,0,0,24,3,42,4,2221,122,0,0,26,125,5,1,3,0,1592,39,0,3,0,38,21,0,0,55,44,773,0,1,1,2,140,5,810,0,3,132,0,1,1,1,0,0,0,2,1,0,6,12,2,8,0,12,6,0,0,0,0,3,0,0,0,0,0,1,0,0,0,7,10,0,0,0,0,0,1,55,1,0,0,0,0,0,0,2,0,0,0,0,0,34,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,1,0,5,0,4,0,0,0,0,0,0,0,2,0,0,2,2,1,0,1,0,0,0,187,0,0,0,33,0,1,0,0,0,0,0,1,3,0,0,0,0,0,0,0,149,0,0,97,0,11,69,1,0,1,0,3,11,0,0,1,36,21,0,0,0,0,14,0,0,0,0,0,0,0,1,1
07,12518,11434,24,0,232,0,0,47,1,52,49,3596,123,0,0,94,272,8,0,1,0,1462,236,0,9,0,34,50,0,0,502,112,2522,0,2,4,8,333,5,1656,0,0,257,0,2,0,2,1,0,1,1,1,1,15,17,0,2,0,5,5,1,0,0,0,0,0,0,0,0,0,6,1,6,2,7,39,0,22,0,3,0,0,87,21,7,0,0,0,0,0,1,1,0,0,0,0,52,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,18,0,0,3,0,0,1,0,0,0,3,0,4,1,4,7,0,0,1,0,0,394,2,0,0,82,1,0,3,0,1,0,0,0,12,10,0,0,0,0,0,2,281,0,0,285,6,3,221,1,5,2,0,9,34,0,0,4,94,59,9,0,0,0,25,0,0,0,0,1,0,0,0,2
08,60163,49267,221,0,340,1,3,543,2,637,1948,12425,1332,2,1,1016,3285,219,26,8,1,4341,330,1,287,6,220,208,0,1,1215,1275,9598,0,7,7,38,4635,35,5051,1,1,1324,0,7,10,10,16,5,11,6,3,11,148,88,15,17,0,20,43,31,31,0,0,2,9,0,1,5,0,26,7,35,5,35,218,0,39,9,13,4,33,217,50,92,2,7,0,8,14,9,2,0,0,10,0,551,8,1,0,28,0,0,1,13,0,0,1,0,14,0,2,2,50,15,1,0,2,32,3,9,1,2,4,0,19,9,0,7,2,91,0,4,8,2,0,15,0,0,0,7,0,30,36,12,91,4,13,6,1,5,1047,0,0,0,160,3,3,13,0,3,6,0,5,21,52,6,0,0,0,0,1,770,0,4,7771,52,104,5847,17,73,2,0,18,1644,0,1,13,186,119,18,0,0,1,34,0,3,4,3,2,0,1,1,17
09,38618,28967,57,0,310,0,0,431,0,181,1154,6695,1012,0,1,816,872,138,2,5,1,2412,217,0,21,1,153,134,0,0,2441,760,5088,0,13,3,16,1855,37,4141,0,0,445,1,7,2,0,1,0,1,4,5,3,50,31,0,3,0,13,12,4,2,0,0,0,5,0,0,1,0,8,1,9,3,39,63,0,7,8,5,1,0,131,8,14,1,0,0,0,0,1,0,0,0,1,0,212,1,0,1,20,0,0,0,20,0,0,1,0,3,0,0,1,23,18,1,0,2,12,1,0,0,4,2,0,7,0,0,7,0,38,0,1,7,1,0,0,0,0,0,2,1,2,7,11,10,2,2,4,0,0,659,0,0,0,78,5,2,16,0,1,3,1,4,8,30,0,0,0,0,0,3,508,0,0,8237,125,350,4356,6,41,0,0,97,3249,0,0,13,90,55,4,0,0,0,26,0,0,1,0,1,0,1,2,8
