id,total,change
,126434634,-244014
010006,5441079,-29639
020001,1363963,-14066
030007,1305990,-9080
040002,2314509,1353
050008,1066538,-13274
060003,1145288,-11084
070009,1966594,-14289
080004,2944064,-13120
090000,1980414,-6788
100005,1979094,-9507
110001,7168616,9007
120006,6141503,-3106
130001,12807627,67539
140007,8940001,11415
150002,2341907,-16420
160008,1078692,-6167
170003,1152949,-3562
180009,797066,-4435
190004,848292,-5608
200000,2130885,-10599
210005,2054702,-10293
220001,3731920,-15504
230006,7288942,11738
240001,1827576,-7946
250007,1397955,461
260002,2534567,-7187
270008,8678514,-6635
280003,5560378,-13523
290009,1392193,-6733
300004,1006455,-8130
310000,583274,-4107
320005,706064,-5467
330001,1924542,-5689
340006,2838523,-7699
350001,1429968,-11015
360007,777454,-5993
370002,1001667,-4554
380008,1427866,-9795
390003,750927,-6882
400009,5063541,2198
410004,848040,-4149
420000,1416850,-11683
430005,1816276,-7132
440001,1188155,-6704
450006,1138313,-5851
460001,1696429,-10346
470007,1438472,6036
