id,total,change
,126163576,-271058
010006,5408756,-32323
020001,1349355,-14608
030007,1295341,-10649
040002,2312179,-2330
050008,1052988,-13550
060003,1134713,-10575
070009,1955339,-11255
080004,2931112,-12952
090000,1973150,-7264
100005,1969892,-9202
110001,7178177,9561
120006,6142717,1214
130001,12880143,72516
140007,8950660,10659
150002,2324312,-17595
160008,1072631,-6061
170003,1149097,-3852
180009,792166,-4900
190004,842099,-6193
200000,2118697,-12188
210005,2044115,-10587
220001,3714790,-17130
230006,7297292,8350
240001,1818842,-8734
250007,1397783,-172
260002,2527697,-6870
270008,8667415,-11099
280003,5543171,-17207
290009,1384855,-7338
300004,997903,-8552
310000,579554,-3720
320005,700491,-5573
330001,1918637,-5905
340006,2829993,-8530
350001,1418451,-11517
360007,771627,-5827
370002,996717,-4950
380008,1417179,-10687
390003,743616,-7311
400009,5063272,-269
410004,843124,-4916
420000,1405133,-11717
430005,1808418,-7858
440001,1180721,-7434
450006,1131341,-6972
460001,1684792,-11637
470007,1443123,4651
