id,total,change
,1980200,409539
010006,21144,6277
020001,3764,951
030007,5171,1090
040002,13803,2866
050008,3580,858
060003,6091,1122
070009,9117,1466
080004,49193,10778
090000,29350,6350
100005,40551,8620
110001,116081,26524
120006,104205,20302
130001,385195,88554
140007,159511,27460
150002,12810,2560
160008,13162,2815
170003,10460,2286
180009,11613,2670
190004,13542,2390
200000,30738,7757
210005,44227,12190
220001,73944,19867
230006,189787,38912
240001,41035,9661
250007,24063,4521
260002,50891,9434
270008,199800,27081
280003,95478,13275
290009,10724,2108
300004,5581,770
310000,3906,761
320005,5256,1125
330001,20386,4820
340006,37560,9355
350001,13162,2070
360007,4894,1419
370002,8057,2197
380008,8672,1943
390003,3149,791
400009,51954,11243
410004,4111,1042
420000,6988,1881
430005,8782,2517
440001,9420,2446
450006,4001,1040
460001,6114,1164
470007,9177,2210
