id,total,change
,2062907,59528
010006,22902,936
020001,3981,86
030007,5622,245
040002,15954,1024
050008,3591,-97
060003,6022,-8
070009,10047,545
080004,50661,1087
090000,31267,1409
100005,42311,1718
110001,126719,6487
120006,111389,5032
130001,417442,23032
140007,166006,5401
150002,13173,208
160008,13079,159
170003,10666,235
180009,11339,176
190004,13403,80
200000,29806,-123
210005,43480,6
220001,71316,-245
230006,192654,2990
240001,41271,-13
250007,23559,-265
260002,51608,271
270008,201455,1275
280003,95167,184
290009,10793,-48
300004,5827,46
310000,3797,4
320005,5707,407
330001,21085,419
340006,39166,1389
350001,13089,-89
360007,4940,52
370002,8853,492
380008,9188,527
390003,3506,158
400009,56925,1653
410004,4300,55
420000,8022,339
430005,9896,486
440001,10077,378
450006,4311,138
460001,6635,273
470007,10900,1014
