id,total,change
,125583658,-308084
010006,5342618,-33593
020001,1319349,-14909
030007,1271103,-12504
040002,2300472,-6615
050008,1025559,-13877
060003,1112238,-11271
070009,1926751,-16103
080004,2903615,-13625
090000,1955876,-9443
100005,1949754,-10771
110001,7194582,7692
120006,6152877,7207
130001,13043707,77400
140007,8969530,7806
150002,2286482,-19140
160008,1059931,-6532
170003,1141345,-4349
180009,782230,-5024
190004,830262,-5753
200000,2094757,-12457
210005,2019491,-12564
220001,3680266,-17664
230006,7315013,7089
240001,1798308,-10090
250007,1395217,-807
260002,2515005,-6861
270008,8646380,-11784
280003,5506465,-17578
290009,1368900,-8064
300004,978540,-9795
310000,571173,-4245
320005,689603,-5510
330001,1903779,-7854
340006,2812091,-8897
350001,1394042,-11993
360007,758844,-6262
370002,987146,-5365
380008,1394413,-11460
390003,728616,-7775
400009,5062176,-575
410004,832834,-5080
420000,1381794,-11745
430005,1786651,-13086
440001,1165898,-7662
450006,1114552,-8993
460001,1660215,-12155
470007,1453208,4552
