都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,アンドラ,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
30,6233,5737,0,0,9,0,0,5,0,20,5,1359,116,0,0,51,172,2,0,2,0,2135,174,0,2,3,26,16,0,0,47,9,720,0,0,5,5,439,7,408,0,0,136,0,0,2,2,1,0,2,0,0,0,17,8,1,1,0,5,5,0,0,0,0,1,0,0,0,0,0,0,2,14,0,3,13,0,5,2,1,0,0,44,6,0,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,3,0,0,0,0,0,209,0,0,0,29,0,0,0,0,1,0,0,1,6,5,1,1,0,0,0,0,165,0,0,92,1,0,79,0,0,0,0,0,12,0,0,0,42,25,0,0,0,0,16,0,0,0,1,0,0,0,0,2
31,4156,3772,0,0,46,0,0,7,0,62,0,1067,48,0,0,30,117,0,0,1,1,924,122,0,2,0,21,22,0,0,18,27,530,0,0,0,0,89,2,636,0,0,111,0,1,3,0,0,1,1,0,0,2,14,4,3,1,0,6,2,0,0,0,0,0,3,0,0,0,0,2,3,1,0,4,25,0,1,1,0,0,0,29,1,1,0,0,0,0,0,2,0,0,0,0,0,83,0,0,1,0,0,0,0,0,0,0,0,0,22,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,26,0,0,0,0,0,0,4,2,12,0,0,2,0,0,141,0,0,0,25,0,0,0,0,1,0,0,1,6,6,0,0,0,0,0,0,102,0,0,29,0,1,23,0,1,0,0,1,3,0,0,0,20,12,0,0,0,0,8,0,0,0,0,0,0,0,0,0
32,7120,4330,17,0,74,0,0,76,0,129,2,1557,34,0,0,13,135,0,0,0,1,670,68,0,2,0,19,24,0,0,28,1,850,0,0,0,1,56,0,573,0,0,93,0,0,1,0,0,1,0,1,0,1,10,14,0,0,0,2,4,3,0,0,0,0,0,0,0,1,0,3,0,3,1,3,17,0,1,0,2,0,0,22,2,0,0,0,0,0,0,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,3,5,0,0,0,0,0,157,0,0,0,13,0,0,0,0,0,0,0,0,5,2,0,1,0,0,0,2,134,0,0,2486,0,0,2480,0,2,0,0,0,4,0,0,0,26,15,0,0,0,0,11,0,0,0,0,0,0,0,0,2
33,24146,21934,9,0,148,0,0,65,0,236,51,7985,193,0,0,93,820,7,0,3,5,5028,406,0,10,0,115,8,0,0,251,107,1835,0,10,5,5,266,36,4237,0,0,401,1,3,6,1,0,0,1,4,0,3,40,32,2,5,1,3,22,0,1,0,0,0,2,0,0,0,0,7,1,10,19,17,44,0,7,4,3,0,0,129,12,6,0,0,0,0,1,9,0,0,0,5,0,93,3,0,0,9,0,0,0,2,0,0,0,0,0,0,0,1,3,1,0,0,1,17,0,0,0,0,1,0,1,0,0,0,0,8,0,0,2,0,0,1,0,0,0,2,0,5,2,2,30,1,0,1,0,0,482,0,1,1,82,0,0,1,0,0,0,1,0,10,13,0,1,0,0,0,3,369,0,0,1128,6,23,966,5,2,0,0,8,117,0,0,1,107,74,3,0,0,0,24,0,1,0,0,5,0,0,0,1
34,46047,41050,66,0,208,0,0,157,0,179,68,14001,307,2,1,420,1480,14,1,4,1,7848,916,0,37,0,92,82,0,0,203,42,6891,0,5,35,37,932,13,7008,0,0,741,2,2,5,8,9,8,1,10,0,3,52,65,6,8,0,15,33,6,3,0,0,1,2,0,0,8,0,14,5,12,4,20,115,0,36,2,12,0,0,170,73,16,0,0,0,0,3,7,0,0,2,2,1,219,6,0,0,2,0,0,0,12,0,0,0,0,3,0,0,1,11,6,0,0,2,21,2,0,0,1,0,0,2,9,0,2,0,19,0,11,2,1,0,2,0,0,0,2,0,5,2,19,71,1,2,1,1,0,924,3,0,0,101,1,3,8,0,3,2,0,2,13,29,0,0,0,0,0,3,755,0,1,2938,11,13,2283,1,11,2,0,9,603,0,1,4,162,112,4,0,0,0,40,0,2,0,3,1,0,0,0,13
35,14743,13870,15,0,31,0,0,63,0,54,19,3036,138,0,0,37,314,2,0,0,0,5415,792,0,14,0,61,8,0,0,273,10,1439,0,1,0,3,127,5,2013,0,0,216,0,0,1,3,1,0,1,2,1,1,21,15,1,2,1,4,9,0,0,0,0,0,1,0,0,0,0,2,2,2,2,8,20,0,16,5,2,0,0,62,21,1,1,0,0,0,1,5,0,0,0,2,0,28,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,6,0,0,2,2,5,0,0,1,0,1,433,0,0,0,49,3,0,1,0,0,0,0,0,8,5,3,0,0,1,0,0,363,0,0,160,7,1,104,2,17,1,0,0,28,0,0,0,36,23,1,0,0,1,7,0,2,1,0,0,0,0,1,0
36,5476,4981,19,0,47,0,0,42,0,105,4,2094,47,0,0,44,243,2,0,2,0,319,26,0,13,0,42,47,0,0,45,24,691,0,0,1,3,117,1,1003,0,0,131,0,1,0,0,0,0,0,0,1,5,13,14,0,1,0,4,3,0,1,0,0,0,1,0,0,1,0,2,1,1,1,14,20,0,2,5,0,0,0,29,8,0,0,0,0,0,1,1,0,0,0,1,0,55,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,2,36,1,1,0,0,0,196,0,0,0,47,0,0,0,0,1,0,0,0,3,9,0,0,0,0,0,0,136,0,0,73,3,1,40,1,9,0,0,1,13,0,0,5,39,23,1,1,0,0,9,0,3,0,1,0,0,0,1,1
37,10723,9648,0,0,113,0,0,34,1,271,4,3705,84,0,0,37,570,2,0,0,0,866,62,0,132,0,41,10,0,0,281,36,1646,0,0,0,4,122,5,1622,0,0,176,0,2,0,2,0,0,0,4,0,0,19,10,2,1,0,10,24,1,0,0,0,0,0,0,0,0,0,2,1,4,2,12,10,0,13,4,4,0,0,41,6,0,0,0,0,2,0,0,0,0,0,0,0,30,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,1,0,2,1,0,0,1,5,0,0,3,0,0,1,0,0,0,0,0,0,0,4,3,0,0,2,0,0,211,0,0,0,37,0,1,0,0,0,0,0,0,7,2,1,0,1,1,0,1,160,0,0,623,6,8,180,1,8,1,0,2,417,0,0,0,33,24,0,0,0,0,7,0,1,1,0,0,0,0,0,2
38,11020,10174,0,0,30,0,1,18,0,98,9,4432,120,0,0,77,440,2,1,3,0,1164,130,0,6,0,46,12,0,0,133,17,1518,0,0,6,5,157,4,1744,1,0,193,0,1,2,2,3,0,1,1,1,1,29,19,0,3,0,4,9,0,0,0,0,0,2,0,0,1,0,4,0,1,0,5,16,0,17,2,2,0,0,58,4,1,0,0,0,0,0,1,0,0,1,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,1,3,0,4,0,4,0,0,3,1,0,1,1,0,0,1,0,0,11,4,4,0,1,0,0,0,251,1,0,0,31,0,2,3,0,0,0,0,1,8,5,0,0,1,0,0,1,198,0,0,289,6,4,219,0,2,13,0,10,32,0,0,3,65,41,0,0,0,0,24,0,0,0,0,0,0,0,0,2
39,3997,3587,0,0,30,0,0,34,1,43,6,1247,54,0,0,52,253,6,0,0,0,527,42,0,0,0,12,12,0,0,58,9,657,0,0,1,3,73,0,467,0,0,110,0,0,1,1,0,0,1,3,0,0,14,5,0,1,0,3,2,0,0,0,0,1,0,0,0,1,0,3,0,2,0,5,6,0,4,4,1,0,0,50,2,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,11,4,1,0,0,0,1,171,0,0,0,28,0,1,1,0,0,0,0,2,1,2,0,0,0,0,0,0,136,0,0,31,3,0,19,0,4,0,0,1,4,0,0,0,65,47,0,0,0,0,15,0,0,0,0,2,1,0,0,0
