都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,グルジア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,セルビア,モンテネグロ,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
16,13361,10072,2,0,6,0,0,84,0,11,11,5418,92,0,1,112,155,6,0,2,0,1198,0,4,0,100,21,0,0,51,448,1685,0,0,4,4,123,0,534,0,0,585,7,1,1,3,2,0,5,0,0,3,10,3,0,0,0,5,7,1,2,0,0,5,0,0,0,3,0,1,2,0,0,34,427,0,5,0,1,0,2,40,10,2,0,0,0,0,2,0,0,1,0,0,39,0,0,0,6,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,4,10,0,0,0,0,0,218,0,0,0,22,1,0,4,0,0,0,0,1,7,8,5,0,0,0,0,1,169,0,0,2408,5,20,2220,1,2,1,0,116,43,0,0,0,39,28,1,0,0,0,8,0,1,0,0,0,0,0,1,0
17,10773,9059,6,0,24,0,1,58,0,2,13,4841,97,0,0,88,405,12,0,1,1,1824,0,3,3,64,29,0,1,70,35,644,0,1,1,9,207,3,615,1,0,309,0,2,10,0,4,0,5,4,1,4,31,27,1,6,0,12,11,1,0,0,0,0,1,0,0,0,0,1,1,7,0,20,63,0,9,4,6,0,0,61,7,1,0,1,0,0,6,0,0,2,0,0,88,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,4,0,0,0,0,0,1,1,0,5,0,9,1,0,0,0,0,0,0,0,0,0,4,1,5,52,0,0,1,0,0,301,0,0,0,46,0,1,1,0,0,0,0,1,2,10,1,0,0,0,0,1,238,0,0,954,6,6,855,1,6,0,0,4,71,0,2,3,62,39,2,0,0,0,18,0,0,0,0,3,0,0,0,0
18,11689,8865,8,0,5,0,0,21,0,3,7,4009,40,0,1,5,131,5,1,1,0,2906,0,1,0,58,20,0,1,23,8,1187,0,0,0,3,189,2,230,0,0,147,0,1,0,0,1,0,1,1,0,1,7,9,0,1,1,6,2,0,1,0,0,0,0,0,0,1,0,2,2,1,2,6,63,0,3,0,0,0,0,24,7,3,0,0,0,0,1,0,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,11,2,0,0,0,0,0,196,1,0,0,29,0,1,0,0,1,0,0,0,2,1,0,1,0,0,0,1,159,0,0,2449,1,0,2366,1,2,0,0,3,75,0,0,1,10,7,0,0,0,0,2,0,1,0,0,0,0,0,0,5
19,13996,9731,2,0,6,0,0,30,1,3,53,3525,365,1,0,285,161,52,0,0,0,2137,0,16,0,62,40,0,0,74,21,1829,0,0,0,6,632,3,427,0,0,188,1,1,2,0,0,0,2,1,3,2,27,13,1,0,0,8,7,0,1,0,0,0,0,0,0,0,0,3,0,2,5,7,16,0,4,4,4,0,0,70,2,1,0,0,0,0,1,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,4,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,5,1,1,0,2,0,0,308,0,0,0,54,1,1,0,0,1,2,0,0,4,4,0,0,0,0,0,2,239,0,0,3689,7,54,2768,6,20,0,0,24,804,1,0,5,48,29,2,0,0,1,14,0,0,0,0,2,0,0,0,3
20,31003,22964,0,0,20,0,2,61,0,25,167,9922,517,0,0,43,685,47,0,2,1,4209,0,7,0,98,65,0,0,209,164,3841,1,2,2,20,2094,3,757,0,0,492,0,9,6,1,0,0,2,3,0,5,59,57,1,4,0,6,16,2,0,0,0,0,1,0,1,0,0,14,2,3,3,10,41,0,8,14,6,0,0,206,3,2,0,0,0,1,4,2,0,0,0,0,65,0,0,1,1,0,0,1,2,0,0,1,0,1,0,0,5,0,1,0,0,4,1,0,2,0,0,6,0,0,0,0,11,0,0,6,0,0,0,1,0,3,0,4,3,6,1,0,0,4,0,0,714,0,0,0,128,0,2,6,0,1,0,1,1,3,26,4,0,0,0,0,0,542,0,0,6488,37,150,5650,9,18,5,0,77,536,0,1,5,271,219,1,0,0,0,50,0,0,1,0,0,0,0,0,9
21,45105,32396,19,0,33,0,0,88,0,74,136,14407,105,0,4,71,330,22,0,9,1,5046,0,7,1,84,26,0,1,391,234,9352,0,0,2,6,355,51,1541,0,0,416,0,2,0,2,2,3,6,1,0,0,26,33,0,0,0,9,16,0,0,0,0,0,1,0,0,5,0,5,0,0,2,80,61,0,19,15,7,0,0,91,24,1,0,0,2,0,0,0,0,3,0,0,138,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,11,2,0,0,2,4,0,0,0,0,0,1,0,0,0,0,9,0,0,5,0,0,3,0,0,2,0,2,6,1,82,0,1,0,2,0,496,0,0,0,103,0,2,11,0,0,4,0,1,2,18,0,0,0,0,0,1,354,0,0,11538,25,52,10565,5,8,4,0,22,853,0,0,4,120,86,0,0,0,0,30,0,0,0,1,2,0,0,1,1
22,75467,39556,5,1,423,0,3,177,1,20,336,12026,439,0,0,486,1842,73,0,5,2,5799,0,180,0,172,39,0,3,572,351,12793,0,0,9,37,1100,24,2638,0,0,827,1,4,7,4,5,2,6,11,5,5,76,55,2,10,0,13,34,2,1,1,0,0,4,0,0,2,0,15,1,22,9,92,121,0,29,17,13,0,0,219,27,1,0,1,0,0,6,0,1,0,3,0,115,2,0,0,9,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,3,0,2,0,1,43,0,0,8,0,0,4,0,0,3,0,2,3,11,9,0,0,1,0,2,1141,2,0,0,165,4,6,10,0,6,3,0,2,15,54,1,4,0,0,0,3,866,0,0,33614,262,305,27623,21,234,5,1,227,4900,0,25,11,202,117,2,0,0,5,72,0,1,2,0,1,0,0,2,12
23,197808,132623,207,0,539,4,8,401,0,126,801,46683,1371,1,0,896,2790,192,2,22,18,36569,1,63,2,422,329,0,1,2760,1162,27523,1,25,35,71,2057,913,6621,2,5,2603,6,15,36,14,33,7,14,4,5,24,294,217,9,40,0,32,130,6,6,1,3,2,9,0,1,13,4,38,7,64,33,226,216,0,92,42,31,0,0,627,122,129,6,3,1,1,19,1,3,17,0,0,708,13,7,2,9,1,0,1,17,0,0,4,0,11,2,0,84,9,6,0,3,30,0,0,3,0,1,27,3,1,1,3,167,0,1,14,3,0,0,0,1,20,1,20,89,45,95,1,5,6,1,1,3177,1,1,1,428,7,13,19,0,8,5,0,6,25,134,2,3,1,0,0,1,2522,0,0,58021,354,988,48734,70,258,15,1,279,7279,1,12,30,646,448,9,1,0,2,170,1,3,1,2,6,0,0,3,30
24,42945,24820,52,0,85,0,0,62,0,24,227,8887,206,0,0,64,830,28,1,1,0,5419,0,5,1,72,77,0,0,430,148,5796,0,0,6,16,1010,34,1339,0,0,317,5,1,2,1,1,1,1,1,0,2,29,29,4,7,1,5,14,2,1,0,0,0,1,0,0,4,0,4,8,3,3,19,39,0,20,2,6,0,0,86,11,0,0,0,0,0,0,0,1,2,0,1,109,1,0,0,3,1,0,0,5,0,0,0,0,0,0,0,18,0,0,0,3,7,0,0,1,3,0,2,0,0,0,1,22,0,0,1,0,0,4,0,0,3,0,1,10,8,10,1,0,4,0,0,401,0,0,0,71,2,1,2,0,0,1,0,1,8,23,0,0,0,0,0,4,287,0,1,17186,47,902,12993,24,22,2,0,53,3136,0,0,7,106,67,3,0,0,0,32,0,0,2,0,2,0,0,0,6
25,24712,13874,13,0,4,0,0,38,0,26,21,4869,105,0,0,71,409,10,0,1,0,5339,0,8,0,72,33,0,0,104,13,1979,0,0,0,12,191,5,551,0,0,278,0,2,3,0,0,0,0,1,0,7,34,29,2,5,0,0,13,2,0,0,1,0,1,0,0,0,1,2,1,10,3,8,23,0,10,10,7,0,1,76,3,23,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0,0,0,0,3,1,0,0,0,0,4,0,0,0,0,6,0,0,1,0,0,0,0,0,2,1,1,1,0,1,0,0,0,0,0,487,0,0,0,55,1,1,2,0,2,1,1,5,1,32,0,1,0,0,0,1,384,0,0,9952,33,256,7958,6,24,1,0,30,1633,0,1,10,83,47,0,2,0,1,32,0,0,0,0,1,0,0,0,5
26,52266,47368,42,1,57,4,3,85,1,58,90,12139,903,2,1,285,402,77,5,29,5,29317,1,7,2,152,70,1,1,290,74,1884,1,19,24,54,504,45,727,4,2,2050,0,20,35,19,6,6,13,21,0,45,389,240,11,33,5,24,131,17,8,0,2,3,7,0,0,2,5,33,15,25,14,30,195,0,84,86,40,2,0,415,28,12,0,6,5,5,4,0,2,7,0,0,237,3,0,2,4,0,0,0,9,0,0,1,1,6,0,2,8,1,2,0,0,15,0,5,4,5,0,9,1,2,1,1,16,0,0,2,0,0,7,2,0,5,0,3,3,23,81,5,1,2,5,0,1629,0,0,0,280,1,3,8,1,2,1,0,3,9,67,2,0,0,0,0,1,1251,0,0,627,20,69,369,11,14,4,0,6,128,0,2,4,344,251,0,0,1,0,84,0,2,0,0,5,0,1,0,11
27,203921,191263,41,1,122,0,2,175,2,68,232,50328,3546,2,3,934,1473,178,2,35,11,118398,0,40,4,412,206,1,3,1114,258,6220,2,103,23,138,1888,165,5131,1,1,3335,4,30,34,43,17,6,12,23,5,46,459,262,13,33,5,56,228,19,12,0,1,9,10,0,0,6,3,60,11,65,24,145,367,0,152,88,65,0,8,843,101,25,1,6,5,7,15,4,2,5,0,0,653,7,0,2,13,0,0,6,19,0,0,2,0,11,1,0,114,1,1,1,7,32,0,0,5,7,0,28,1,3,1,1,149,0,1,12,2,0,31,0,0,22,2,21,4,24,109,1,6,3,1,2,3452,2,2,1,655,3,12,13,0,3,8,4,1,27,115,1,4,0,0,0,3,2598,0,0,4171,35,149,2641,29,107,5,0,26,1158,3,4,14,990,734,12,0,4,2,219,0,3,1,2,8,1,0,4,57
28,96541,86678,41,0,79,0,0,76,1,25,129,23712,1105,1,1,1493,758,64,2,32,6,48157,1,131,21,171,72,8,2,690,185,3531,0,26,31,117,735,59,5209,4,3,2371,2,18,41,24,3,2,8,36,4,39,315,245,21,13,0,56,121,17,13,0,0,2,5,0,0,3,2,48,60,45,33,45,215,0,85,54,66,2,2,629,55,12,2,1,1,0,8,3,0,15,0,0,323,15,0,0,10,0,0,1,9,0,0,0,0,3,0,0,31,2,1,0,2,6,0,3,4,1,0,19,0,4,2,0,80,0,2,3,0,0,4,0,1,17,0,12,16,23,45,3,3,1,0,0,2860,1,0,0,471,3,7,11,0,1,5,1,4,16,61,4,2,1,0,0,3,2269,0,0,3623,52,105,2504,16,38,8,0,31,859,0,1,9,629,446,2,1,1,2,167,0,1,4,3,2,0,0,0,57
29,11164,9507,6,0,40,0,0,40,2,6,33,3273,234,0,1,61,181,19,0,0,0,4244,0,7,0,51,17,0,0,122,35,661,0,2,0,13,192,8,259,0,0,345,1,3,7,1,0,1,1,0,1,8,43,33,0,3,0,7,23,1,1,0,1,0,1,0,0,0,0,3,8,11,4,10,20,0,27,6,11,0,0,91,11,0,0,1,0,3,1,1,0,1,0,0,46,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,1,9,0,0,0,0,0,1,0,0,0,0,6,1,1,1,0,0,1,0,0,1,0,3,1,4,6,0,0,0,0,0,416,0,0,0,58,2,0,4,0,3,0,0,4,2,18,2,0,0,0,0,0,323,0,0,768,3,42,489,2,9,2,0,3,216,0,0,2,80,45,2,0,0,1,29,0,1,0,0,2,0,0,0,2
30,5923,5432,0,0,6,0,0,4,0,5,2,1452,63,0,0,35,90,4,0,1,0,2555,0,5,1,25,8,0,0,33,3,597,0,0,1,4,425,8,105,0,0,138,0,0,2,1,1,1,1,2,0,2,21,8,1,1,0,4,5,0,0,0,0,1,0,0,0,0,0,1,2,12,0,2,12,0,5,1,1,0,1,39,9,0,0,1,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,202,0,0,0,23,0,0,0,0,1,0,0,1,1,4,0,0,0,0,0,0,172,0,0,95,2,0,78,0,0,0,0,0,13,0,0,2,40,28,0,0,0,0,12,0,0,0,0,0,0,0,0,3
31,3906,3577,0,0,8,0,0,9,0,4,4,1427,32,0,0,23,59,0,0,1,0,1168,0,2,0,21,21,0,0,8,22,493,0,0,0,0,85,1,189,0,0,103,0,1,3,0,1,0,0,0,0,1,9,3,2,3,1,3,2,0,0,0,0,0,2,0,0,0,0,1,0,1,1,7,29,0,1,0,0,0,0,28,1,1,0,0,0,0,2,0,0,0,0,0,64,1,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,5,0,0,0,1,0,0,1,0,0,2,3,0,0,0,2,0,0,0,0,0,13,0,0,0,0,0,1,4,13,0,0,0,0,0,116,0,0,0,23,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,88,0,0,22,1,1,16,1,1,1,0,1,0,0,0,0,24,16,0,0,0,0,8,0,0,0,0,0,0,0,0,0
32,5530,3972,7,0,3,0,0,43,0,4,12,1922,15,0,0,18,107,0,0,0,1,807,0,4,0,7,16,0,0,8,4,851,0,0,0,2,30,0,111,0,0,72,0,0,1,0,0,1,0,1,0,1,5,5,1,0,0,3,3,2,0,0,0,0,0,0,0,1,0,3,2,0,0,3,19,0,1,0,1,0,0,17,2,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,145,0,0,0,12,0,1,0,0,0,0,0,1,4,1,0,1,0,0,0,0,125,0,0,1305,0,0,1297,0,3,0,0,2,3,0,0,0,23,11,0,0,0,0,11,0,0,0,1,0,0,0,0,2
33,20958,18930,10,0,16,0,0,43,0,56,17,9112,129,0,0,66,447,4,0,4,2,5843,0,8,0,123,13,0,0,131,76,1482,0,8,5,5,142,26,1162,0,0,371,0,3,5,2,0,0,1,4,0,10,31,31,2,4,1,5,10,0,1,0,0,0,1,0,0,0,0,7,0,18,2,15,61,0,6,5,5,0,0,110,14,6,0,0,0,0,6,0,0,5,0,0,71,1,0,0,0,0,0,0,3,0,0,1,0,1,0,1,1,1,0,0,0,6,0,0,1,1,0,0,0,0,0,0,5,0,0,2,0,0,1,0,0,4,0,3,0,4,34,0,0,1,0,0,444,0,0,0,95,0,1,2,0,1,0,1,1,11,9,0,1,0,0,0,1,321,0,0,1045,6,18,869,5,2,0,0,8,136,0,0,1,95,63,4,0,0,0,27,0,1,0,0,0,0,0,0,2
34,38736,33657,9,0,32,0,0,80,1,51,81,14291,137,2,2,233,873,12,0,3,1,9692,0,45,1,98,47,0,0,188,27,5065,0,3,23,20,693,9,1938,0,0,677,1,2,3,12,9,8,4,7,0,5,43,62,0,5,1,14,22,0,8,0,0,1,2,0,0,7,0,7,1,12,3,23,84,0,32,4,9,1,0,182,84,5,0,0,2,1,7,0,0,0,3,1,159,3,0,1,4,0,0,0,2,0,0,0,0,2,0,1,11,2,0,0,0,18,1,0,0,0,0,1,1,0,2,0,11,0,5,0,1,0,0,0,0,6,0,1,0,17,67,0,1,1,0,0,908,1,0,1,113,2,1,3,0,2,1,0,4,10,32,0,0,1,0,0,0,737,0,0,3181,10,12,2532,1,10,2,0,12,593,0,1,8,140,81,3,0,0,0,47,0,3,0,2,3,0,0,1,14
35,13387,12575,9,0,3,0,0,33,0,3,7,3519,79,0,3,50,269,5,0,0,0,6901,0,8,0,61,11,0,0,73,5,977,0,0,0,3,91,8,457,0,0,193,0,1,0,4,2,0,0,1,2,1,12,13,0,0,0,4,9,0,0,0,0,0,1,0,0,0,0,5,2,2,2,10,26,0,19,3,1,0,0,53,15,0,1,0,0,1,0,0,0,3,0,0,25,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,1,6,0,0,0,0,0,404,0,0,0,44,4,0,1,0,0,0,0,0,4,5,2,0,0,1,0,0,342,0,1,156,2,1,114,2,2,1,0,3,31,0,0,0,33,22,1,0,0,1,7,0,0,1,0,0,0,0,1,1
36,5002,4533,1,0,9,0,0,17,0,9,4,2821,32,0,0,27,158,1,0,2,0,364,0,1,0,30,61,0,0,27,12,656,0,0,2,0,92,1,206,0,0,119,0,1,0,2,1,0,0,0,0,2,5,11,0,2,0,3,2,0,0,0,0,0,0,0,0,1,0,1,1,3,2,14,20,0,3,4,0,0,0,30,6,3,0,0,0,0,1,0,0,1,0,0,63,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,1,2,0,0,0,3,0,0,1,0,0,3,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,11,32,0,1,0,0,0,193,0,0,0,38,0,0,0,0,2,1,0,1,1,1,0,0,0,0,0,0,149,0,0,58,1,1,40,1,3,0,0,1,11,0,0,0,35,27,1,0,0,0,6,0,0,0,0,0,0,0,1,1
37,8510,7426,3,0,13,0,0,32,0,138,5,3833,42,0,0,41,358,3,0,0,0,1003,0,67,0,19,5,0,0,142,25,1259,0,0,1,0,162,2,273,0,0,191,0,2,0,2,0,1,0,3,0,0,20,11,0,2,0,7,26,1,0,0,0,0,0,0,0,0,0,2,1,2,1,6,16,0,21,0,4,0,0,57,5,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,1,6,0,0,1,0,0,0,0,0,0,0,0,2,2,2,0,0,5,0,0,205,0,0,0,35,1,1,0,0,0,0,0,0,3,1,1,0,0,0,0,0,162,0,1,626,6,6,236,0,3,1,0,0,374,0,0,0,36,22,0,0,0,0,12,0,1,1,0,0,0,0,0,1
38,8834,8139,0,0,3,0,1,16,0,21,7,4630,69,0,0,63,249,1,0,2,0,1435,0,3,0,40,9,0,0,79,18,942,0,2,1,3,97,7,440,1,0,175,0,1,2,2,4,4,0,1,3,1,23,19,1,0,0,2,5,0,0,0,0,1,1,0,0,4,0,2,0,1,0,4,14,0,19,2,3,0,0,48,3,2,0,0,0,0,1,0,0,1,1,0,33,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,3,0,0,1,3,0,1,5,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,3,4,4,0,0,0,0,0,239,1,0,0,43,0,1,2,0,0,0,0,1,5,5,0,0,0,0,0,1,180,0,0,179,4,3,121,1,2,17,0,2,28,0,0,1,68,42,0,0,0,0,26,0,0,0,0,0,0,0,0,1
39,3428,3054,0,0,5,0,0,24,1,6,6,1295,37,0,0,33,191,2,0,0,0,612,0,1,0,12,6,0,0,22,9,550,0,0,0,3,54,0,185,0,0,95,0,0,1,0,0,0,0,2,0,0,8,7,0,1,0,2,0,0,0,0,1,1,0,0,0,1,0,3,0,1,0,7,2,0,4,3,0,0,0,48,1,0,1,0,0,0,0,0,1,0,0,0,32,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,1,157,0,0,0,24,0,1,4,0,0,0,0,3,1,2,0,0,0,0,0,0,122,0,0,30,2,0,19,0,2,0,0,1,6,0,0,0,60,43,0,0,0,0,15,0,0,0,0,2,0,0,0,0
40,56437,51714,93,5,65,2,2,185,0,37,169,20775,514,2,0,237,684,47,1,11,4,17811,0,17,0,235,112,3,1,2964,150,3922,0,1,12,56,420,21,3145,3,8,1596,6,9,22,5,10,2,7,13,0,5,177,128,10,9,3,20,67,3,4,0,0,1,4,0,0,6,2,38,6,30,10,85,225,0,68,38,18,0,0,441,76,22,1,1,3,4,8,0,0,8,1,0,387,7,0,0,7,0,0,0,8,0,1,0,0,8,0,0,12,0,0,0,0,15,2,6,1,1,3,16,7,5,0,1,63,2,3,12,1,0,7,0,0,6,1,3,8,21,156,0,3,1,0,0,1753,1,1,0,256,8,7,10,0,4,2,0,6,17,59,3,0,0,0,0,6,1373,0,0,637,38,17,302,13,16,8,1,8,229,0,0,5,339,217,6,0,0,1,106,0,6,0,1,0,0,0,2,11
41,4387,4084,16,0,2,0,0,50,0,4,33,1691,29,0,0,9,247,1,0,1,0,801,0,1,0,36,2,0,0,216,0,517,0,0,0,2,59,2,361,0,4,95,0,1,3,4,3,0,1,2,0,0,5,2,0,0,1,6,7,0,0,0,1,0,1,0,0,1,0,0,1,1,0,9,5,0,5,2,1,0,0,30,1,0,1,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,147,0,1,0,21,0,0,0,0,0,0,0,1,2,4,0,0,1,0,0,0,117,0,0,18,0,0,11,2,3,1,0,0,1,0,0,0,35,25,2,0,0,0,8,0,0,0,0,0,0,0,0,0
42,7995,6970,1,0,18,0,0,35,0,28,19,3138,86,0,0,59,143,1,0,0,0,1262,0,2,0,16,9,0,0,323,1,921,0,0,2,2,90,7,807,0,0,293,0,0,1,0,3,3,1,5,1,2,15,8,0,5,0,7,13,1,7,0,0,0,0,0,0,0,0,21,17,8,4,29,44,0,2,3,3,0,0,83,3,0,0,0,0,0,2,0,0,0,0,2,96,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,4,3,0,0,0,17,0,0,1,0,0,0,0,0,0,1,12,0,0,0,0,0,8,0,0,0,0,0,1,6,38,0,0,0,0,0,516,0,0,1,46,2,0,0,0,2,1,0,2,4,13,0,0,0,0,0,1,444,0,0,47,2,1,28,1,1,0,1,1,11,0,1,0,66,42,0,0,0,0,22,0,0,0,0,1,0,0,1,7
43,9693,8779,10,1,7,0,2,65,0,24,33,4809,146,0,0,45,184,9,0,2,2,1111,0,5,0,22,14,1,2,127,30,1361,0,12,3,16,173,3,560,0,0,277,0,0,1,2,0,1,1,0,0,1,25,23,2,0,0,7,13,9,0,0,0,1,0,0,0,0,0,6,2,6,2,29,21,0,5,3,3,0,0,103,7,2,1,0,0,0,1,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,8,0,1,0,1,0,0,0,0,9,0,0,3,8,32,0,0,0,0,0,389,0,0,1,56,0,0,0,0,0,2,1,0,2,11,0,0,0,0,0,0,316,0,0,79,2,1,56,2,1,0,0,1,11,0,1,4,88,53,1,0,0,0,23,0,4,0,1,6,0,0,0,10
