id,total,change
,2667199,169543
010006,36061,4335
020001,5680,641
030007,7130,580
040002,21183,1084
050008,3931,171
060003,7258,612
070009,14047,1263
080004,65001,3083
090000,40658,1815
100005,56597,3089
110001,177095,12913
120006,153505,10154
130001,551683,30181
140007,212567,14063
150002,16792,1231
160008,18262,1618
170003,15211,1608
180009,14656,1228
190004,15704,614
200000,35478,2513
210005,53516,4348
220001,89341,6666
230006,253508,18188
240001,50643,2972
250007,29274,2727
260002,60145,3194
270008,235977,10708
280003,108302,4246
290009,12516,751
300004,6543,217
310000,4607,278
320005,8875,1186
330001,27796,2202
340006,51546,3230
350001,16257,850
360007,5998,440
370002,12467,935
380008,11908,317
390003,4474,217
400009,76127,5091
410004,6338,672
420000,10168,311
430005,15311,1900
440001,12770,894
450006,6462,763
460001,10339,1366
470007,17492,2078
