id,total,change
,126393679,-266004
010006,5444307,-29909
020001,1368246,-14797
030007,1309009,-8786
040002,2304889,2183
050008,1072625,-13393
060003,1149851,-10353
070009,1971142,-20723
080004,2947879,-12131
090000,1981584,-7171
100005,1982831,-8113
110001,7156223,6720
120006,6136250,-11369
130001,12757445,58174
140007,8924132,6764
150002,2348323,-16309
160008,1081665,-5879
170003,1152629,-4101
180009,798939,-4241
190004,850375,-5371
200000,2134866,-11096
210005,2058652,-10290
220001,3735526,-15045
230006,7273013,9840
240001,1830584,-8029
250007,1395363,891
260002,2536238,-6502
270008,8673898,-6035
280003,5564824,-7581
290009,1394729,-6514
300004,1010982,-7686
310000,584602,-4113
320005,707878,-5178
330001,1925697,-5889
340006,2836043,-10637
350001,1434337,-11136
360007,780107,-6533
370002,1002650,-3838
380008,1431445,-9846
390003,752845,-6835
400009,5053473,4016
410004,849230,-4133
420000,1420145,-11340
430005,1816579,-5752
440001,1189981,-6823
450006,1137558,-6186
460001,1695273,-10808
470007,1428817,5879
