id,total,change
,2497656,174228
010006,31726,3537
020001,5039,527
030007,6550,382
040002,20099,1133
050008,3760,123
060003,6646,416
070009,12784,976
080004,61918,5075
090000,38843,3122
100005,53508,4987
110001,164182,14957
120006,143351,12626
130001,521502,35156
140007,198504,12645
150002,15561,1120
160008,16644,1870
170003,13603,1321
180009,13428,1225
190004,15090,635
200000,32965,1658
210005,49168,2393
220001,82675,6076
230006,235320,18102
240001,47671,4226
250007,26547,1504
260002,56951,2546
270008,225269,10212
280003,104056,3976
290009,11765,484
300004,6326,177
310000,4329,238
320005,7689,910
330001,25594,1741
340006,48316,2932
350001,15407,861
360007,5558,189
370002,11532,867
380008,11591,679
390003,4257,338
400009,71036,6823
410004,5666,523
420000,9857,-1299
430005,13411,1913
440001,11876,883
450006,5699,707
460001,8973,1185
470007,15414,1551
