prefecture_id,総数,教授,芸術,宗教,報道,投資・経営,法律・会計業務,医療,研究,教育,技術,人文知識・国際業務,企業内転勤,興行,技能,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
,2121831,7565,409,4528,225,15184,143,695,1841,10141,45892,76902,15378,1967,33374,4371,73145,2553,87557,2614,214525,1427,125992,28001,677019,145312,27066,159596,358409
01,23534,248,5,198,0,168,0,36,8,390,184,942,148,24,733,4,2046,29,2686,78,3248,22,1484,932,4665,1454,93,330,3379
02,4041,17,0,16,0,17,0,4,11,129,13,91,7,9,77,13,371,19,461,6,313,2,159,30,1107,364,25,102,678
03,5697,16,0,34,0,20,0,0,4,100,28,75,12,8,65,30,754,14,879,14,330,2,156,36,1843,465,18,155,639
04,16274,334,0,187,0,77,0,5,10,212,124,492,42,19,174,15,897,0,817,49,3403,9,936,87,4836,1046,98,372,2033
05,3622,57,2,9,0,10,0,0,0,107,22,66,7,7,57,3,263,11,419,4,392,1,132,23,1247,252,14,87,430
06,6131,18,0,6,0,20,0,12,0,89,29,75,16,3,82,68,399,17,687,11,258,15,164,17,3173,472,25,169,306
07,10249,47,0,12,0,30,0,1,10,198,98,201,39,21,160,43,722,15,865,1,514,12,249,51,4291,1010,72,508,1079
08,52009,174,2,48,0,380,0,4,463,295,683,990,258,13,787,103,4133,8,5240,136,3446,66,2658,906,17251,4544,712,6190,2519
09,32178,20,5,35,0,168,0,1,11,171,590,648,294,7,347,129,1504,29,1633,9,1918,11,1248,1175,13253,2828,495,4048,1601
10,43978,22,0,41,0,193,0,4,5,244,627,677,78,10,429,215,2272,20,2200,10,1466,16,1456,845,18898,3831,786,7941,1692
11,130092,216,20,140,3,1343,0,55,267,400,3716,5587,568,17,2301,90,3194,54,3132,107,11940,98,10433,2048,51095,10682,2443,10990,9153
12,113811,353,22,158,3,1132,0,47,57,341,3425,4999,1042,139,1880,47,3453,3,3519,75,11611,46,8679,1421,41834,10593,1853,8982,8097
13,430658,1794,211,1220,204,6897,139,130,384,1463,16333,31520,5984,328,11765,49,1628,12,1291,713,74332,167,43868,9766,120970,28080,5378,20336,45696
14,171258,368,16,207,4,1145,2,105,231,600,7877,6353,2537,147,3367,152,1710,57,1565,183,11878,89,13379,1921,69781,13568,3075,12291,18650
15,13475,77,1,20,0,77,0,1,8,129,170,353,60,12,172,79,743,27,926,17,1784,0,788,119,4727,1294,93,631,1167
16,13345,34,1,11,0,98,0,1,7,114,117,401,49,12,145,47,1364,64,1751,13,598,12,671,69,4548,977,174,1224,843
17,10978,125,3,18,0,17,0,1,1,104,103,230,15,17,151,59,1111,28,1503,27,1733,6,543,48,2580,586,55,538,1376
