prefecture_id,総数,教授,芸術,宗教,報道,投資・経営,法律・会計業務,医療,研究,教育,技術,人文知識・国際業務,企業内転勤,興行,技能,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
18,11719,29,0,9,0,13,0,1,2,100,51,125,34,1,57,42,1094,49,1577,8,325,21,204,16,3690,768,93,1205,2205
19,13990,24,1,28,0,103,0,0,2,118,163,326,16,8,448,55,368,8,401,7,1030,7,760,54,6299,1358,176,1665,565
20,30748,47,3,69,0,89,1,12,11,185,202,423,56,11,401,135,1238,8,1604,12,1317,14,832,510,12900,3939,423,3850,2456
21,45024,37,3,35,0,68,0,4,3,161,269,588,82,31,476,144,4012,123,5688,29,1475,32,1122,191,16871,2702,676,5963,4239
22,75115,76,2,69,0,141,0,15,17,311,912,1033,413,29,647,664,2501,140,3457,23,2542,70,1841,332,35461,6131,1250,13360,3678
23,200673,560,20,323,1,465,0,14,51,306,3129,4027,1285,143,2696,352,7725,225,10511,121,9077,196,8755,1899,78069,13208,3340,24849,29326
24,42897,19,5,27,0,79,0,0,6,147,468,575,80,5,364,175,2737,154,3673,16,915,24,1084,202,17194,2664,644,7064,4576
25,24295,54,1,24,0,16,0,2,4,142,255,233,67,8,167,104,1202,9,1408,23,1046,16,472,56,8451,1944,290,3899,4402
26,52213,652,16,90,3,137,0,82,37,242,408,1195,97,26,410,57,675,77,735,216,8725,23,1785,431,7749,2051,261,1035,24998
27,204347,567,24,338,6,1021,1,68,78,531,2527,6657,654,196,1518,90,2540,41,3106,160,16753,139,7012,1992,44115,9218,2149,9115,93731
28,96530,213,6,391,0,386,0,20,87,555,1055,1843,339,58,896,181,2274,78,2606,77,6519,19,3767,514,22734,4213,834,4244,42621
29,11081,38,3,47,1,30,0,6,7,67,104,233,17,6,118,13,572,13,676,29,841,5,373,95,3063,730,70,495,3429
30,5934,5,2,12,0,14,0,13,4,67,26,106,16,4,71,11,289,3,332,2,354,6,89,36,1556,582,37,307,1990
31,3849,31,0,2,0,9,0,1,0,73,21,85,5,2,26,39,397,3,555,2,216,7,139,18,917,238,13,101,949
32,5988,30,0,2,0,3,0,1,1,81,11,70,4,5,50,23,474,6,772,8,241,0,136,13,1797,665,34,906,655
33,21270,86,2,16,0,58,0,8,9,159,146,505,43,11,195,227,2014,220,2447,61,2879,14,756,153,4430,1182,123,641,4885
34,39842,155,1,40,0,79,0,5,9,217,538,676,215,50,313,240,4117,409,4367,37,3138,49,1641,153,11273,1769,391,1848,8112
35,13219,28,0,33,0,17,0,0,1,70,97,165,19,4,95,24,903,0,1154,20,1108,8,308,46,2207,567,54,244,6047
36,4992,32,0,6,0,10,0,4,0,85,33,82,6,7,75,2,906,2,1254,5,291,2,225,131,1080,354,33,154,213
37,8946,20,2,12,0,21,0,1,2,62,71,205,56,8,115,224,1479,239,1357,7,471,7,237,87,2230,579,98,588,768
38,9290,49,1,8,0,15,0,0,1,109,190,199,82,11,102,204,1608,156,2008,7,607,10,431,46,1585,577,48,210,1026
39,3565,21,0,3,0,6,0,1,1,107,4,61,24,9,44,0,342,0,500,8,519,3,85,31,875,308,15,100,498
40,57696,373,18,277,0,419,0,18,12,315,583,2036,281,274,653,46,1863,3,1777,111,14937,33,4027,504,11467,2864,315,1247,13243
41,4401,18,2,12,0,13,0,2,2,67,13,103,12,15,67,32,608,34,662,16,571,9,226,33,950,252,10,108,564
42,8295,55,1,36,0,23,0,1,0,181,154,244,106,81,82,54,683,73,903,16,1917,35,395,128,1701,514,32,162,718
43,10079,65,0,23,0,28,0,6,1,139,61,295,53,35,220,48,1357,35,1512,42,1031,12,527,71,2814,793,74,302,535
44,10234,71,2,37,0,41,0,1,2,96,35,296,15,60,88,13,877,15,880,12,3508,3,447,59,1611,494,37,182,1352
45,4414,26,0,16,0,17,0,0,1,87,19,116,7,13,70,2,660,0,836,11,408,20,191,10,1068,353,17,91,375
46,6733,33,0,28,0,17,0,0,3,120,25,151,9,10,84,15,891,15,1140,15,610,8,239,21,2221,564,25,251,238
47,11229,208,4,155,0,46,0,2,4,150,143,526,80,13,124,0,173,8,85,39,1958,11,788,158,4127,1559,89,460,319
未定・不詳,1893,23,2,0,0,8,0,0,6,5,40,23,49,40,10,9,2,0,0,21,32,50,95,517,415,126,6,56,358
