prefecture_id,総数,教授,芸術,宗教,報道,投資・経営,法律・会計業務,医療,研究,教育,技術,人文知識・国際業務,企業内転勤,興行,技能,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
,2086603,7739,422,4588,224,14206,153,710,1902,9967,45039,76021,15573,1991,33203,4298,66536,2714,88606,2619,196882,1406,123441,25645,664949,148431,25849,159596,363893
01,23144,233,6,205,0,153,0,41,5,381,200,867,108,32,592,29,2633,28,2785,89,2887,22,1494,485,4566,1448,81,359,3415
02,4042,16,0,17,0,16,0,4,12,133,10,106,7,7,86,11,372,18,465,9,292,2,158,21,1062,393,22,103,700
03,5524,17,0,36,0,17,0,0,4,104,24,78,10,4,57,36,620,10,853,13,299,4,155,38,1826,477,20,163,659
04,15446,358,0,200,0,80,0,9,9,217,133,508,47,15,185,47,719,0,639,40,2905,10,910,92,4743,1071,101,362,2046
05,3693,58,2,8,0,9,0,2,0,107,22,74,7,2,65,13,233,10,461,6,429,0,121,18,1244,260,15,86,441
06,6111,13,0,6,0,21,0,12,0,90,31,80,17,3,67,52,359,17,718,13,258,8,142,15,3167,507,26,173,316
07,9879,50,0,12,0,31,0,1,8,199,88,203,30,2,174,41,587,20,757,2,418,8,255,48,4255,1013,64,526,1087
08,51450,171,2,53,0,359,0,3,497,290,692,972,253,12,796,64,4022,34,5487,120,2971,121,2674,722,16883,4713,646,6318,2575
09,31562,21,5,39,0,150,0,1,11,171,531,630,301,6,337,136,1449,34,1645,5,1783,9,1136,948,13093,2926,466,4110,1619
10,43028,24,0,46,0,188,0,4,5,241,628,661,83,20,425,233,2008,16,2367,8,1297,9,1381,584,18432,4016,711,7914,1727
11,126066,214,19,152,3,1170,0,55,271,404,3677,5527,591,16,2208,89,2463,57,3089,97,11085,60,9869,1837,49499,11038,2299,11035,9242
12,110923,372,18,162,3,1024,0,45,59,356,3355,4882,995,139,1824,36,3161,1,3544,80,10480,29,8351,1385,40890,10867,1782,8900,8183
13,418124,1835,213,1199,203,6546,150,133,377,1344,15929,30867,6161,502,11637,90,1367,15,1161,681,67410,177,43055,9401,118276,28198,5085,19984,46128
14,168189,378,15,196,4,1047,2,109,232,603,7839,6260,2461,149,3344,228,1326,51,1498,159,11171,81,12955,1747,68660,13805,2819,12147,18903
15,13249,81,1,24,0,73,0,1,6,135,174,354,61,14,163,94,660,27,980,16,1653,7,735,57,4698,1320,88,631,1196
16,13357,35,1,11,0,97,0,1,6,121,115,394,49,41,137,74,1257,78,1841,12,596,23,634,52,4463,1022,156,1275,866
17,10735,130,3,19,0,17,0,1,1,106,94,236,16,16,138,61,1006,16,1552,26,1591,18,532,56,2517,600,48,501,1434
18,11506,30,0,12,0,11,0,1,2,97,51,124,21,1,54,62,1074,46,1618,11,329,26,199,14,3564,758,79,1067,2255
19,13902,26,1,21,0,99,0,0,3,123,154,327,21,10,458,72,332,6,404,8,980,9,753,59,6270,1375,164,1647,580
20,31620,42,3,73,0,90,0,12,11,180,207,423,51,12,402,153,2313,14,1705,16,1168,22,835,239,12803,4012,423,3913,2498
21,44803,45,2,38,0,65,0,4,4,155,257,596,86,22,485,134,3766,121,5878,32,1361,20,1117,164,16647,2834,658,6013,4299
22,75435,82,3,67,0,143,0,16,18,301,905,1041,384,29,669,503,2220,160,3722,29,2469,70,1833,323,35409,6446,1233,13620,3740
23,198919,565,23,320,1,453,0,15,52,318,3010,4032,1413,39,2767,353,6964,260,10374,114,8646,168,8669,1921,77261,13445,3258,24746,29732
24,42558,20,7,28,0,83,0,1,5,146,445,606,96,26,382,141,2348,177,3717,17,851,12,1058,190,17116,2708,641,7101,4636
25,24375,56,1,25,0,16,0,2,5,141,259,246,56,6,165,81,1005,36,1456,23,1034,14,494,49,8319,2003,292,4079,4512
26,51863,670,15,111,4,120,0,82,35,226,406,1200,98,30,455,61,563,64,725,209,8157,30,1771,403,7601,2102,257,1039,25429
27,203673,595,31,335,5,931,1,70,88,514,2479,6663,663,179,1549,83,2213,47,3101,170,15466,204,6969,2108,43202,9452,2107,9118,95330
28,95916,218,7,388,0,379,0,21,96,546,1046,1925,349,53,881,156,1836,88,2649,73,5960,28,3809,465,22309,4339,820,4317,43158
29,11018,40,2,47,0,25,0,6,6,69,105,249,16,3,122,13,476,12,702,57,786,5,355,80,3011,745,70,534,3482
30,5895,4,2,13,0,10,0,13,4,68,27,99,20,4,71,12,275,4,305,3,324,12,89,29,1506,628,36,296,2041
31,3852,30,1,2,0,9,0,1,0,77,24,92,7,5,24,23,395,5,604,4,183,3,147,13,905,237,15,97,949
32,5687,28,0,2,0,3,0,0,1,80,11,64,5,2,40,19,459,6,804,10,217,3,108,10,1742,617,31,761,664
33,20598,101,2,19,0,52,0,8,7,127,150,497,31,39,186,262,1724,202,2465,57,2554,10,750,112,4315,1221,121,637,4949
34,39243,147,1,45,0,73,0,5,10,206,506,685,190,38,314,308,3904,390,4370,45,2990,33,1558,142,11043,1830,346,1815,8249
35,13237,27,0,34,0,20,0,0,1,68,96,174,22,4,97,15,821,0,1153,20,1080,2,338,46,2186,566,61,251,6155
36,4961,29,0,5,0,9,0,1,0,83,34,90,7,9,78,2,829,2,1320,8,292,2,221,125,1049,368,30,151,217
37,8689,17,1,11,0,21,0,1,0,68,64,211,50,8,98,157,1207,237,1524,9,440,11,210,67,2190,594,104,607,782
38,8984,50,0,8,0,14,0,0,1,108,189,198,88,8,108,131,1406,234,2080,13,493,5,441,36,1525,574,43,199,1032
39,3379,25,0,3,0,4,0,1,1,98,6,65,22,8,44,0,292,0,474,1,430,4,70,25,857,329,16,100,504
40,56181,392,20,295,0,388,0,16,13,315,563,2011,313,165,719,51,1628,0,1803,99,13766,40,4048,541,11097,2890,316,1254,13438
41,4280,26,1,13,0,10,0,1,2,66,12,126,14,12,73,39,475,17,641,18,574,9,253,27,929,254,10,103,575
42,8136,54,2,39,0,23,0,1,1,175,130,250,108,38,76,52,609,78,828,13,1951,15,426,121,1669,537,36,158,746
43,9739,67,0,20,0,31,0,7,1,142,69,282,50,26,243,38,1102,43,1494,42,950,3,557,73,2769,795,72,299,564
44,9800,73,3,34,0,41,0,1,1,88,41,296,16,21,95,23,610,9,871,12,3353,3,434,52,1592,529,36,186,1380
45,4208,30,0,18,0,16,0,0,3,84,15,109,7,15,79,0,526,0,834,12,362,3,203,13,1046,346,17,85,385
46,6453,35,0,28,0,17,0,0,3,120,29,149,10,37,75,15,752,15,1069,15,545,4,237,23,2198,560,24,248,245
47,10353,184,4,142,0,38,0,2,20,158,128,446,90,23,133,0,97,9,73,39,1447,10,750,196,4026,1470,89,462,317
未定・不詳,2818,25,5,7,1,14,0,0,5,18,79,46,72,139,26,5,73,0,1,64,199,38,182,473,519,193,15,106,513
