id,total,change
,2866715,199516
010006,41696,5635
020001,6289,609
030007,8053,923
040002,23610,2427
050008,4302,371
060003,7945,687
070009,15411,1364
080004,69729,4728
090000,42835,2177
100005,60036,3439
110001,192261,15166
120006,165146,11641
130001,577329,25646
140007,228275,15708
150002,18392,1600
160008,19496,1234
170003,16497,1286
180009,15258,602
190004,16779,1075
200000,37546,2068
210005,58542,5026
220001,96960,7619
230006,274208,20700
240001,55221,4578
250007,33003,3729
260002,64066,3921
270008,252742,16765
280003,114189,5887
290009,13752,1236
300004,7085,542
310000,4980,373
320005,8856,-19
330001,31206,3410
340006,56149,4603
350001,17702,1445
360007,6531,533
370002,14078,1611
380008,13411,1503
390003,4834,360
400009,82578,6451
410004,7205,867
420000,10743,575
430005,17665,2354
440001,13851,1081
450006,7717,1255
460001,12027,1688
470007,20529,3037
