都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,グルジア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
10,43978,25082,31,0,302,0,1,536,0,31,301,7415,321,0,0,275,851,176,0,3,1,2717,0,13,1,105,97,0,0,1014,731,6070,0,0,2,14,869,188,3015,2,0,436,1,4,0,2,1,0,3,1,0,0,29,21,1,4,0,20,12,0,0,0,1,0,1,0,0,3,0,2,0,11,3,74,76,0,14,2,2,0,2,109,9,21,0,2,0,3,1,0,0,0,1,0,153,4,1,0,22,0,0,0,4,0,0,0,0,8,0,0,13,15,1,0,0,9,0,0,0,0,12,0,4,0,0,9,0,18,0,1,1,0,0,1,0,0,0,3,0,11,5,6,4,0,0,1,0,0,606,0,0,0,73,4,1,14,0,3,2,0,1,4,25,1,1,0,0,0,1,476,0,0,17558,186,436,11942,45,48,4,0,170,4717,0,8,2,127,73,0,0,0,0,44,1,1,0,0,7,0,0,1,16
11,130092,111489,78,1,463,0,6,1253,0,99,599,52495,2367,0,0,1055,1419,479,2,21,15,17198,1,65,3,502,474,0,2,2148,1927,17147,0,108,20,90,2790,793,7856,11,2,2419,1,19,15,9,13,2,15,21,5,16,258,191,16,33,0,33,101,13,14,0,0,4,11,0,0,11,2,16,11,73,23,109,404,0,81,54,17,3,3,598,79,107,7,5,1,6,9,1,0,1,8,0,1515,6,0,0,116,1,0,1,42,0,0,8,0,37,4,0,376,56,17,1,3,39,1,1,0,3,21,0,30,5,3,0,1,463,0,0,69,5,1,18,0,0,0,11,7,35,33,14,73,0,1,9,4,0,2349,0,0,3,357,6,10,29,0,10,5,0,11,14,102,2,6,0,1,0,1,1792,0,0,11827,175,162,7390,61,172,13,0,199,3639,0,7,9,448,283,8,0,1,4,131,0,1,4,1,7,0,0,8,45
12,113811,99788,702,2,451,0,4,685,1,109,1734,41769,2678,1,0,1348,1353,422,7,12,15,16247,1,56,3,537,771,0,2,2807,851,16375,0,6,18,121,5114,61,5516,6,3,2686,8,26,21,13,18,2,19,12,3,36,232,153,11,40,3,39,80,20,12,1,2,4,16,0,0,7,0,33,27,47,35,93,508,0,90,62,39,1,2,750,96,107,0,2,1,2,7,0,0,0,6,0,1024,8,1,0,58,0,0,1,18,1,0,1,0,24,2,1,250,12,0,0,9,57,12,8,0,3,5,0,16,1,3,3,1,254,0,1,13,3,1,45,0,0,0,31,4,11,83,21,53,0,1,6,2,0,2846,0,0,1,419,13,11,19,2,13,8,2,17,31,219,4,1,1,0,0,1,2083,0,1,6873,120,165,3393,75,238,4,0,85,2772,0,5,16,568,365,24,0,0,0,155,0,2,3,1,8,0,0,10,26
13,430658,372076,163,49,5739,6,12,2929,15,305,1277,163778,13879,12,3,9626,2991,1039,21,223,29,96193,10,201,39,2253,1638,5,9,14671,1097,29192,5,460,57,1020,7435,647,15036,7,5,24408,12,220,285,149,85,43,104,243,42,248,5249,2447,80,156,31,361,1529,55,74,3,20,30,80,1,8,39,12,400,150,341,147,531,2281,0,884,996,392,3,18,5635,386,464,11,18,10,18,41,9,2,2,61,2,2685,48,1,5,82,6,0,2,51,0,0,12,3,119,4,3,494,110,6,1,34,117,9,17,1,14,39,3,126,12,15,6,2,506,2,10,96,15,6,35,0,0,1,61,6,120,72,144,221,9,14,19,3,3,20810,2,0,4,2896,33,79,37,5,22,29,4,26,63,478,8,14,1,2,1,10,17096,0,0,6466,272,117,3242,120,538,36,0,76,1951,2,21,91,4105,3164,41,0,3,7,844,1,7,6,5,17,0,1,9,108
14,171258,139094,45,18,394,0,9,816,0,1634,1638,55942,3988,2,10,3917,1820,521,8,33,11,29880,13,1245,10,970,542,8,2,2468,1002,18905,6,189,23,255,3916,155,8693,2,4,6200,2,55,58,37,22,15,40,40,10,40,778,835,30,46,4,79,277,24,31,0,5,4,18,0,1,19,2,163,33,130,47,223,768,1,218,176,116,12,5,1510,191,89,2,10,1,4,12,4,0,0,13,0,1557,22,0,1,38,3,0,1,37,1,0,6,2,23,0,2,320,26,2,0,22,53,2,2,1,8,28,0,46,8,15,9,1,435,1,18,108,1,0,9,1,0,0,110,5,32,29,45,58,6,7,11,2,0,6414,0,3,1,831,28,15,161,2,13,11,3,10,40,207,14,4,0,2,0,8,5061,0,0,17017,662,758,8373,34,276,46,1,250,6562,0,7,48,880,660,14,0,0,8,189,0,1,3,1,1,0,0,3,96
15,13475,11870,39,0,91,0,2,60,3,13,176,5156,166,0,3,69,270,12,1,2,1,1973,0,13,0,120,123,0,0,184,269,2107,0,2,2,17,379,7,608,1,1,577,4,2,3,3,0,0,3,2,0,1,36,27,0,1,0,2,20,25,3,0,0,0,0,0,0,0,0,6,0,2,0,19,206,0,14,5,8,1,13,119,9,36,0,1,0,2,2,0,0,0,2,0,80,0,0,0,2,0,0,0,0,0,0,0,0,1,1,1,18,1,0,0,3,8,0,0,0,0,2,0,0,0,0,7,0,8,0,0,3,1,0,1,0,0,0,0,1,1,3,5,12,0,0,1,0,0,448,0,0,0,61,7,2,1,0,1,2,0,1,6,37,0,1,0,0,0,1,328,0,0,387,9,4,296,2,4,0,0,1,63,0,0,8,108,74,2,0,0,2,30,0,0,0,0,0,0,0,0,5
16,13345,10169,2,0,10,0,0,94,0,19,15,5216,115,0,1,120,191,6,0,2,0,1086,0,4,0,87,18,0,0,53,468,1678,0,0,5,5,127,0,847,0,0,642,6,2,1,3,2,0,5,0,0,3,9,8,0,3,0,3,8,0,2,0,0,1,0,0,0,3,0,1,2,1,1,32,470,0,7,1,3,0,2,43,14,2,0,0,0,0,2,0,0,0,2,0,41,0,0,0,5,0,0,0,10,0,0,2,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,5,8,0,0,1,0,0,217,0,0,0,23,0,0,1,0,1,0,0,1,8,8,3,0,0,0,0,1,171,0,0,2236,4,19,2061,2,2,0,0,101,47,0,0,0,40,31,0,0,0,0,7,0,1,0,0,0,0,0,1,0
17,10978,9210,7,0,48,0,2,62,0,8,8,4669,131,0,0,100,448,7,0,1,1,1656,0,2,3,63,51,0,1,110,34,729,0,0,11,6,245,3,804,0,0,320,0,2,6,2,3,0,5,5,0,4,32,23,1,4,0,11,12,0,0,0,0,0,3,0,0,0,0,1,2,6,0,17,68,0,11,6,8,0,0,64,8,0,0,1,2,0,8,0,0,0,5,0,90,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,5,0,8,1,0,0,0,0,0,0,0,0,2,0,4,1,7,53,0,0,1,0,0,296,0,0,0,47,0,1,0,0,0,0,0,1,3,9,1,0,0,0,0,1,233,0,0,995,10,6,865,2,6,0,0,16,84,0,2,4,67,43,2,0,0,0,17,0,0,0,1,4,0,0,0,0
18,11719,8680,5,0,33,0,0,18,0,20,6,3784,52,0,0,8,154,4,1,1,0,2691,0,1,0,59,16,0,1,27,14,1230,0,0,0,2,192,3,358,0,0,150,0,0,0,0,1,1,1,0,0,2,8,11,0,1,0,4,8,0,1,0,0,0,0,0,0,1,0,1,0,1,2,5,65,0,2,0,0,0,0,20,7,6,0,0,1,0,1,0,0,0,0,0,17,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6,3,0,0,0,0,0,199,1,0,0,23,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,170,0,0,2650,1,0,2564,3,2,0,0,5,74,0,0,1,17,11,0,0,0,0,5,0,1,0,0,0,0,0,0,6
19,13990,9850,2,0,6,0,0,24,1,4,66,3498,415,1,1,284,160,54,0,0,0,2030,0,15,0,67,27,0,0,87,24,1858,0,0,4,5,617,4,596,0,0,193,0,2,3,0,0,0,2,1,4,2,25,14,1,1,0,8,7,0,1,0,0,0,0,0,0,0,0,3,0,4,5,6,17,0,2,3,6,0,0,72,2,1,0,0,0,0,1,0,0,0,0,0,32,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,6,3,1,0,1,0,0,323,0,0,0,49,1,1,0,0,1,2,0,0,5,2,0,0,0,0,0,1,261,0,0,3540,8,45,2681,3,22,0,0,20,754,1,0,6,49,32,1,0,0,1,12,0,0,0,0,2,0,0,1,3
20,30748,22967,0,0,28,0,1,57,0,13,172,9528,634,0,0,50,731,49,2,2,1,4025,0,9,0,100,82,0,0,246,164,3960,1,2,2,19,2100,3,986,0,0,577,0,9,6,1,0,0,3,5,0,6,68,70,1,5,0,6,18,3,0,0,0,0,1,0,1,0,1,24,2,4,3,10,40,0,12,13,7,0,1,243,3,6,0,0,0,1,3,1,0,0,0,0,63,1,0,1,1,0,0,1,2,0,0,1,0,1,0,0,4,0,1,0,0,4,1,0,0,2,0,0,4,0,0,0,0,8,0,0,6,0,1,0,1,0,0,3,0,3,3,8,2,0,0,4,0,0,745,0,0,0,142,0,2,6,0,1,0,1,1,2,24,4,0,0,0,0,0,562,0,0,6086,36,154,5269,9,17,5,0,95,494,0,1,6,303,255,1,0,0,0,46,0,0,1,0,0,0,0,0,7
21,45024,32872,16,0,125,0,0,110,0,235,176,13521,128,0,5,77,389,21,0,9,1,4793,0,8,1,81,22,0,1,416,219,9951,0,0,4,6,385,52,2119,1,0,436,0,2,1,2,3,1,7,0,0,1,35,25,1,0,0,6,16,2,0,0,0,0,1,0,0,5,0,5,1,1,1,79,61,0,22,20,7,0,0,97,25,2,0,1,2,0,1,0,0,0,3,0,133,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,11,3,1,0,2,4,0,0,0,0,0,0,2,0,0,0,0,9,0,0,5,0,0,0,0,0,0,2,0,2,2,1,80,0,1,0,2,0,525,0,0,0,98,0,2,9,0,0,4,0,1,2,28,0,0,0,0,0,1,380,0,0,10947,27,55,9984,4,8,5,0,18,842,0,0,4,110,77,0,0,0,0,28,0,0,0,2,2,0,0,1,1
22,75115,40550,5,1,419,0,3,183,1,33,398,11577,516,0,0,489,1998,72,0,10,2,5549,0,178,0,161,45,0,3,719,358,13335,0,0,4,34,1212,22,3223,0,0,821,1,4,5,3,4,3,5,12,1,5,79,54,2,15,0,14,31,1,3,1,0,0,3,0,0,1,0,18,2,21,8,95,114,0,43,14,13,0,0,204,29,3,0,1,0,1,6,0,0,0,2,0,114,2,0,0,13,0,1,0,2,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,2,0,1,0,1,42,0,0,6,0,0,4,0,0,0,3,0,3,3,7,10,0,0,2,0,2,1128,2,0,0,183,3,6,11,0,7,3,0,3,20,56,6,3,0,0,0,3,822,0,0,32284,247,298,26476,21,223,5,1,205,4773,0,24,11,206,118,1,0,0,2,77,0,1,2,0,3,0,0,2,12
23,200673,136264,201,1,618,7,9,419,1,200,905,45914,1606,1,1,960,3093,184,4,23,18,35114,1,45,3,438,330,0,1,3247,1191,29095,1,33,34,82,2226,1113,9140,4,1,2759,6,23,46,15,30,9,17,6,9,29,344,208,6,31,1,34,130,8,13,0,3,5,6,0,0,13,4,29,8,63,30,229,232,0,118,42,26,0,2,668,130,144,6,3,0,1,20,0,1,0,11,0,771,12,7,2,12,1,0,0,19,0,0,2,0,12,2,0,91,9,6,0,3,32,0,0,1,3,0,0,22,3,1,3,3,172,0,1,17,3,0,2,0,0,1,19,1,17,95,50,129,3,6,6,2,1,3175,2,0,1,440,7,10,33,0,8,4,0,7,29,129,2,3,1,0,0,1,2498,0,0,57071,355,1052,47695,70,255,15,1,277,7315,1,11,24,606,428,9,1,0,2,152,1,3,0,2,3,0,0,5,27
24,42897,25313,50,0,79,0,0,66,1,25,267,8610,229,0,0,67,916,28,1,2,0,5158,0,6,1,65,107,0,0,473,171,6022,0,1,10,15,1076,51,1816,0,0,314,5,0,1,1,1,1,1,1,0,1,37,23,5,11,0,6,15,2,1,0,0,0,1,0,0,2,0,5,10,3,3,15,43,0,17,2,7,0,0,80,10,0,0,0,0,0,0,0,1,0,2,1,114,1,0,0,3,1,0,0,5,0,0,0,0,0,0,0,17,0,0,0,2,10,0,0,0,2,4,0,2,0,0,0,1,27,0,0,1,0,0,3,0,0,0,2,0,1,9,9,10,1,0,3,0,0,383,0,0,0,57,1,1,2,0,0,1,0,1,8,25,0,0,0,0,0,3,283,0,1,16668,47,882,12559,21,22,1,0,47,3086,0,0,3,103,65,1,0,0,0,31,0,0,2,0,4,0,0,0,2
25,24295,13785,17,0,26,0,1,35,0,22,18,4792,136,0,0,68,402,9,0,1,0,5046,0,3,0,79,37,0,0,120,15,2076,0,7,0,10,221,5,634,5,0,301,0,1,4,0,0,0,0,3,1,8,44,33,2,3,0,3,14,1,0,0,0,0,1,0,0,0,0,1,1,10,3,7,25,0,10,7,8,0,1,81,3,25,0,0,0,0,1,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,6,0,0,1,0,0,0,0,0,0,3,0,1,1,2,5,0,0,0,0,0,505,0,0,0,64,1,1,2,0,2,1,1,7,1,45,0,0,0,0,0,1,379,0,0,9586,33,247,7669,7,20,1,0,30,1568,0,1,10,75,46,0,2,0,1,26,0,0,0,0,0,0,0,0,4
26,52213,47037,39,2,73,5,2,104,0,71,104,12145,1037,4,1,305,524,70,4,26,7,28265,1,7,3,166,66,4,1,317,98,1898,1,13,32,62,534,56,984,4,2,2199,1,20,36,25,8,5,12,19,7,46,446,262,12,31,3,32,153,15,7,0,2,4,4,0,0,1,3,39,16,34,14,33,186,0,86,94,43,2,1,424,22,17,0,7,4,4,7,0,1,1,10,0,304,3,0,0,1,0,0,0,15,2,0,1,1,15,0,2,6,2,2,0,0,18,1,8,0,6,4,0,8,3,2,4,1,16,0,0,1,1,0,10,3,0,0,7,0,5,7,30,108,4,0,2,5,0,1679,0,0,0,279,1,2,7,1,3,2,0,3,10,65,3,0,0,0,0,1,1301,1,0,643,16,82,349,11,22,4,0,12,138,0,2,7,340,244,0,0,1,0,88,0,1,1,0,5,0,0,0,11
27,204347,191451,41,3,189,1,1,185,1,124,263,51121,4198,2,2,976,1603,168,4,34,11,114373,0,37,4,452,217,2,3,1287,277,6524,0,118,37,135,1903,191,6958,5,1,3570,3,28,33,39,19,7,12,21,5,48,496,265,15,37,7,52,247,23,13,1,1,6,16,0,1,8,0,66,20,65,25,147,390,0,173,108,66,0,8,900,119,33,1,5,3,10,14,6,0,1,6,1,691,7,0,2,17,0,0,7,20,0,0,4,1,10,2,0,124,4,1,0,7,31,0,0,0,6,7,1,28,1,4,1,1,146,0,1,18,1,0,28,0,1,0,20,2,23,7,28,115,2,7,3,1,2,3544,3,2,1,641,6,8,17,0,3,9,5,1,37,124,1,7,0,0,0,5,2674,0,0,4054,42,150,2485,34,107,8,0,24,1184,0,4,16,984,734,15,0,5,5,208,0,5,2,2,4,0,0,4,53
28,96530,86811,61,0,109,1,0,85,1,48,138,23151,1454,1,1,1486,773,62,2,35,7,46680,1,126,23,193,94,0,2,825,192,3645,0,21,52,119,778,57,6580,6,2,2447,2,18,50,29,4,2,8,32,4,39,320,251,20,14,2,43,134,19,15,0,0,5,3,0,2,3,2,49,58,49,31,48,236,0,89,70,73,2,1,604,65,13,3,1,2,1,10,1,0,0,20,0,345,17,0,0,11,0,0,0,8,0,0,0,0,6,1,0,33,2,1,0,3,10,0,3,0,5,1,0,16,0,4,2,0,78,0,10,6,0,0,2,0,0,1,17,0,11,22,21,47,3,3,1,0,0,2839,1,1,0,462,2,10,15,0,2,5,1,3,17,62,1,1,1,0,0,4,2251,0,0,3375,52,109,2306,11,32,5,0,30,821,0,2,7,660,483,2,1,0,1,165,0,1,1,3,3,0,0,0,53
29,11081,9469,7,0,49,0,0,34,2,11,34,3217,263,0,0,62,209,21,0,0,0,4024,0,8,0,62,13,0,0,138,40,670,0,2,0,12,194,6,391,0,0,341,1,2,5,6,0,1,1,0,1,9,51,27,1,3,0,6,15,0,0,0,0,0,1,0,0,0,1,3,3,11,2,11,23,0,33,6,11,0,0,90,11,0,0,0,0,2,1,2,0,0,1,0,63,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,5,0,0,0,3,9,0,0,0,0,0,0,2,0,0,0,0,12,2,1,1,0,0,3,0,0,0,4,0,3,3,4,8,0,0,0,0,0,416,0,0,0,58,2,0,5,0,2,0,0,3,2,17,2,0,0,0,0,0,325,0,0,704,5,41,426,1,12,3,0,3,212,0,0,1,86,46,2,0,0,1,34,0,0,0,0,2,0,0,1,2
30,5934,5449,0,0,4,0,0,3,0,5,1,1493,75,0,0,39,104,3,0,1,0,2428,0,7,1,22,10,0,0,37,3,613,0,0,1,3,416,8,172,0,0,129,0,2,2,2,2,1,2,0,0,0,17,8,1,1,0,4,4,0,0,0,0,1,0,0,0,0,0,0,2,12,0,3,12,0,5,2,1,0,0,36,8,0,0,0,0,0,1,0,0,0,0,0,15,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,197,0,1,0,25,0,0,0,0,2,0,0,1,2,5,1,2,0,0,0,0,158,0,0,95,2,0,78,0,1,0,0,1,13,0,0,0,48,34,0,0,0,0,14,0,0,0,0,0,0,0,0,1
31,3849,3509,0,0,10,0,0,6,0,10,1,1260,40,0,0,22,79,0,0,1,0,1105,0,2,0,19,24,0,0,6,22,489,0,0,1,0,94,2,316,0,0,107,0,1,2,0,1,0,0,0,0,3,13,6,2,1,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,1,0,6,29,0,1,1,0,0,0,27,1,1,0,0,0,0,2,0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,5,0,0,0,2,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,8,0,0,0,1,0,0,2,4,12,0,0,1,0,0,119,0,0,0,21,0,0,0,0,1,0,0,0,3,4,0,0,0,0,0,2,88,0,0,27,1,1,21,1,1,1,0,1,0,0,0,0,26,15,1,0,0,0,10,0,0,0,0,0,0,0,0,0
32,5988,3985,6,0,16,0,0,43,0,17,10,1866,17,0,0,13,116,0,0,0,1,774,0,6,0,10,16,0,0,23,4,841,0,0,0,2,42,1,161,0,0,70,0,0,1,0,0,0,0,1,0,1,8,4,0,1,0,2,5,1,0,0,0,0,0,0,0,1,0,3,1,0,0,5,15,0,1,0,2,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,154,0,0,0,13,0,1,0,0,0,0,0,1,6,1,0,1,0,0,0,0,131,0,0,1735,0,0,1727,0,3,0,0,0,5,0,0,0,25,12,0,0,0,0,12,0,0,0,1,0,0,0,0,2
33,21270,19208,19,0,31,0,0,52,0,97,16,8782,143,0,0,82,532,4,0,2,3,5638,0,8,0,108,9,0,0,127,103,1533,0,10,5,5,175,24,1700,0,0,383,1,4,7,1,0,0,1,4,0,7,34,33,1,3,1,2,13,0,1,0,0,3,0,0,0,0,0,9,1,12,2,18,58,0,6,4,7,0,0,117,14,6,0,0,0,0,6,0,0,0,7,0,68,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,0,0,0,0,12,0,0,0,1,1,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,0,1,0,4,0,6,28,0,0,0,0,0,462,0,0,0,91,1,1,2,0,1,0,1,1,13,12,0,1,0,0,0,1,337,0,0,1049,6,17,876,4,2,0,0,10,133,0,0,1,98,66,3,0,0,0,23,0,1,0,0,5,0,0,0,2
34,39842,34861,26,0,67,0,0,106,0,69,61,14118,203,2,2,306,1012,13,0,4,1,9219,0,39,1,116,55,0,0,194,28,5545,0,3,27,36,748,10,2850,0,0,694,1,3,4,7,10,5,3,10,0,5,44,66,5,7,4,16,30,0,4,0,0,1,2,0,0,8,0,9,1,12,4,21,84,0,34,4,7,0,0,182,81,9,0,0,0,1,6,0,0,2,1,1,185,4,0,0,6,0,0,0,6,0,0,0,0,2,0,1,11,4,0,0,0,18,1,0,0,0,0,0,1,1,0,3,0,17,0,2,1,1,0,0,0,0,0,2,0,3,0,19,80,0,1,1,0,0,963,1,0,1,118,3,2,6,0,3,1,0,3,9,19,0,1,1,0,0,0,795,0,0,2970,10,11,2335,1,11,1,0,9,583,0,1,8,155,100,2,0,0,0,47,0,3,0,2,1,0,0,0,14
35,13219,12433,15,0,5,0,0,37,0,14,6,3322,99,0,2,34,263,3,0,0,0,6608,0,12,0,56,9,0,0,107,5,1021,0,0,2,4,103,6,700,0,0,180,0,1,0,5,2,0,1,2,1,3,13,12,0,1,0,2,11,0,0,0,0,0,1,0,1,1,0,2,2,2,3,9,20,0,16,4,1,0,0,44,14,0,1,0,0,1,1,0,0,0,3,0,26,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,2,6,0,0,0,0,0,409,0,0,0,48,5,0,1,0,0,0,0,0,4,6,2,0,0,1,0,0,342,0,0,136,2,1,93,2,2,1,0,2,33,0,0,0,34,23,1,0,0,1,5,0,2,1,0,0,0,0,1,1
36,4992,4538,1,0,10,0,0,23,0,68,6,2527,37,0,0,29,178,1,0,2,0,356,0,6,0,57,59,0,0,35,10,649,0,0,2,0,88,1,392,1,0,123,0,1,0,1,1,1,0,0,0,4,7,11,0,1,0,2,2,0,0,0,0,0,0,0,0,1,0,2,1,2,2,13,18,0,4,6,0,0,0,28,7,4,0,0,0,1,2,0,0,0,1,0,53,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,26,0,1,0,0,0,191,0,0,0,46,0,0,0,0,2,0,0,1,1,2,0,0,0,0,0,0,139,0,0,56,1,1,35,1,5,0,0,1,12,0,0,0,30,22,0,0,0,0,7,0,0,0,0,0,1,0,0,1
37,8946,7823,2,0,25,0,0,33,2,190,6,3718,50,0,0,41,433,3,0,0,0,973,0,71,0,29,6,0,0,197,27,1279,0,0,1,1,148,3,585,0,0,188,0,2,0,2,0,1,0,4,0,0,21,10,1,1,0,6,24,1,0,0,0,0,0,0,1,0,0,3,2,4,1,10,11,0,24,0,4,0,0,49,5,0,0,0,0,1,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,1,4,0,0,2,0,0,1,0,0,0,0,0,0,1,3,3,0,0,5,0,0,214,0,0,0,35,2,1,0,0,0,0,0,0,4,3,1,0,1,0,0,1,166,0,0,659,6,5,259,0,4,1,0,0,384,0,0,0,34,22,0,0,0,0,11,0,0,1,0,0,0,0,0,1
38,9290,8487,0,0,14,0,1,15,0,43,7,4355,92,0,0,71,297,1,0,2,0,1379,0,4,0,45,12,0,0,121,14,1069,0,0,1,5,114,7,813,1,4,190,0,1,2,2,4,0,1,1,2,2,26,14,5,1,0,3,12,0,0,0,0,1,1,0,0,3,0,1,0,1,0,6,17,0,18,2,4,0,0,51,3,2,0,0,0,0,1,0,0,1,2,0,39,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,5,0,3,0,3,0,0,0,1,0,1,0,0,0,0,0,0,9,4,4,0,0,0,0,0,240,1,0,0,40,0,4,5,0,0,0,0,1,6,6,0,0,0,0,0,0,177,0,0,265,5,4,195,1,2,16,0,3,37,0,0,2,68,42,0,0,0,0,26,0,0,0,0,0,0,0,0,1
