prefecture_id,総数,教授,芸術,宗教,報道,高度専門職１号イ,高度専門職１号ロ,高度専門職１号ハ,高度専門職２号,経営・管理,法律・会計業務,医療,研究,教育,技術・人文知識・国際業務,企業内転勤,介護,興行,技能,特定技能１号,特定技能２号,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,技能実習３号イ,技能実習３号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
34,54419,133,0,38,0,28,45,0,1,127,0,21,10,265,2756,228,7,78,430,0,0,348,6690,376,8042,53,733,34,5354,36,2362,1514,13446,1673,484,2077,7030
35,17425,33,0,33,0,5,5,1,0,55,0,4,1,87,616,40,2,18,133,0,0,86,2191,41,2355,4,204,14,1922,2,540,432,2559,555,71,267,5149
36,6232,29,0,5,0,5,4,0,1,26,0,12,0,102,167,5,0,11,83,0,0,4,1148,20,1585,1,158,7,437,2,247,224,1291,310,29,139,180
37,13385,9,1,11,1,5,6,0,0,17,0,1,1,71,542,27,2,5,102,0,0,203,2362,266,2892,81,327,13,712,9,321,692,2736,531,115,678,646
38,12459,33,0,4,0,3,8,0,1,28,0,0,2,129,492,60,0,10,106,0,0,176,2471,215,3171,81,281,4,581,9,325,572,1943,521,62,263,908
39,4746,22,0,1,0,1,1,0,0,8,0,10,1,130,102,15,0,5,60,0,0,8,735,9,987,0,96,6,616,7,111,66,950,286,10,91,412
40,79129,297,20,237,1,80,82,11,4,902,2,40,10,374,6217,288,22,278,729,0,0,176,5869,128,6256,16,380,128,19167,51,5338,1087,13974,3283,486,1441,11755
41,6732,7,1,15,0,3,2,1,0,25,0,4,4,59,356,21,4,30,70,0,0,25,1303,10,1466,2,104,8,899,5,296,105,1044,274,13,110,466
42,10489,66,1,37,0,4,2,0,1,59,0,1,1,202,744,81,10,55,90,0,0,7,1178,68,1524,0,81,24,2218,16,460,374,1850,514,46,165,610
43,16592,71,7,28,0,4,12,0,0,46,0,6,0,161,1016,52,0,53,175,0,0,65,3435,73,4310,0,243,19,1233,5,575,260,3135,750,57,314,487
44,13379,43,0,32,0,2,4,0,0,68,0,3,0,107,692,20,0,37,126,0,0,74,1799,6,1937,0,112,5,3793,5,460,230,1884,473,68,238,1161
45,7162,26,0,11,0,2,0,0,0,35,0,8,1,91,254,13,7,13,82,0,0,0,1571,3,1849,0,119,12,809,8,279,43,1168,327,21,92,318
46,11453,33,0,32,0,3,2,0,0,26,0,2,2,141,480,18,4,5,128,0,0,8,2478,3,2940,0,195,12,941,2,309,106,2408,611,28,317,219
47,19360,190,5,132,1,107,14,4,0,258,0,5,5,143,2526,86,5,17,244,0,0,0,1337,4,1101,0,60,48,2901,16,1351,817,5152,1765,128,562,376
未定・不詳,1221,19,4,2,1,0,2,0,0,6,0,1,2,20,72,30,0,98,17,0,0,8,5,0,2,1,2,23,39,12,87,625,40,55,4,27,17
