都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,エスワティニ,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
10,57072,37076,55,0,738,0,3,920,0,361,720,7264,505,0,0,650,1757,179,1,3,1,2233,317,0,21,4,132,279,1,0,3051,975,8036,0,1,5,15,1021,195,7627,5,1,509,1,3,2,7,1,0,3,1,0,0,36,22,1,5,1,16,17,1,0,0,0,1,5,0,3,2,2,0,14,3,90,74,0,16,4,8,0,0,119,10,34,0,3,0,2,1,0,0,0,1,0,230,3,1,0,63,0,0,0,4,0,0,0,0,7,0,0,0,24,21,0,0,2,8,0,0,0,0,11,0,6,0,0,2,0,23,0,0,1,1,0,0,0,0,0,5,0,22,6,5,9,0,0,6,0,0,691,0,0,0,86,5,1,15,0,1,1,6,1,7,33,1,1,0,0,0,1,532,0,0,18387,166,517,12628,41,49,3,0,199,4767,0,7,10,154,98,0,0,0,0,45,1,1,1,0,6,0,1,1,25
11,173887,154039,118,0,1018,1,18,1948,0,432,1627,67759,3185,1,0,1561,2535,478,6,15,15,15888,1423,0,76,3,593,1012,0,2,5847,2485,20145,0,72,28,114,3187,1555,20878,11,3,2997,3,18,17,11,13,2,16,15,6,27,346,224,12,37,1,44,149,38,14,0,2,5,14,0,13,3,40,16,86,25,117,420,0,111,71,23,0,3,659,88,258,5,5,3,12,14,2,0,1,8,0,1955,7,1,2,174,1,0,0,71,0,0,15,0,36,0,5,1,438,79,28,3,5,47,2,1,0,2,29,0,45,1,3,4,1,546,0,5,109,6,1,20,0,0,1,16,10,61,38,27,79,13,1,15,6,0,2715,1,1,0,415,7,13,36,0,10,6,0,8,34,138,6,5,0,1,0,3,2031,0,0,11612,184,161,7302,59,181,13,0,210,3485,0,6,11,520,319,19,1,1,4,159,0,0,2,2,8,0,0,5,49
12,152186,136661,1145,2,1111,0,205,988,2,363,4575,50852,3591,1,0,1746,2366,434,14,17,22,16049,752,2,72,1,647,1411,0,3,6563,1234,19168,0,9,46,163,5684,95,17318,7,3,3234,7,38,30,14,15,3,12,23,6,26,326,195,9,39,2,46,113,9,28,1,2,7,21,0,5,2,43,17,71,34,98,583,0,118,57,34,0,5,801,110,259,0,2,2,3,8,1,0,0,8,1,1385,9,0,1,76,0,0,2,25,1,0,4,0,23,0,1,1,348,14,2,1,12,72,8,2,1,10,7,1,25,4,7,4,1,301,0,6,33,7,1,47,0,0,0,38,4,20,107,62,73,7,4,11,0,2,3212,0,1,1,475,11,12,22,1,9,10,2,17,62,264,4,2,0,0,0,5,2313,0,1,7037,119,191,3528,81,237,10,0,83,2765,0,4,19,622,392,29,0,0,0,173,0,5,5,2,6,0,0,10,35
13,555053,483867,122,53,10597,3,94,4826,19,793,3262,210018,19794,15,7,12818,4751,1050,29,272,29,94327,5356,26,213,43,2887,2688,5,11,27827,1252,33411,12,301,86,1289,8456,814,36281,18,12,31959,20,253,388,168,115,49,117,262,49,263,7020,2974,111,212,23,440,2017,90,122,5,26,37,94,10,43,18,567,181,511,231,550,2779,0,1308,899,472,13,53,6591,491,2126,19,39,20,27,63,13,1,1,73,5,3581,60,5,9,116,7,1,7,80,1,0,21,7,180,0,13,6,547,166,14,3,32,133,7,23,3,24,47,3,194,23,21,16,2,548,9,21,157,19,6,35,1,1,1,74,8,197,107,201,335,16,21,35,11,7,23835,3,2,4,3423,36,83,46,5,24,36,11,31,104,623,14,20,1,0,7,20,19342,0,0,7041,357,115,3572,194,549,44,0,72,2016,4,26,92,4664,3607,50,3,2,12,936,0,12,6,5,23,0,2,6,106
14,211913,176395,41,25,878,1,24,1137,6,2039,2842,68910,5471,2,11,5304,3087,548,6,34,14,28420,1686,2,1244,19,1129,876,3,2,5947,1229,22174,13,139,44,305,4490,264,18014,13,2,7622,5,79,80,35,29,14,44,48,15,50,1123,1161,32,69,1,97,380,49,37,0,6,9,29,1,22,0,134,37,134,54,229,875,1,302,167,143,15,12,1677,198,164,2,17,0,5,11,8,1,0,21,0,1942,45,0,1,45,5,0,1,42,1,0,10,1,17,0,3,0,362,34,4,1,43,78,1,2,3,9,39,0,72,10,12,17,0,479,1,10,139,0,1,6,2,0,0,124,5,55,31,68,109,13,12,21,7,1,7337,0,3,1,954,33,19,191,2,22,15,5,10,93,289,16,4,0,1,0,8,5670,1,0,17410,678,771,8762,47,313,45,2,258,6480,0,6,48,1030,783,17,0,0,7,207,0,3,4,1,4,0,0,4,177
15,15810,14029,16,0,155,0,0,86,1,76,257,4913,211,0,1,63,460,14,0,2,2,1789,125,0,13,0,83,219,0,0,298,276,2455,0,0,5,20,448,10,2031,0,0,578,4,2,2,0,0,1,1,0,0,0,46,25,0,3,0,3,25,8,7,0,0,1,0,0,0,0,10,2,5,1,21,197,0,28,5,6,1,6,127,10,20,1,2,1,3,1,0,0,1,2,0,141,0,0,0,2,1,0,1,1,0,0,1,1,5,6,1,0,11,0,2,0,2,11,0,0,0,5,4,1,9,2,0,3,1,16,0,0,13,0,0,4,0,1,0,6,0,7,2,8,6,2,2,3,0,1,460,0,0,0,58,6,0,1,0,1,2,0,1,7,43,0,1,0,0,0,1,339,0,0,421,8,5,324,3,3,0,0,4,71,0,0,3,178,133,2,3,0,2,35,0,1,0,0,0,1,1,0,3
16,17394,13484,2,0,66,0,0,118,0,78,52,5008,168,0,1,150,457,2,0,8,1,901,104,0,4,0,96,37,0,0,103,540,2178,0,0,5,5,164,1,3235,0,0,667,3,1,2,3,3,1,4,0,1,2,16,9,0,4,0,5,9,0,2,0,0,1,1,0,7,0,3,0,2,2,31,475,0,5,0,2,0,1,40,21,4,0,0,0,0,2,0,0,0,5,0,50,1,0,0,2,0,0,0,10,0,0,1,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,4,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,1,0,0,0,0,267,1,0,0,30,0,0,2,0,0,0,0,0,10,8,2,0,0,0,0,5,209,0,0,2884,3,30,2659,2,2,0,0,137,51,0,0,0,41,31,0,0,0,0,8,0,1,0,0,0,0,0,1,1
17,14159,11631,2,0,240,0,0,87,0,51,23,4324,179,0,0,100,717,3,4,0,1,1400,184,0,3,0,61,106,0,1,168,39,1018,0,3,9,9,305,8,2586,0,0,372,0,2,5,0,4,0,2,1,0,9,37,31,1,4,0,9,22,3,0,0,1,0,1,0,0,1,3,1,7,0,19,72,0,20,2,6,0,2,80,9,0,0,1,0,0,8,0,0,0,8,1,79,1,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,7,0,0,0,1,2,0,1,0,0,1,0,15,1,0,1,0,0,0,0,0,0,2,0,5,0,3,35,0,0,0,0,0,353,0,0,0,44,0,3,2,0,2,1,0,1,4,5,2,0,0,0,0,2,287,0,0,1662,11,18,1500,2,9,0,1,11,106,0,1,3,61,44,0,0,0,0,13,0,0,0,0,4,0,0,0,1
18,14229,9867,8,0,147,0,3,28,0,161,20,2943,120,0,0,13,267,5,0,1,0,2165,274,0,0,0,82,33,0,1,79,15,1438,0,0,0,4,229,2,1829,0,0,161,0,0,0,0,1,0,1,0,0,2,12,7,0,2,0,6,8,0,1,0,0,0,0,0,1,0,3,0,2,3,3,67,0,3,1,0,0,0,24,9,3,0,0,1,0,1,0,0,0,0,0,19,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,242,0,0,0,34,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,1,197,0,0,3913,3,0,3812,2,2,0,0,5,89,0,0,0,24,15,1,1,0,0,7,0,0,0,0,0,0,0,0,3
19,15739,11539,1,0,41,0,0,21,1,13,76,3525,540,1,0,291,228,51,0,4,0,1887,39,0,13,0,75,42,0,0,258,33,2035,0,1,0,8,717,6,1632,0,0,261,0,4,6,0,0,1,2,1,0,3,42,22,0,1,0,8,10,0,4,0,0,1,1,0,0,0,7,1,2,7,8,32,0,1,2,7,0,0,80,2,3,0,0,0,0,1,0,0,0,2,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,3,0,0,7,0,0,4,0,0,0,0,0,3,2,8,2,5,1,1,0,0,362,0,0,0,58,2,0,1,0,1,1,0,0,4,3,0,0,0,0,0,5,287,0,0,3472,9,30,2691,1,21,0,0,17,694,1,0,8,56,39,1,0,0,0,12,0,0,0,0,4,0,0,0,4
