都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,エスワティニ,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
20,35637,27506,6,0,195,0,3,72,0,207,278,9584,775,0,0,92,1023,44,1,4,1,3453,319,0,11,1,110,75,2,0,441,232,4933,1,4,0,26,2305,6,3300,0,2,677,0,12,9,2,1,4,11,2,1,5,97,67,1,5,0,3,33,3,0,0,0,3,3,1,0,1,24,3,14,5,13,47,0,21,15,8,0,0,233,6,14,0,0,0,1,7,2,0,0,0,0,86,1,0,1,1,0,0,1,2,0,0,3,0,3,0,0,0,3,0,2,0,1,5,1,0,0,2,0,0,3,0,1,0,2,10,0,0,3,0,1,0,1,0,0,0,0,3,3,10,17,0,0,5,0,1,820,1,0,0,144,1,1,9,0,4,0,1,1,13,31,0,0,0,0,0,2,612,0,0,6154,30,179,5329,10,21,5,0,124,445,0,2,9,392,334,1,0,1,0,56,0,0,0,0,0,0,0,0,2
21,52124,38934,31,0,446,0,0,145,1,562,331,11458,233,0,4,116,827,19,0,6,1,3753,534,0,10,1,80,54,0,1,745,374,12528,0,0,5,11,578,76,6004,0,0,463,0,6,3,1,2,0,2,1,0,1,33,25,0,1,0,7,22,7,1,0,0,0,1,0,4,0,6,0,4,9,85,68,0,23,7,5,0,0,96,26,9,0,0,2,1,0,0,0,0,5,0,120,0,0,0,2,0,0,0,6,0,0,1,0,1,0,0,0,11,6,0,0,6,9,0,0,0,0,2,0,2,0,0,0,0,16,0,0,14,1,0,0,0,0,0,1,0,1,3,1,36,0,0,1,0,0,490,0,0,0,87,1,3,10,0,1,3,0,2,7,21,0,0,0,0,0,1,354,0,0,12007,31,69,10993,4,13,3,0,17,871,0,2,4,108,71,0,0,0,0,31,0,0,0,0,3,0,0,3,2
22,88720,51710,8,0,933,0,2,253,1,105,1033,11582,796,0,0,603,2800,73,0,6,3,4839,415,0,192,0,209,94,0,3,1472,425,16517,0,0,4,43,1536,43,7719,0,1,891,0,4,7,5,4,1,7,5,1,8,112,60,2,9,0,13,41,2,3,1,0,1,3,0,0,0,16,1,14,7,83,128,0,32,18,12,0,1,223,31,22,1,1,0,0,11,0,0,0,1,0,157,1,0,0,14,0,1,0,2,0,0,0,0,0,0,0,1,7,2,0,0,0,7,0,0,0,1,3,0,8,0,1,0,1,43,0,3,8,0,0,2,0,0,0,3,1,6,4,20,13,0,0,1,1,3,1169,1,0,0,170,3,6,16,0,8,4,0,3,25,71,11,3,0,0,0,11,837,0,0,34575,252,279,28807,18,211,9,0,224,4737,0,22,16,211,131,2,0,0,1,68,0,1,1,0,1,0,0,6,7
23,251823,176022,241,0,1209,16,24,588,1,789,2085,48182,2140,1,1,1244,6462,201,3,15,31,30276,2229,1,61,6,476,553,2,1,8508,1563,36856,0,22,39,87,3111,1616,27373,5,4,3356,8,22,57,17,31,12,19,9,5,34,511,242,8,33,3,39,171,15,12,0,2,3,12,0,15,6,43,23,69,39,247,263,0,151,44,28,1,1,781,144,193,3,2,1,0,16,0,1,1,19,0,1022,16,9,3,18,0,0,0,23,1,0,2,0,11,0,3,0,123,11,9,0,6,41,0,0,1,4,5,1,35,4,3,11,5,215,0,3,31,2,0,3,0,0,1,23,0,17,121,101,131,5,5,17,1,1,3757,1,0,0,657,10,19,30,0,6,11,0,9,50,188,4,2,1,0,0,1,2768,0,0,66985,367,1206,56942,58,310,22,1,329,7711,1,10,28,654,448,11,3,1,2,162,1,9,1,2,9,0,0,5,27
24,50074,30914,65,0,363,0,1,73,0,167,612,7804,389,0,0,73,1514,28,0,2,0,4492,350,0,17,1,71,193,0,0,1132,220,6905,0,1,28,20,1439,27,4927,0,0,393,6,1,2,2,1,0,3,3,0,4,45,31,4,6,0,7,21,4,0,0,0,2,0,0,2,0,4,1,3,3,15,54,0,60,1,10,0,0,76,14,5,0,0,0,0,0,0,0,0,2,1,177,1,0,0,2,1,0,0,7,0,1,0,0,1,0,0,0,31,2,0,0,3,10,0,1,0,1,3,0,1,0,0,2,1,31,0,0,4,0,0,3,0,0,0,2,0,5,29,10,15,1,5,4,0,0,443,0,0,0,64,3,1,4,0,0,0,0,1,7,59,0,0,0,0,0,0,303,0,1,18050,51,992,13691,25,16,1,0,50,3222,0,0,2,91,52,5,0,0,0,29,0,1,1,0,3,0,0,0,6
25,28530,16768,14,1,145,1,1,70,1,55,40,4949,225,0,0,87,897,10,0,4,0,4300,328,0,3,0,108,55,0,0,205,19,2418,0,2,0,16,287,14,2513,0,0,329,0,3,5,1,1,0,0,0,1,4,46,35,2,10,0,1,12,15,0,0,0,0,1,0,0,0,7,0,10,3,9,25,0,16,5,8,0,0,95,5,8,1,0,0,0,0,0,0,0,0,0,77,1,0,0,5,0,0,0,1,1,0,1,0,9,0,0,0,3,0,0,0,0,8,0,0,0,0,2,0,5,0,0,0,0,14,0,0,5,0,1,1,0,0,0,3,0,2,3,1,9,0,1,0,0,1,495,0,0,0,66,1,0,27,0,1,2,1,6,11,26,0,0,0,0,0,1,353,0,0,10771,32,327,8724,10,18,1,0,32,1586,0,0,41,86,64,0,2,0,0,20,0,0,0,0,0,0,0,0,4
26,58947,52479,74,1,177,2,0,172,4,85,273,14356,1711,2,1,429,810,73,12,47,11,24249,1791,3,19,5,234,102,6,1,732,97,2338,0,8,49,94,651,71,3775,1,13,2823,5,18,56,27,9,8,22,23,9,47,648,289,19,28,6,37,215,27,20,0,3,7,9,1,3,3,66,21,37,13,41,243,0,121,89,60,0,1,492,39,25,0,5,3,4,12,2,1,0,8,1,374,5,0,2,5,0,0,0,12,1,0,3,0,4,0,0,5,5,9,1,0,5,26,1,8,0,10,5,2,9,1,2,8,0,18,1,1,10,1,1,13,1,0,0,10,2,7,6,43,113,5,3,7,3,0,2071,2,0,0,331,6,3,14,1,3,3,0,4,15,98,3,2,0,0,0,2,1583,1,0,756,22,96,419,20,26,2,0,11,145,0,8,7,430,304,3,2,1,0,104,0,5,1,2,7,0,0,1,14
27,233713,219044,74,2,701,0,124,268,3,232,488,61459,6888,4,2,1211,2892,184,19,44,11,101554,4838,0,38,2,679,271,6,5,2874,387,8185,0,50,73,197,2405,218,22647,9,0,4298,4,42,37,30,22,11,14,30,1,44,704,307,12,38,5,62,317,35,26,1,1,5,15,3,11,2,83,24,83,34,150,457,0,253,87,70,2,9,1021,129,48,3,10,4,8,25,4,0,0,15,0,927,12,0,1,12,0,1,7,26,0,0,6,0,15,1,0,1,157,4,2,1,3,49,1,6,2,7,8,5,33,4,4,8,2,161,0,2,25,1,0,44,0,0,0,21,2,55,10,49,150,7,5,10,2,5,3964,1,2,0,668,6,15,19,0,5,10,6,3,52,157,1,7,0,0,0,8,3003,0,1,4328,46,158,2657,40,120,11,0,25,1243,1,2,25,1108,831,14,0,0,4,242,0,1,2,3,6,1,1,3,44
28,107708,97207,74,0,492,3,72,169,2,212,250,23344,2102,4,0,1526,1233,66,1,39,10,39946,2920,0,119,28,252,160,0,2,1536,231,4598,0,11,103,144,961,56,16531,9,1,2715,1,18,46,29,12,8,21,45,5,50,377,282,17,18,1,50,160,16,16,0,1,3,7,1,8,0,55,33,40,26,50,269,0,117,43,75,2,3,640,77,44,5,2,5,2,18,1,0,0,16,0,554,25,0,2,21,0,0,1,13,0,0,5,2,15,0,0,1,39,4,4,0,1,19,1,12,0,3,2,2,28,2,2,5,3,94,2,22,12,0,2,3,0,0,1,34,3,30,19,36,61,7,7,4,1,4,2988,4,0,0,489,3,13,20,0,7,5,1,3,34,71,3,1,1,0,0,9,2324,0,0,3487,53,92,2435,14,40,8,0,38,796,0,1,10,709,498,5,4,2,0,195,0,0,2,0,3,0,0,0,48
29,12187,10579,16,0,215,0,0,60,0,28,95,2935,358,0,0,67,288,19,0,0,0,3405,173,0,12,0,76,31,0,0,204,41,764,0,0,4,16,238,13,1521,0,0,387,0,3,6,7,0,2,0,1,1,4,69,37,1,2,0,7,19,0,0,0,0,1,0,0,0,0,6,4,11,1,11,20,0,43,8,12,0,0,91,9,1,0,4,0,3,3,0,0,0,0,0,68,0,1,0,4,0,0,1,4,0,0,0,0,1,0,0,0,4,0,1,0,3,7,0,0,0,0,0,0,1,1,0,1,0,12,0,0,2,0,0,0,0,0,0,5,0,1,7,6,5,0,0,0,0,1,469,0,0,0,68,4,0,6,0,1,0,0,1,3,19,1,0,0,1,0,0,365,0,0,598,13,41,343,3,13,3,0,2,178,0,1,1,83,48,1,0,4,1,26,0,0,0,0,3,0,0,0,3
30,6490,5908,1,0,15,0,0,1,0,27,5,1303,138,0,0,50,210,3,0,2,0,2055,160,0,3,4,34,40,0,0,53,18,754,0,0,6,3,442,6,575,0,0,144,0,2,2,2,1,1,1,0,0,0,18,9,1,0,0,5,7,0,1,0,0,1,1,0,1,0,0,2,16,1,3,10,0,5,3,1,0,0,42,7,0,0,0,0,0,1,0,0,0,0,0,18,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,4,0,0,1,0,0,222,0,0,0,28,0,0,0,0,1,0,0,1,7,5,1,1,0,0,0,0,178,0,0,154,4,4,135,0,0,0,0,0,11,0,0,0,42,26,0,0,0,0,15,0,0,0,1,0,0,0,0,2
31,4258,3868,0,0,48,0,1,9,0,41,0,944,52,0,0,27,111,0,0,0,0,910,111,0,2,1,29,32,0,0,27,28,565,0,0,0,1,77,2,850,0,0,116,0,1,4,0,0,1,0,1,0,2,12,6,3,2,0,6,4,0,0,0,0,0,1,0,0,0,1,0,1,0,5,18,0,2,0,0,0,0,30,1,12,0,1,0,0,2,0,0,0,0,0,78,0,0,1,0,0,0,0,0,0,0,0,0,29,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,23,0,0,0,1,0,0,4,3,4,0,0,2,0,0,142,0,0,0,21,0,0,0,0,1,0,0,0,5,3,0,0,0,0,0,1,111,0,0,31,0,1,25,0,0,0,0,2,3,0,0,0,23,14,0,0,0,0,9,0,0,0,0,0,0,0,0,0
32,8561,4556,13,0,103,0,0,96,0,132,2,1358,38,0,0,43,154,1,0,0,1,647,63,0,3,0,16,17,0,0,40,1,851,0,0,0,2,82,1,892,0,0,94,0,0,2,0,0,1,0,1,0,2,10,12,0,1,2,2,6,1,0,1,0,0,0,0,1,1,2,1,5,0,2,16,0,1,0,1,0,0,20,2,0,0,0,0,0,0,0,0,0,1,0,31,0,0,0,2,0,0,0,0,0,0,1,0,5,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,4,0,0,4,0,0,0,0,0,0,1,0,1,1,5,0,0,0,0,0,0,163,0,0,0,15,1,0,0,0,0,0,0,0,6,1,0,1,0,0,0,2,137,0,0,3691,0,0,3685,0,2,0,0,0,4,0,0,0,24,14,0,0,0,0,10,0,0,0,0,0,0,0,0,2
33,26092,23829,12,0,207,0,0,70,0,299,108,7571,255,0,0,102,892,7,0,3,5,4919,372,0,14,0,113,14,0,0,334,134,1855,0,3,7,5,348,35,6144,0,1,450,1,3,7,6,0,3,1,4,0,6,64,30,2,6,1,5,26,0,2,0,1,0,1,1,0,0,5,1,15,3,14,59,0,12,8,6,0,0,130,10,6,0,0,0,2,7,0,0,0,2,0,100,1,2,0,1,0,0,0,2,0,0,0,0,2,0,0,1,7,2,0,0,1,16,0,0,0,1,1,0,5,1,0,0,0,7,0,0,4,0,0,1,0,0,0,3,0,5,3,3,30,1,0,0,0,0,501,0,1,1,72,1,0,1,0,0,0,1,0,19,17,0,1,0,0,0,4,383,0,0,1100,7,19,940,5,2,5,0,7,114,0,0,1,111,72,4,0,0,0,27,0,0,0,1,6,0,1,0,1
34,49678,44429,66,0,271,0,0,192,0,210,85,13987,433,1,1,429,1592,14,4,5,2,7595,842,0,41,0,109,113,0,0,340,46,7234,0,2,47,43,1029,14,9681,1,0,812,6,6,1,12,8,4,2,6,1,7,54,72,11,10,0,19,29,9,8,0,0,1,3,0,8,0,18,0,15,5,22,119,0,36,4,8,0,4,195,74,16,0,1,0,3,9,1,0,4,0,1,209,9,0,0,1,0,0,0,4,0,0,0,0,3,1,0,1,16,6,0,0,3,20,3,0,1,2,1,0,3,16,2,3,0,23,0,11,3,1,0,0,0,0,0,1,0,9,3,13,44,1,2,2,1,0,1125,4,1,0,110,4,4,15,0,3,2,0,3,20,175,0,0,0,0,0,3,781,0,0,2927,11,14,2263,2,11,2,1,7,606,0,2,8,162,118,2,0,0,0,37,0,1,0,4,0,0,0,0,14
35,15833,14888,12,0,52,0,0,85,0,140,68,2824,155,0,2,47,366,2,0,0,0,5252,723,0,16,0,62,17,0,0,351,14,1635,0,0,0,6,146,6,2907,0,0,207,0,0,2,3,1,0,1,2,1,2,25,13,0,4,0,4,9,2,0,0,0,0,0,0,0,0,2,2,2,3,8,19,0,12,8,2,0,0,58,20,0,1,0,0,0,0,0,0,0,1,0,34,0,0,2,3,0,0,0,6,1,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,0,0,4,0,0,2,3,1,0,0,0,0,1,461,2,0,0,48,4,0,0,0,0,1,0,0,6,6,2,0,0,1,0,0,391,0,0,189,7,1,134,2,3,1,0,4,37,0,0,0,54,34,1,0,0,1,12,0,3,1,1,0,0,0,1,0
36,5640,5139,19,0,82,0,0,38,0,107,6,1954,57,0,0,59,254,1,0,3,0,302,28,0,14,0,24,46,0,0,55,25,702,0,0,2,1,115,3,1242,0,0,142,0,2,2,0,0,0,0,0,0,2,16,14,0,1,0,5,3,0,1,0,0,0,1,0,1,0,2,2,1,0,17,20,0,7,3,0,0,0,31,9,0,0,0,0,0,1,0,0,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,3,2,0,1,0,5,0,1,0,0,0,1,0,0,0,0,0,0,0,2,28,0,1,0,0,0,215,0,0,0,49,3,0,1,0,1,0,0,0,4,5,0,0,0,0,0,1,151,0,0,59,1,1,39,1,2,0,0,1,14,0,0,0,37,21,3,1,0,0,8,0,2,0,1,0,0,0,1,1
37,11805,10743,0,0,203,0,0,32,2,252,7,3870,109,0,0,43,683,3,0,0,0,836,58,0,142,0,43,15,0,0,153,41,1772,0,0,0,4,130,5,2340,0,0,180,0,2,0,2,0,1,0,5,0,2,27,12,1,1,0,9,23,1,1,0,0,0,0,0,0,0,3,2,7,1,1,8,0,15,1,4,0,0,41,5,0,0,0,2,0,2,0,0,0,1,0,36,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,1,1,0,3,1,0,1,1,7,0,0,4,0,0,0,0,0,0,0,0,0,0,2,5,0,0,2,0,1,218,0,0,0,36,0,1,1,0,0,0,0,0,6,6,1,0,0,0,0,0,167,0,0,590,4,10,182,1,8,1,0,1,383,0,0,0,35,26,1,0,0,0,7,0,0,1,0,0,0,0,0,3
38,11570,10664,0,0,76,0,1,19,0,126,10,4006,128,0,0,74,450,4,0,3,0,1179,117,0,4,0,47,6,0,0,134,25,1657,0,0,1,5,139,5,2447,1,0,194,0,1,2,2,3,0,2,4,2,2,27,21,0,0,0,4,9,0,0,0,0,0,2,0,2,0,6,0,2,1,4,19,0,16,3,2,0,0,52,3,1,0,0,0,0,1,0,0,0,1,0,57,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,7,0,0,1,1,0,0,1,2,0,6,0,4,0,0,3,1,0,1,1,0,0,3,1,0,6,6,4,0,2,1,0,0,271,1,0,0,40,2,1,4,0,0,0,0,1,6,4,0,0,1,0,0,1,210,0,0,318,5,4,237,0,2,8,0,9,51,0,0,2,64,41,1,0,0,0,22,0,0,0,0,0,0,0,0,2
39,4371,3917,0,0,55,0,0,34,1,94,4,1184,59,0,0,50,303,6,0,0,0,534,40,0,0,0,10,15,0,0,48,9,713,0,0,0,5,51,0,702,0,0,113,0,0,3,0,0,0,0,4,0,0,14,5,0,5,0,3,2,0,0,0,0,0,0,0,1,0,3,0,2,1,6,5,0,4,3,1,0,0,49,1,1,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,11,1,2,0,0,0,1,205,0,0,0,34,0,1,1,0,0,0,0,2,5,4,0,0,0,0,0,1,157,0,0,30,3,0,19,0,2,0,0,1,5,0,0,0,70,46,0,0,0,0,17,0,0,0,0,6,1,0,0,0
40,73876,68371,142,0,674,1,122,378,0,274,1026,19896,1125,1,2,441,1320,48,1,9,5,15697,1202,2,19,1,237,234,4,1,5959,237,5135,0,8,19,66,840,28,13193,1,23,1951,9,5,31,7,11,1,10,6,1,14,273,157,8,10,2,28,107,9,5,0,0,3,3,1,4,3,59,5,39,10,96,222,0,73,50,25,0,1,519,87,26,1,1,3,5,12,1,0,2,6,0,523,11,0,1,11,0,0,0,17,0,1,1,3,27,0,0,0,13,1,0,0,1,37,0,7,1,4,2,0,19,6,2,9,1,58,1,2,35,2,0,2,0,0,0,17,0,11,13,24,176,2,1,3,0,1,1970,2,1,0,281,10,17,11,0,8,4,0,8,33,95,6,0,0,0,0,7,1487,0,0,645,36,12,283,26,27,9,1,22,223,0,1,5,405,256,10,0,0,0,123,0,3,1,2,6,0,2,2,11
41,5892,5536,20,0,90,0,0,74,0,51,139,1206,59,0,0,12,546,0,0,0,0,688,66,0,0,0,30,10,0,0,324,17,661,0,0,0,1,65,2,1475,0,0,97,0,1,0,1,3,0,0,1,0,1,12,4,4,0,0,1,9,0,0,0,0,0,5,0,1,0,2,1,3,0,9,3,0,5,0,1,0,0,22,1,5,0,0,0,2,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,1,3,0,1,0,1,2,0,0,0,0,1,0,0,0,1,0,3,9,0,0,0,0,1,152,0,1,0,16,0,0,0,0,0,0,0,1,4,7,0,0,0,0,0,2,121,0,0,34,0,0,23,2,4,2,0,0,3,0,0,0,42,32,5,0,0,0,5,0,0,0,0,0,0,0,0,1
42,10003,8781,2,0,164,0,0,24,0,286,83,2504,165,0,0,141,355,8,0,0,0,1242,50,0,8,0,24,20,0,0,342,6,1354,0,3,1,9,95,7,1888,0,0,380,0,0,1,1,2,0,1,1,4,1,42,20,7,6,0,4,14,3,7,0,0,2,1,0,0,0,31,8,76,7,16,26,0,7,3,1,0,0,69,16,0,0,0,0,0,3,0,0,0,0,0,131,2,2,0,2,0,0,0,16,0,0,1,0,2,0,0,0,12,1,0,0,0,17,0,0,0,1,0,0,1,0,0,0,1,11,0,4,1,0,0,5,0,0,1,2,0,0,3,17,20,1,4,3,0,1,567,0,0,1,56,2,0,0,0,0,1,0,2,6,7,0,0,0,0,0,0,492,0,0,68,2,0,48,0,4,1,1,1,10,0,1,0,71,41,0,0,0,0,26,0,1,0,0,1,0,0,2,5
43,14154,13192,22,0,172,0,2,96,0,279,66,3817,251,0,0,68,382,7,1,3,1,1020,62,0,2,0,51,46,3,2,314,68,2133,0,0,6,19,264,3,4032,0,0,292,0,1,2,5,0,0,3,0,0,2,38,20,1,1,0,10,17,2,0,0,0,0,0,0,1,0,6,1,6,2,29,15,1,6,3,6,0,0,100,6,4,1,0,0,0,2,0,0,0,0,1,82,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,8,1,0,0,1,2,1,3,0,0,0,0,15,0,0,2,0,0,5,0,0,0,10,0,0,3,9,16,0,0,0,0,0,419,0,0,1,53,1,0,1,0,1,1,1,0,5,15,0,0,0,0,0,1,339,0,0,78,3,1,58,2,3,0,0,0,7,0,1,3,87,57,0,1,0,0,20,0,1,0,0,6,0,0,2,4
44,12018,10934,33,1,161,0,3,134,0,128,208,2848,184,0,0,127,640,15,1,0,0,2100,142,0,8,1,53,70,0,1,288,36,1436,0,0,5,16,346,5,1941,3,0,343,0,2,1,3,0,0,2,1,1,9,29,16,0,5,0,3,18,5,2,0,0,0,3,0,1,0,8,12,6,2,7,26,0,7,5,4,0,27,64,1,66,0,5,1,0,1,0,0,0,0,0,102,0,0,3,6,0,0,0,3,0,0,0,0,3,0,0,0,4,0,0,0,1,22,2,0,0,0,0,0,2,0,0,2,0,17,0,2,5,0,4,1,0,1,0,2,0,1,7,7,0,1,0,1,2,3,411,0,0,0,47,2,1,1,0,1,2,0,1,3,27,0,0,0,0,0,2,324,0,0,98,7,1,56,0,3,2,3,1,23,0,1,1,129,53,16,1,1,2,23,0,4,0,2,15,0,1,11,1
45,6043,5471,85,0,163,0,0,27,0,105,18,1381,50,0,0,30,468,1,0,0,0,572,11,0,2,0,19,21,0,0,201,53,675,0,0,0,5,79,3,1502,0,0,152,0,0,1,0,1,1,0,1,0,2,16,10,1,0,0,4,11,0,1,0,0,0,1,0,0,0,3,0,2,1,13,10,0,2,2,4,0,0,60,4,0,0,0,0,0,1,0,0,0,0,0,48,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,1,1,0,2,0,0,0,0,7,0,1,1,0,0,1,0,0,0,5,0,0,1,7,10,1,1,1,0,0,258,0,0,0,52,0,4,1,0,0,1,0,0,6,7,2,0,0,0,0,3,182,0,0,49,0,2,30,1,4,2,3,0,6,0,1,0,65,46,1,1,0,0,14,0,0,0,0,3,0,0,0,0
46,9546,8722,10,0,79,0,1,42,0,102,26,2154,191,0,1,27,278,2,0,2,1,517,32,0,2,0,33,13,0,0,195,42,1985,0,0,2,4,83,3,2895,0,0,233,1,2,2,2,3,0,2,5,0,1,29,19,2,1,0,7,11,4,0,0,0,0,1,0,0,0,9,1,9,1,8,8,0,9,6,2,0,0,76,5,0,0,0,0,0,7,0,0,0,0,0,56,0,0,0,1,0,0,0,0,0,0,5,0,0,0,5,0,1,0,0,0,3,2,0,0,0,0,0,1,1,2,0,0,0,5,0,0,0,0,0,0,0,0,0,8,0,1,1,7,13,0,0,0,0,0,343,0,4,0,43,2,1,2,0,1,0,0,2,5,6,0,2,0,0,0,0,275,0,0,111,8,3,77,1,1,1,1,3,14,0,0,2,72,38,4,0,0,4,18,0,4,0,3,0,0,1,0,9
47,16364,11678,70,0,140,0,9,53,0,33,76,2453,986,1,0,307,619,40,0,10,1,1352,27,0,17,0,65,37,0,3,1552,23,2107,0,1,4,36,159,12,1484,1,0,973,2,7,17,6,1,2,4,6,1,6,130,95,7,10,0,19,60,88,20,0,0,1,3,0,1,0,20,4,25,5,18,78,0,45,22,18,0,0,219,17,1,0,0,1,1,11,0,0,0,2,0,138,2,0,1,4,0,0,0,0,0,0,0,0,2,0,0,0,2,2,1,0,0,8,0,1,0,1,0,1,10,0,6,0,3,17,0,1,3,4,0,3,0,0,0,0,1,1,6,22,19,4,8,4,0,1,2699,1,0,0,135,4,3,1,1,0,0,0,0,10,26,0,0,0,0,0,1,2517,0,0,709,61,10,364,3,15,0,0,1,255,0,0,0,157,95,8,0,3,4,41,0,2,3,1,0,0,0,0,10
未定・不詳,3072,2141,1,0,27,0,0,7,0,28,16,400,239,0,0,41,157,2,0,1,1,351,15,0,2,1,11,29,0,1,22,8,278,0,0,0,10,61,2,430,0,0,454,1,5,1,1,0,2,0,17,1,2,143,73,0,2,0,3,16,2,0,0,0,1,1,0,0,0,2,1,14,4,6,7,0,23,9,0,0,0,82,3,28,0,2,0,0,1,1,0,0,0,0,19,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,1,0,0,229,0,1,0,34,1,0,0,0,0,0,1,0,0,6,0,0,0,0,0,0,186,0,0,167,22,3,124,5,3,0,0,0,7,0,0,3,62,46,0,0,0,0,16,0,0,0,0,0,0,0,0,0
