都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
29,11085,9472,13,0,67,0,0,39,2,14,38,3082,291,1,0,64,252,19,0,0,0,3628,197,0,5,0,77,10,0,0,161,41,655,0,0,0,13,204,9,590,0,0,344,1,3,6,6,0,1,3,1,0,9,54,30,0,3,1,5,13,0,0,0,0,0,0,0,0,1,1,3,3,10,2,8,23,0,37,5,10,0,0,86,12,1,0,0,0,2,2,2,0,0,0,0,71,0,1,0,3,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,3,8,0,0,0,0,0,0,2,0,0,0,0,14,5,1,1,0,0,2,0,0,0,4,0,2,1,3,12,0,0,0,0,1,460,0,0,0,58,2,1,5,0,2,0,0,1,3,20,2,2,0,1,0,1,362,0,0,652,9,36,389,2,11,5,0,3,196,0,0,1,84,44,3,0,0,1,32,0,0,0,0,3,0,0,1,2
30,6069,5582,0,0,8,0,0,9,0,13,4,1401,105,0,0,52,147,3,0,1,0,2186,187,0,5,2,20,13,0,0,35,4,685,0,0,2,4,420,8,268,0,0,138,0,3,2,2,1,0,3,1,0,0,20,11,1,1,0,6,3,0,1,0,0,1,0,0,0,0,0,0,2,12,0,2,12,0,5,2,1,0,0,36,7,1,0,0,0,0,1,0,0,0,1,0,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,202,0,0,0,31,0,0,0,0,1,1,0,1,5,5,1,1,0,0,0,0,156,0,0,92,2,0,76,1,0,0,0,0,13,0,0,0,44,28,0,0,0,0,16,0,0,0,0,0,0,0,0,1
31,3965,3597,0,0,29,0,0,6,0,36,0,1147,48,0,0,26,96,0,0,2,0,946,126,0,2,0,20,23,0,0,17,24,503,0,0,0,0,91,2,453,0,0,105,0,1,3,0,0,0,0,0,0,2,15,3,2,0,0,5,2,0,0,0,0,0,2,0,0,0,0,0,3,1,0,5,24,0,1,1,1,0,0,29,1,1,0,0,1,0,2,0,0,0,0,0,87,0,0,1,0,0,0,0,0,0,0,0,0,25,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,5,0,0,0,0,0,21,0,0,0,1,0,0,4,4,17,0,0,1,0,0,121,0,0,0,24,0,0,0,0,1,0,0,1,4,3,0,0,0,0,0,1,87,0,0,28,0,1,24,0,1,0,0,1,1,0,0,0,27,15,0,0,0,0,12,0,0,0,0,0,0,0,0,0
32,6600,4105,6,0,44,0,0,55,0,76,9,1677,25,0,0,10,126,0,0,0,1,692,78,0,2,0,15,18,0,0,20,1,835,0,0,0,2,50,1,362,0,0,86,0,1,1,0,0,0,0,1,0,1,8,7,0,0,0,3,5,2,0,0,0,0,1,0,0,1,0,3,1,2,2,3,17,0,6,0,1,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,151,0,0,0,14,0,1,0,0,0,0,0,1,8,2,0,1,0,0,0,0,124,0,0,2202,0,0,2193,1,3,0,0,0,5,0,0,0,30,15,1,0,0,0,12,0,0,0,2,0,0,0,0,2
33,22439,20410,7,0,98,0,0,57,0,186,36,8263,177,0,0,76,671,7,0,2,3,5115,434,0,8,0,120,11,0,0,159,101,1682,0,12,6,4,209,27,2939,0,0,374,1,2,6,2,0,0,1,5,0,2,35,31,2,3,1,3,13,0,1,0,0,1,0,0,0,0,0,9,0,9,2,19,61,0,9,5,3,0,0,118,13,6,0,0,0,0,8,0,0,0,3,0,67,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,1,12,0,0,0,1,1,0,0,0,0,0,0,6,0,0,2,0,0,1,0,0,0,2,0,4,0,7,19,0,0,1,0,0,464,0,0,0,89,0,0,1,0,1,0,1,0,14,11,0,1,0,0,0,1,345,0,0,1013,7,18,843,5,2,0,0,13,123,0,0,2,109,76,3,0,0,0,23,0,2,0,0,5,0,0,0,2
34,42899,37901,58,0,127,0,0,121,0,125,51,14002,292,2,2,322,1315,16,1,4,1,8034,936,0,37,0,102,59,0,0,195,35,6265,0,4,32,56,836,12,4859,0,0,733,2,2,5,7,9,7,2,8,0,3,56,68,6,7,3,16,32,2,5,0,0,1,5,0,0,8,0,9,1,11,6,22,101,0,38,4,6,0,1,175,81,12,0,0,0,2,7,0,0,2,0,1,210,5,0,0,5,0,0,0,12,0,0,0,0,3,0,1,10,5,0,0,1,19,1,0,0,1,0,0,2,3,0,2,0,16,0,6,0,1,0,1,0,0,0,1,0,3,1,19,89,0,1,1,1,0,952,1,1,1,108,1,3,6,1,2,1,0,2,9,26,0,0,0,1,0,1,788,0,0,2932,10,12,2280,1,11,1,0,7,604,0,1,5,158,102,4,0,0,0,46,0,2,0,3,1,0,0,0,13
35,13875,13067,17,0,22,0,0,45,0,21,7,3256,123,0,0,38,279,2,0,0,0,5572,834,0,11,0,68,9,0,0,163,5,1203,0,1,0,3,115,4,1269,0,0,208,0,2,0,3,1,0,1,5,1,0,14,14,0,1,0,3,8,0,0,0,0,0,1,0,0,0,0,2,2,2,3,8,24,0,14,5,2,0,0,59,23,0,1,0,0,1,5,0,0,0,3,0,24,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,0,0,1,3,8,0,0,0,0,1,400,0,0,0,50,5,0,1,0,0,0,0,0,8,4,3,0,0,1,0,0,328,0,0,135,3,1,97,2,2,1,0,0,29,0,0,0,41,30,1,0,0,1,5,0,2,1,0,0,0,0,1,0
36,5012,4549,5,0,9,0,0,30,0,91,5,2181,38,0,0,40,198,1,0,2,0,315,28,0,11,0,58,57,0,0,34,16,661,0,0,1,0,121,1,645,1,0,125,0,1,0,0,0,1,0,0,0,3,12,13,0,1,0,3,2,0,0,0,0,0,0,0,0,1,0,2,0,2,3,14,17,0,3,5,0,0,0,28,8,1,0,0,0,1,1,0,0,0,3,0,47,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,29,1,1,0,0,0,199,0,0,0,51,0,0,0,0,1,0,0,0,2,4,0,0,0,0,0,0,141,0,0,57,1,1,36,1,2,0,0,2,13,0,0,1,34,24,0,0,0,0,8,0,1,0,0,0,1,0,0,1
37,9785,8691,1,0,60,0,0,34,4,236,9,3700,66,0,0,43,501,2,0,0,0,862,73,0,96,0,29,7,0,0,261,34,1484,0,0,0,1,152,4,1032,0,0,173,0,3,0,2,0,1,0,4,3,0,22,10,2,1,0,8,25,1,0,0,0,0,0,0,0,0,0,2,1,3,1,3,10,0,17,1,5,0,0,40,5,0,0,0,2,1,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,0,1,0,2,0,0,0,1,4,0,0,2,0,0,2,0,0,0,0,0,0,1,5,7,0,0,2,0,0,221,0,0,0,39,1,1,0,0,0,0,0,0,7,3,1,0,1,0,0,1,167,0,0,634,6,4,226,0,8,1,0,1,388,0,0,0,33,23,0,0,0,0,7,0,2,1,0,0,0,0,0,1
38,10279,9467,0,0,29,0,1,19,0,74,7,4415,118,0,0,72,351,1,0,3,0,1219,136,0,7,0,45,12,0,0,146,18,1277,0,0,1,4,160,7,1342,1,2,180,0,2,2,2,2,0,3,1,1,3,23,16,1,4,0,4,10,0,0,0,0,0,1,0,0,1,0,2,1,1,0,6,16,0,16,2,2,0,0,49,3,2,0,0,0,0,1,0,0,1,2,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,2,0,8,0,3,0,0,0,1,0,1,0,0,0,1,0,0,10,5,5,0,0,0,0,0,252,1,0,0,37,0,2,4,0,0,0,0,1,8,4,0,0,1,0,0,1,193,0,0,259,4,4,188,0,2,15,0,10,33,0,0,3,74,45,0,0,0,0,29,0,0,0,0,0,0,0,0,3
