都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
39,3728,3333,0,0,20,0,0,34,1,16,5,1232,53,0,0,39,235,9,0,0,0,550,43,0,0,0,16,10,0,0,38,9,607,0,0,1,2,67,0,346,0,0,103,0,0,1,2,0,0,0,3,0,0,11,6,0,1,0,3,1,0,0,0,0,1,0,0,0,1,0,3,0,2,0,5,6,0,3,1,0,0,0,50,2,0,1,0,0,0,0,0,0,0,0,0,34,0,0,0,1,0,0,0,6,0,0,0,0,1,0,0,5,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1,0,0,0,0,167,0,0,0,26,0,1,3,0,0,0,0,2,0,2,0,0,0,0,0,0,133,0,0,32,3,0,21,0,1,0,0,1,6,0,0,0,58,42,0,0,0,0,13,0,0,0,0,2,1,0,0,1
40,60417,55398,121,0,187,4,1,220,0,133,396,19171,808,1,0,279,850,54,2,9,5,15621,1376,0,15,0,255,156,4,1,4876,168,4285,0,91,10,57,545,28,5659,1,9,1758,6,10,31,4,8,1,5,7,1,15,222,146,10,5,7,20,84,9,8,0,0,3,2,0,0,5,3,46,6,37,7,87,227,0,67,47,25,0,0,472,85,23,1,1,3,2,4,0,0,1,5,0,470,8,0,0,8,0,0,0,13,0,1,1,0,15,0,1,14,2,0,0,0,29,1,6,0,3,1,0,19,9,5,1,1,63,1,8,17,2,0,0,0,0,0,16,0,9,18,19,173,0,2,2,1,1,1815,2,1,1,262,9,10,9,0,7,4,0,7,19,71,6,0,0,0,0,3,1404,0,0,585,30,7,266,12,20,6,1,22,214,0,1,6,382,246,5,1,0,1,123,0,2,1,1,0,0,0,2,9
41,4605,4294,19,0,30,0,0,66,0,24,45,1316,39,0,0,12,357,0,0,1,0,668,82,0,1,0,30,1,0,0,274,12,546,0,0,0,3,70,1,693,0,4,95,0,1,0,5,4,2,2,2,0,0,7,2,5,1,0,1,5,0,0,0,0,0,2,0,0,1,0,2,1,1,1,10,5,0,3,1,1,1,0,24,1,1,0,0,0,2,0,0,0,0,1,0,15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,145,0,1,0,19,0,0,0,0,0,0,0,1,3,5,0,0,0,0,0,0,116,0,0,19,0,0,13,2,2,1,0,0,1,0,0,0,37,30,2,0,0,0,5,0,0,0,0,0,0,0,0,0
42,10979,7981,4,0,38,0,0,23,2,212,20,2720,130,0,0,92,262,6,0,0,0,1302,51,0,5,0,18,8,0,0,322,3,1411,0,1,0,2,92,7,1250,0,0,2181,0,5,1,44,3,61,2,11,377,110,27,107,1,10,1,9,63,2,8,0,0,55,392,0,0,0,0,17,16,451,40,193,34,0,6,8,0,0,0,85,16,1,0,0,0,10,15,0,0,0,0,0,78,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,5,4,0,0,0,14,0,0,0,1,1,0,0,0,0,0,1,4,0,0,1,0,0,3,0,0,0,2,0,0,1,9,25,2,0,0,0,0,583,1,0,1,55,2,0,0,0,1,1,0,13,9,7,2,0,0,0,0,2,489,0,0,56,2,1,33,2,5,1,1,1,8,0,1,1,81,50,0,0,0,0,24,0,0,0,1,5,0,0,1,19
43,10767,9836,25,0,93,0,2,70,1,114,39,4195,239,0,0,28,227,11,0,3,2,936,62,0,6,0,34,22,1,2,221,45,1607,0,8,4,17,210,2,1610,0,0,284,0,1,3,4,0,0,2,0,0,2,31,24,1,1,0,8,13,4,0,0,0,0,0,0,0,1,0,4,1,8,2,30,20,0,6,2,4,0,0,94,12,3,1,0,0,0,2,0,0,0,0,0,81,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,1,2,0,0,0,2,0,0,0,1,1,0,1,0,0,0,0,11,0,0,1,0,0,5,0,0,0,8,0,0,2,8,31,0,0,1,0,0,406,2,0,1,64,2,0,0,0,0,1,1,0,4,11,0,0,0,0,0,1,319,0,0,65,2,1,47,2,3,0,0,1,6,0,1,2,91,48,1,0,0,0,32,0,2,0,2,6,0,0,0,4
44,10573,9514,42,1,44,0,2,100,1,91,134,3089,138,0,2,79,528,16,0,1,0,2047,166,0,8,1,29,40,0,1,234,36,1256,0,1,0,23,361,2,1039,2,0,394,0,4,5,2,1,0,2,6,2,6,24,27,0,2,1,4,18,14,2,0,0,0,4,0,0,1,0,8,10,3,5,7,27,0,15,8,2,0,21,60,0,102,0,0,1,0,0,0,0,0,0,0,82,1,0,4,4,0,0,0,0,0,0,0,0,9,0,0,3,0,0,0,0,19,1,0,0,0,0,0,4,0,0,5,0,9,0,2,3,0,0,0,0,0,0,2,0,1,2,6,5,0,0,2,0,0,369,0,0,0,54,1,0,1,0,0,1,1,1,1,19,1,0,0,0,0,0,288,0,1,98,8,2,53,2,1,0,3,1,26,0,1,1,116,61,14,0,1,1,20,0,1,0,1,6,0,0,11,0
45,4616,4051,83,0,79,0,0,17,0,43,5,1626,41,0,0,25,309,0,0,1,0,561,14,0,1,0,12,15,0,0,102,33,582,0,0,1,5,51,1,444,0,0,140,0,0,1,1,1,0,0,1,0,2,10,10,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,5,0,2,0,13,10,0,2,3,3,0,0,52,5,0,0,0,0,1,1,0,0,0,0,0,52,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,0,2,7,0,0,0,0,0,0,8,0,0,1,11,11,1,0,1,0,0,260,0,0,0,45,1,1,1,0,1,0,0,0,6,6,2,0,0,0,0,2,195,0,0,44,0,4,28,0,5,2,0,0,5,0,0,0,69,51,2,1,0,0,14,0,0,0,0,1,0,0,0,0
46,7222,6459,7,0,20,0,1,34,0,42,15,2608,136,0,0,13,139,4,0,2,0,483,39,0,3,0,33,13,0,0,124,35,1602,0,0,2,4,79,4,1017,0,0,227,1,2,1,2,3,0,1,4,0,1,28,21,1,1,0,5,10,3,0,0,0,0,0,0,0,0,0,11,0,6,1,8,8,0,10,4,3,0,0,80,9,0,0,0,0,0,2,0,0,0,1,0,48,0,0,0,0,0,0,0,0,0,0,2,0,0,2,2,0,0,0,0,3,2,0,0,0,0,0,1,2,2,0,0,0,5,0,0,1,0,0,0,0,0,0,6,0,1,1,4,14,0,0,0,0,0,344,0,3,0,53,1,1,1,0,1,0,0,2,6,6,0,2,0,0,0,0,268,0,0,68,5,1,37,1,3,1,0,7,12,0,0,1,67,37,5,0,0,5,18,0,1,0,1,0,0,0,0,9
47,12925,8767,55,0,39,0,0,73,0,13,72,1742,635,1,0,292,367,22,2,5,1,994,28,0,10,0,45,28,0,4,1815,31,1800,0,0,1,27,117,12,532,1,3,702,1,6,13,7,1,1,2,4,4,3,103,77,6,6,0,20,46,30,4,0,0,0,3,0,0,0,0,14,2,17,5,17,63,0,37,16,15,0,0,166,6,1,1,0,0,1,2,0,0,0,0,2,124,1,0,3,3,0,0,0,0,0,0,0,0,1,0,0,3,2,0,0,0,6,0,0,0,1,0,0,6,0,7,2,0,14,1,1,2,1,0,5,0,0,0,9,1,0,0,14,33,1,2,5,0,0,2596,1,0,0,110,3,2,5,0,0,0,0,0,8,24,0,0,0,0,0,0,2443,0,0,607,59,10,273,4,11,0,0,3,247,0,0,0,115,65,5,0,0,0,36,0,1,3,0,1,0,0,4,14
未定・不詳,1223,585,1,1,2,0,0,12,0,2,6,121,92,0,0,20,6,1,0,0,0,108,3,0,0,0,0,2,0,0,5,7,121,0,10,0,1,25,4,34,0,1,274,0,0,1,2,0,0,0,17,1,1,84,58,1,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,5,0,4,3,2,0,4,2,1,0,0,81,0,1,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,4,3,0,0,0,0,0,96,0,0,0,29,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,64,0,0,63,4,1,40,2,3,3,0,1,8,0,0,1,188,158,0,0,0,0,30,0,0,0,0,0,0,0,0,2
