都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,グルジア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,セルビア,モンテネグロ,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
17,10735,9000,6,0,39,0,1,59,0,4,10,4658,107,0,0,105,425,10,0,1,1,1723,0,2,3,62,46,0,1,77,37,689,0,0,8,11,230,3,682,0,0,321,0,3,11,0,4,0,4,5,1,5,31,24,1,5,0,12,15,0,0,0,0,0,2,0,0,0,0,1,2,8,0,17,64,0,9,6,8,0,0,62,9,2,0,1,0,0,7,0,0,2,0,0,89,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,1,0,5,0,7,1,0,0,0,0,0,0,0,0,0,4,1,5,56,0,0,1,0,0,306,0,0,0,50,0,1,1,0,0,0,0,1,2,11,1,0,0,0,0,1,238,0,0,955,9,3,845,2,7,0,0,8,74,0,3,4,64,41,2,0,0,0,17,0,0,0,0,4,0,0,0,0
18,11506,8708,1,0,7,0,0,20,0,8,6,3927,52,0,1,7,124,4,1,1,0,2740,0,1,0,61,17,0,1,24,10,1215,0,0,0,2,212,2,264,0,0,157,0,1,0,0,1,0,1,1,0,2,10,10,0,1,1,6,8,0,1,0,0,0,0,0,0,1,0,2,2,1,2,5,64,0,3,0,0,0,0,23,6,3,0,0,1,0,1,0,0,0,0,0,18,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,2,0,0,0,0,0,190,1,0,0,28,0,1,0,0,0,0,0,0,2,1,0,1,0,0,0,0,156,0,0,2414,0,0,2334,2,2,0,0,3,72,0,0,1,13,9,0,0,0,0,3,0,1,0,0,0,0,0,0,6
19,13902,9737,2,0,7,0,0,19,1,3,59,3496,399,1,0,290,148,53,0,0,0,2086,0,15,0,66,36,0,0,73,21,1836,0,0,4,6,604,5,507,0,0,198,0,1,3,0,0,0,2,2,4,2,28,14,1,0,0,8,8,0,1,0,0,0,0,0,0,0,0,3,0,3,5,7,16,0,4,4,5,0,0,73,2,1,0,0,0,0,1,0,0,0,0,0,31,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,0,0,0,0,4,0,0,0,0,0,0,2,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,5,1,1,0,2,0,0,324,0,0,0,49,1,1,0,0,1,2,0,0,6,4,0,0,0,0,0,2,258,0,0,3559,7,49,2676,4,20,0,0,22,775,1,0,5,50,29,1,0,0,1,16,0,0,0,0,2,0,0,1,3
20,31620,23925,0,0,26,0,1,59,0,56,163,10313,542,0,0,46,716,48,0,2,1,4055,0,9,0,99,75,0,0,226,169,4256,1,2,2,20,2097,3,938,0,0,456,0,9,6,1,0,0,2,3,0,6,55,58,1,5,0,5,16,2,0,0,0,0,1,0,1,0,0,16,2,3,3,10,42,0,9,12,5,0,0,169,3,4,0,0,0,1,4,2,0,0,0,0,59,1,0,1,1,0,0,1,2,0,0,1,0,1,0,0,4,0,1,0,0,4,1,0,0,2,0,0,4,0,0,0,0,7,0,0,6,0,0,0,1,0,4,0,3,3,6,2,0,0,3,0,0,714,0,0,0,134,0,2,6,1,1,0,1,1,2,23,4,0,0,0,0,0,539,0,0,6221,37,152,5397,8,19,5,0,87,509,0,1,6,238,193,1,0,0,0,43,0,0,1,0,0,0,0,0,7
21,44803,32423,19,0,39,0,0,92,0,136,148,14043,121,0,5,78,346,19,0,11,1,4862,0,6,1,81,22,0,1,382,209,9665,0,0,3,7,341,51,1733,1,0,430,0,2,1,2,3,2,7,0,0,1,31,30,1,0,0,7,14,1,0,0,0,0,1,0,0,5,0,6,1,1,1,79,59,0,21,19,8,0,0,93,25,3,0,0,2,0,1,0,0,3,0,0,134,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,9,2,0,0,2,3,0,0,0,0,0,0,1,0,0,0,0,8,0,0,5,0,0,0,0,0,2,0,2,4,1,86,0,1,0,2,0,506,0,0,0,99,0,2,11,0,0,4,0,1,2,19,0,0,0,0,0,1,367,0,0,11193,26,53,10228,4,9,4,0,17,848,0,0,4,115,81,0,0,0,0,29,0,0,0,2,2,0,0,1,2
22,75435,40116,5,1,425,0,3,169,1,22,362,11872,475,0,0,473,1954,73,0,8,2,5634,0,181,0,157,45,0,3,652,360,13149,0,0,9,35,1125,21,2900,0,0,817,1,3,8,5,6,2,5,12,1,4,79,55,2,10,0,13,31,1,2,1,0,0,3,0,0,2,0,16,1,19,8,91,119,0,35,16,14,0,0,213,27,2,0,1,0,2,5,0,0,2,0,0,119,2,0,0,13,0,1,0,1,0,0,0,0,0,0,0,6,0,0,0,0,4,0,0,0,0,0,0,3,0,2,0,1,46,0,0,7,0,0,4,0,0,3,0,2,3,8,9,0,0,2,0,2,1138,2,0,0,170,3,6,10,0,7,3,0,2,15,52,8,4,0,0,0,3,853,0,0,33025,255,302,27126,24,235,5,1,211,4829,0,26,11,208,120,2,0,0,3,74,0,1,2,0,3,0,0,3,12
23,198919,134191,202,1,559,4,6,421,1,145,846,46174,1490,1,1,922,3098,189,3,20,18,35584,1,60,2,427,330,0,1,3001,1196,28372,1,30,29,72,2129,1032,7821,1,1,2672,6,16,42,13,32,6,16,3,9,30,316,216,7,38,1,35,126,6,9,0,4,3,6,0,1,12,4,36,10,65,30,230,219,0,104,39,30,0,2,658,121,125,6,3,0,1,20,1,1,14,0,0,745,13,7,2,11,1,0,0,18,0,0,3,0,11,2,0,92,9,6,0,3,31,0,0,1,3,0,0,23,3,1,3,3,172,0,1,16,3,0,2,0,1,17,1,18,93,47,112,2,6,5,2,1,3084,2,0,1,420,6,12,26,0,8,4,0,7,33,142,2,3,1,0,0,1,2416,0,0,57560,356,1023,48220,72,253,15,1,282,7303,1,10,24,641,457,9,1,0,2,161,1,3,0,2,3,0,0,2,26
24,42558,24790,49,0,67,0,0,64,1,24,251,8669,226,0,0,57,872,26,1,1,0,5226,0,6,1,71,82,0,0,456,156,5880,0,0,6,18,1067,44,1469,0,0,338,5,1,2,1,1,0,1,1,0,1,33,31,5,8,0,5,13,2,1,0,0,0,1,0,0,4,0,4,11,4,4,15,40,0,39,2,7,0,0,81,10,0,0,0,0,0,1,0,1,2,0,1,113,1,0,0,4,1,0,0,5,0,0,0,0,0,0,0,18,0,0,0,2,8,0,0,0,2,4,0,2,0,0,0,1,25,0,0,1,0,0,3,0,0,2,0,1,10,7,11,1,0,4,0,0,381,0,0,0,63,1,1,2,0,0,1,0,1,9,22,0,0,0,0,0,4,276,0,1,16833,49,892,12689,23,22,1,0,49,3104,0,0,4,99,61,2,0,0,0,31,0,0,2,0,3,0,0,0,4
25,24375,13702,13,0,5,0,0,38,0,24,21,4756,121,0,0,56,400,9,0,1,0,5171,0,8,0,77,37,0,0,104,16,2061,0,8,0,11,191,6,563,5,0,300,0,2,3,0,0,0,0,1,1,8,39,35,2,4,0,1,15,2,0,0,1,0,1,0,0,0,1,2,1,12,3,8,26,0,8,7,8,0,1,80,3,25,0,0,0,0,0,0,0,0,0,0,39,1,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,4,1,0,0,0,0,0,3,0,0,0,0,6,0,0,1,0,0,0,0,0,2,0,1,2,1,6,0,0,0,0,0,489,0,0,0,59,1,1,3,0,2,1,1,5,1,45,0,0,0,0,0,1,369,0,0,9761,33,256,7813,7,22,1,0,29,1589,0,1,10,79,46,0,2,0,1,29,0,0,0,0,1,0,0,0,5
26,51863,46755,36,2,65,4,4,87,1,71,94,11822,959,3,1,295,442,71,5,30,6,28724,1,7,2,142,67,4,1,358,87,1893,1,18,28,61,519,45,792,4,3,2121,0,22,35,23,7,5,13,23,3,47,417,257,12,30,5,27,139,12,7,0,2,3,8,0,0,2,4,40,10,24,18,35,190,0,93,86,41,2,0,406,26,13,0,7,4,6,7,0,1,9,0,0,278,0,0,2,0,0,0,0,14,2,0,1,1,10,0,2,6,1,2,0,0,16,1,5,0,5,5,0,10,1,2,1,1,16,0,0,1,1,0,7,3,0,3,0,5,5,25,111,3,0,2,8,0,1713,0,0,0,277,1,3,7,1,3,2,0,3,10,77,2,0,0,0,0,1,1326,0,0,632,14,74,355,12,19,4,0,10,136,0,2,6,353,261,0,0,1,0,84,0,1,1,0,5,0,0,0,11
