都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,グルジア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,セルビア,モンテネグロ,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
27,203673,191038,37,1,136,0,2,181,1,87,246,50539,3900,2,3,967,1517,175,2,34,11,116182,0,33,4,433,208,1,3,1219,273,6322,0,116,31,144,1931,182,6110,4,1,3379,4,28,34,35,14,6,9,22,5,37,459,245,14,28,5,55,242,21,10,1,1,8,12,0,0,8,2,62,14,62,30,146,387,0,161,95,66,0,9,849,116,30,1,5,4,9,16,5,0,7,0,0,656,7,0,2,14,0,0,6,16,0,0,3,0,10,1,0,118,2,1,0,10,31,0,0,0,6,7,1,29,1,3,1,1,147,0,1,13,2,0,27,0,0,18,2,22,5,26,110,1,7,3,1,1,3415,2,2,1,636,5,10,15,0,3,8,4,1,33,127,0,5,0,0,0,4,2559,0,0,4140,42,149,2573,33,105,8,0,28,1178,3,6,15,992,734,15,0,5,5,217,0,4,2,2,4,0,0,4,53
28,95916,86162,45,0,92,0,0,83,1,25,136,23100,1310,1,1,1482,743,63,2,31,7,47273,1,125,23,191,72,1,2,750,189,3547,0,26,41,118,720,61,5891,5,4,2362,2,21,47,25,4,2,7,35,4,40,313,229,21,14,0,51,124,18,15,0,0,3,3,0,2,4,2,51,44,49,31,45,234,0,83,49,70,2,1,607,61,12,3,1,2,1,9,1,0,20,0,0,330,16,0,0,11,0,0,1,10,0,0,0,0,3,1,0,31,2,1,0,2,7,0,3,0,4,1,0,16,0,5,2,0,80,0,2,5,0,0,3,0,1,16,0,12,18,22,47,3,3,1,0,1,2882,1,0,0,473,2,12,14,0,2,5,1,3,19,59,1,1,1,0,0,3,2285,0,0,3493,52,102,2429,10,32,6,0,31,821,0,1,9,632,459,2,1,1,1,159,0,1,3,2,3,0,0,0,55
29,11018,9349,7,0,33,0,0,31,4,6,32,3172,250,0,1,61,191,20,0,0,0,4089,0,7,0,51,17,0,0,128,34,675,0,2,0,13,215,8,302,0,0,351,1,3,7,4,0,1,1,0,1,9,52,27,1,3,0,6,20,0,1,0,1,0,1,0,0,0,0,4,7,11,2,9,21,0,31,7,12,0,0,88,12,0,0,1,0,3,1,2,0,1,0,0,56,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,1,9,0,0,0,0,0,0,2,0,0,0,0,8,2,1,1,0,0,2,0,0,3,0,3,3,5,7,0,0,0,0,0,415,0,0,0,56,2,0,5,0,2,0,0,3,2,20,2,0,0,0,0,0,323,0,0,762,5,44,468,1,14,4,0,3,221,0,0,2,83,46,2,0,0,1,31,0,0,0,0,2,0,0,1,2
30,5895,5409,0,0,5,0,0,1,0,5,1,1474,63,0,0,32,91,4,0,1,0,2480,0,7,1,22,11,0,0,35,3,611,0,0,1,3,418,8,132,0,0,133,0,1,2,2,2,1,1,1,0,0,19,9,1,1,0,4,5,0,0,0,0,1,0,0,0,0,0,0,2,12,0,3,12,0,5,1,1,0,1,36,9,0,0,0,0,0,1,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,201,0,0,0,23,0,0,0,0,2,0,0,1,2,5,1,1,0,0,0,0,166,0,0,97,2,0,82,0,0,0,0,1,12,0,0,0,42,29,0,0,0,0,13,0,0,0,0,0,0,0,0,1
31,3852,3526,0,0,8,0,0,7,0,11,3,1350,37,0,0,22,73,0,0,1,0,1103,0,2,0,18,23,0,0,5,22,490,0,0,1,0,95,0,255,0,0,107,0,1,3,0,1,0,0,0,0,3,12,4,2,0,1,2,2,0,0,0,0,0,2,0,0,0,0,1,0,1,1,6,31,0,1,0,0,0,0,29,1,1,0,0,0,0,2,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,3,0,0,0,1,0,0,0,0,0,7,0,0,1,0,0,1,4,13,0,0,1,0,0,120,0,0,0,26,0,0,0,0,1,0,0,0,1,5,0,0,0,0,0,0,87,0,0,23,1,1,17,1,1,1,0,1,0,0,0,0,20,13,0,0,0,0,7,0,0,0,0,0,0,0,0,0
32,5687,3953,8,0,2,0,0,41,0,6,12,1906,13,0,0,13,107,0,0,0,1,781,0,7,0,9,17,0,0,18,4,840,0,0,0,2,32,0,134,0,0,71,0,0,1,0,0,1,0,1,0,1,7,3,0,1,0,4,4,2,0,0,0,0,0,0,0,1,0,3,1,0,0,5,16,0,1,0,1,0,0,16,2,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,139,0,0,0,12,0,1,0,0,0,0,0,1,5,1,0,1,0,0,0,0,118,0,0,1486,0,0,1479,0,3,0,0,0,4,0,0,0,26,14,0,0,0,0,11,0,0,0,1,0,0,0,0,2
33,20598,18572,16,0,18,0,0,41,0,74,15,8641,137,0,0,72,475,4,0,3,2,5685,0,9,0,112,8,0,0,130,89,1480,0,9,5,6,157,22,1362,0,0,379,1,3,6,4,0,0,3,5,0,10,34,30,2,3,1,3,14,0,1,0,0,0,1,0,0,0,0,6,1,18,2,13,67,0,6,5,6,0,0,100,15,6,0,0,0,0,7,0,0,6,0,0,70,2,0,0,0,0,0,0,2,0,0,1,0,1,0,1,1,1,0,0,0,6,0,0,0,1,1,0,0,0,0,0,0,5,0,0,3,0,0,1,0,0,3,0,3,0,4,34,0,0,0,0,0,439,0,0,0,88,1,2,2,0,0,0,1,1,8,12,0,1,0,0,0,1,322,0,0,1041,7,18,871,4,2,0,0,9,129,0,0,1,95,68,4,0,0,0,21,0,1,0,0,1,0,0,0,2
34,39243,34248,14,0,34,0,0,99,0,54,71,14148,202,2,2,257,906,15,0,3,1,9370,0,43,0,111,48,0,0,190,30,5496,0,3,28,21,724,8,2368,0,0,688,1,4,4,7,11,8,3,7,0,6,50,69,0,3,1,14,26,0,5,0,0,1,3,0,0,7,0,9,1,12,4,22,80,0,33,5,8,1,0,182,84,6,0,0,0,1,7,0,0,0,2,1,190,4,0,1,4,0,0,0,6,0,0,0,0,2,0,1,11,4,0,0,0,19,1,0,0,0,0,0,1,1,0,2,0,13,0,2,0,1,0,0,0,0,5,0,2,0,16,92,0,1,1,0,0,907,1,0,1,113,2,2,9,0,2,1,0,3,10,21,0,0,1,0,0,0,741,0,0,3048,10,13,2396,1,10,1,0,7,601,0,1,8,148,93,3,0,0,0,45,0,3,0,2,1,0,0,1,14
35,13237,12468,15,0,4,0,0,35,0,4,6,3366,86,0,3,47,284,3,0,0,0,6751,0,10,0,55,9,0,0,101,5,1000,0,0,0,5,92,6,581,0,0,177,0,1,0,6,1,0,0,1,1,3,12,15,0,0,0,2,9,0,0,0,0,0,1,0,1,1,0,3,2,2,3,9,23,0,17,2,1,0,0,44,14,0,1,0,0,1,0,0,0,1,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,3,1,7,0,0,0,0,0,401,0,0,0,43,5,0,1,0,0,0,0,0,3,6,2,0,0,1,0,0,339,0,1,129,1,1,92,2,2,1,0,2,28,0,0,0,35,22,1,0,0,1,7,0,2,1,0,0,0,0,1,1
36,4961,4505,1,0,7,0,0,19,0,6,6,2681,35,0,0,27,165,1,0,2,0,362,0,3,0,42,64,0,0,34,9,660,0,0,2,0,95,1,283,0,0,118,0,1,0,0,1,0,0,0,0,3,7,10,0,1,0,3,2,0,0,0,0,0,0,0,0,1,0,2,1,3,2,14,20,0,5,4,0,0,0,26,6,3,0,0,0,1,1,0,0,1,0,0,55,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,3,0,0,0,1,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,27,0,1,0,0,0,191,0,0,0,41,0,0,0,0,3,0,0,2,1,2,0,0,0,0,0,0,142,0,0,61,1,1,43,1,2,0,0,1,12,0,0,0,30,23,0,0,0,0,6,0,0,0,0,0,1,0,0,1
37,8689,7545,2,0,14,0,0,35,0,152,6,3732,43,0,0,38,407,4,0,0,0,988,0,72,0,23,7,0,0,159,25,1312,0,0,1,1,162,2,360,0,0,198,0,2,0,2,0,1,0,4,0,0,23,13,0,2,0,7,25,1,0,0,0,0,0,0,1,0,0,3,1,2,1,12,13,0,23,0,4,0,0,52,5,0,0,0,0,1,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,1,3,3,0,0,5,0,0,207,0,0,0,33,1,1,0,0,0,0,0,0,5,1,1,0,1,0,0,0,163,0,1,680,5,6,270,0,3,1,0,0,395,0,0,0,33,20,0,0,0,0,11,0,1,1,0,0,0,0,0,1
38,8984,8236,0,0,14,0,1,17,0,23,6,4477,66,0,0,64,298,1,0,2,0,1392,0,4,0,44,10,0,0,87,13,999,0,0,1,4,112,4,592,1,4,180,0,2,1,2,3,2,1,1,4,1,24,17,4,1,0,2,5,0,0,0,0,1,1,0,0,3,0,1,0,1,0,3,14,0,19,3,5,0,0,51,3,2,0,0,0,0,1,0,0,1,1,0,35,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,5,0,1,0,2,0,0,0,1,0,1,0,0,0,0,0,9,3,4,0,0,0,0,0,229,1,0,0,39,0,1,4,0,0,0,0,1,5,6,0,0,0,0,0,1,171,0,0,235,5,3,172,1,2,17,0,2,31,0,0,2,67,40,0,0,0,0,27,0,0,0,0,0,0,0,0,2
39,3379,2989,0,0,4,0,0,19,1,5,5,1197,43,0,0,31,189,3,0,0,0,609,0,1,0,11,8,0,0,27,10,564,0,0,0,2,45,0,215,0,0,97,0,0,1,1,0,0,0,2,0,0,10,5,0,1,0,2,1,0,0,0,1,1,0,0,0,1,0,3,0,2,0,7,3,0,5,3,0,0,0,46,1,0,1,0,0,0,0,0,0,0,0,0,37,0,0,0,1,0,0,0,12,0,0,0,0,1,0,0,3,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,2,1,0,0,0,1,160,0,0,0,27,0,1,4,0,0,0,0,2,2,2,0,0,0,0,0,0,122,0,0,31,1,0,20,1,2,0,0,1,6,0,0,0,65,44,0,0,0,0,19,0,0,0,0,2,0,0,0,0
40,56181,51422,90,0,90,1,2,169,0,51,193,19675,568,2,0,233,689,46,1,9,7,17474,0,13,0,245,113,3,1,3430,149,3978,0,4,13,62,429,22,3649,3,8,1630,4,9,24,5,10,2,6,8,0,5,199,116,8,8,5,17,73,3,4,0,0,2,4,0,0,4,2,40,4,33,10,83,221,0,71,41,20,0,0,459,82,23,1,2,2,4,7,0,0,8,1,0,385,4,0,0,9,0,0,0,8,0,1,1,0,7,0,0,11,0,0,0,0,16,2,6,0,2,1,1,19,7,4,0,1,64,1,3,12,1,0,7,0,0,11,1,9,10,23,137,0,4,2,0,0,1762,1,1,0,252,7,11,10,0,4,3,0,6,19,62,3,0,0,0,0,5,1378,0,0,627,33,14,293,13,20,9,1,6,230,0,0,8,344,225,8,0,0,0,106,0,3,0,1,0,0,0,1,11
41,4280,3975,16,0,2,0,0,41,0,7,34,1572,34,0,0,10,262,1,0,1,0,772,0,1,0,35,1,0,0,215,1,524,0,0,0,3,64,1,374,0,4,91,0,1,2,4,3,0,1,3,0,0,5,4,0,0,0,4,6,0,0,0,0,0,1,0,0,1,0,0,1,1,0,11,5,0,4,1,1,0,0,29,1,0,1,0,0,1,0,0,0,0,0,0,9,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,147,0,1,0,21,0,0,0,0,0,0,0,1,2,4,0,0,0,0,0,0,118,0,0,18,0,0,12,2,2,1,0,0,1,0,0,0,40,29,2,0,0,0,9,0,0,0,0,0,0,0,0,0
42,8136,7069,2,0,21,0,0,27,0,48,20,2985,97,0,0,63,129,3,0,0,0,1265,0,2,0,11,11,0,0,363,2,950,0,0,2,1,94,6,967,0,0,310,0,0,1,1,4,2,1,6,1,2,23,16,0,5,0,6,20,1,8,0,0,0,0,0,0,0,0,21,17,7,4,31,35,0,5,3,2,0,0,81,3,0,0,0,0,0,2,0,0,0,0,2,94,2,0,1,0,0,0,0,1,0,0,0,0,3,0,0,5,4,0,0,0,18,0,0,0,1,0,0,0,0,0,0,1,8,0,0,1,0,0,3,0,0,0,0,0,1,7,38,0,0,0,0,0,544,0,0,1,45,2,0,0,0,2,1,0,2,4,13,1,0,0,0,0,1,472,0,0,38,2,1,23,2,1,1,1,1,5,0,1,0,74,48,0,0,0,0,23,0,0,0,0,2,0,0,1,7
43,9739,8807,14,1,16,0,2,62,1,31,31,4605,164,0,0,34,194,10,0,2,1,1062,0,5,0,25,14,1,2,166,36,1390,0,12,3,13,167,2,741,0,0,285,0,1,1,4,0,1,0,0,0,4,32,19,3,0,0,7,13,9,0,0,0,1,0,0,0,1,0,6,2,6,2,30,21,0,5,1,4,0,0,99,7,3,1,0,0,1,1,0,0,0,0,0,83,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,2,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,9,0,0,2,8,40,0,0,0,0,0,383,0,0,1,54,0,0,0,0,0,2,1,0,2,12,0,0,0,0,0,0,311,0,0,82,3,1,57,2,2,0,0,1,12,0,1,3,89,50,1,0,0,0,26,0,5,0,1,6,0,0,0,10
44,9800,8811,22,3,30,0,1,57,1,20,105,3516,98,0,0,61,325,18,0,0,0,2305,0,6,0,36,34,0,0,221,31,998,0,4,0,23,293,2,599,2,0,351,0,2,2,2,0,0,2,3,2,3,23,17,0,2,1,5,16,19,2,0,0,0,4,0,0,0,0,3,16,4,5,7,25,0,13,9,3,0,11,59,1,86,3,0,0,1,0,0,0,0,0,0,71,0,0,9,3,0,0,0,0,0,0,0,0,4,0,0,10,0,0,0,0,7,0,0,0,0,0,0,2,0,0,4,0,4,0,0,3,3,0,0,0,0,0,0,1,2,9,5,0,1,4,0,0,368,0,0,0,57,1,0,3,0,0,1,0,1,1,16,0,0,0,0,0,0,287,0,1,96,7,2,50,0,2,1,3,1,29,0,1,0,103,59,10,0,0,0,18,0,3,0,1,10,0,0,2,0
45,4208,3661,43,0,9,0,0,14,0,27,8,1779,32,0,0,25,291,0,0,1,0,609,0,2,0,11,9,0,0,58,29,563,0,0,1,4,50,1,95,0,0,150,0,0,1,0,0,0,0,1,0,2,12,12,0,1,0,3,14,0,0,0,0,0,0,0,0,0,0,1,1,2,0,13,7,0,2,3,4,0,0,63,5,1,0,0,0,1,1,0,0,0,0,0,42,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,2,0,1,4,0,0,0,0,0,4,0,0,1,7,15,0,0,1,0,0,248,0,0,0,46,1,0,0,0,0,0,0,0,1,7,1,0,0,0,0,1,190,1,0,45,0,4,28,0,5,2,0,0,6,0,0,0,62,46,1,1,0,0,13,0,0,0,0,1,0,0,0,0
46,6453,5739,5,0,25,0,0,26,0,4,13,2858,110,0,0,10,125,6,0,2,0,514,0,3,0,43,10,0,0,65,34,1474,0,0,2,3,82,7,318,0,0,216,1,2,1,1,3,0,1,1,0,1,23,21,0,2,0,7,9,0,0,0,0,1,0,0,0,0,0,9,0,6,1,9,7,0,10,2,3,0,0,85,5,1,0,0,0,0,4,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,1,0,0,4,1,0,1,0,0,3,2,0,0,0,0,0,0,5,1,0,0,0,4,0,0,1,0,0,0,0,0,5,0,2,1,4,18,0,0,0,0,0,320,0,3,0,55,1,1,0,0,1,0,0,1,2,10,0,0,0,0,0,0,246,0,0,62,5,2,28,1,7,0,0,6,11,0,0,2,53,32,1,0,0,2,18,0,0,0,0,0,0,0,0,10
47,10353,6528,27,0,28,0,0,57,0,3,45,1573,442,2,0,307,249,18,0,4,1,844,0,8,0,43,24,0,2,675,22,1639,0,0,1,29,111,9,362,1,2,560,1,5,13,7,1,1,2,3,2,3,83,60,6,5,0,19,32,0,1,0,0,0,2,0,0,1,0,9,1,10,2,13,54,0,32,17,17,0,0,148,3,2,1,0,0,1,2,0,0,0,0,1,82,1,0,0,2,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,3,0,0,0,1,0,0,3,0,7,0,0,12,0,0,2,0,0,5,0,0,7,1,0,0,14,9,1,3,3,0,0,2437,2,0,0,113,3,2,1,0,0,0,0,0,7,21,1,0,0,0,0,0,2287,0,0,592,62,6,263,5,8,0,0,2,246,0,0,0,135,79,10,0,0,0,38,0,1,2,0,1,0,0,4,19
未定・不詳,2818,2029,0,0,2,0,0,6,0,5,14,318,126,0,0,61,28,0,0,2,1,1152,0,1,1,15,12,0,0,12,13,102,0,9,0,2,37,16,93,0,1,340,0,3,3,1,2,1,1,5,1,0,97,60,1,6,0,7,16,0,2,0,0,0,0,0,0,0,0,8,8,0,4,8,10,0,8,5,2,0,0,67,4,7,0,0,0,0,2,0,0,1,0,0,27,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,2,1,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,3,3,0,0,0,0,0,240,0,0,0,42,0,1,2,0,0,0,0,0,0,10,0,0,0,0,0,1,184,0,0,108,4,1,69,2,2,6,0,0,21,0,2,1,74,51,1,0,0,0,20,0,1,1,0,0,0,0,0,0
