id,total,change
,124271318,-505046
010006,5226066,-42286
020001,1269494,-17535
030007,1227464,-15548
040002,2268775,-13140
050008,981114,-15178
060003,1074351,-13774
070009,1866570,-20436
080004,2851707,-19476
090000,1922681,-12782
100005,1909403,-15202
110001,7197793,-2400
120006,6154626,-3059
130001,13257596,68547
140007,8981167,4213
150002,2217650,-24867
160008,1036503,-8528
170003,1123115,-7622
180009,764795,-7052
190004,809800,-7265
200000,2049761,-16652
210005,1973948,-16650
220001,3611596,-25600
230006,7301322,-10479
240001,1758638,-15356
250007,1387945,-2861
260002,2481833,-13090
270008,8596893,-16128
280003,5435379,-26937
290009,1340085,-10180
300004,947173,-10882
310000,556195,-5250
320005,670468,-6783
330001,1872421,-11505
340006,2770709,-16377
350001,1352180,-14642
360007,735974,-8547
370002,967202,-7667
380008,1355720,-14133
390003,704396,-8610
400009,5047263,-7915
410004,816605,-5838
420000,1340026,-15197
430005,1752215,-12553
440001,1137378,-10070
450006,1088186,-9107
460001,1618119,-14979
470007,1461018,2332
