都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,朝鮮,韓国,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,アンドラ,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
10,48320,29259,50,0,400,0,1,659,0,136,365,7162,482,0,0,380,1163,180,0,3,1,333,2288,0,12,3,138,131,0,0,1906,837,6578,0,0,1,18,963,170,4896,2,1,483,1,4,1,4,2,0,3,1,0,0,37,20,1,4,0,16,20,0,0,0,0,0,2,0,0,3,0,2,0,11,2,85,81,0,30,3,3,0,0,113,7,21,0,2,0,0,2,1,0,0,0,1,0,157,4,1,0,26,0,0,0,4,0,0,0,0,6,0,0,17,18,0,0,0,8,0,0,0,0,10,0,4,0,0,6,0,21,0,0,1,0,0,0,0,0,3,0,9,4,6,4,0,0,5,0,0,631,0,0,0,93,5,3,15,0,3,1,0,1,6,29,1,1,0,0,0,1,472,0,0,17637,171,473,11982,45,47,3,0,177,4726,0,8,5,139,89,0,0,0,0,38,1,1,0,0,9,0,0,1,14
11,145997,127204,100,4,618,1,7,1437,4,182,912,57671,3011,1,0,1206,1747,482,2,18,17,1521,15643,1,70,2,560,613,0,5,3397,2122,18189,0,98,29,103,2857,1082,13483,7,2,2608,1,21,12,11,11,4,13,15,5,25,299,200,15,38,1,40,118,19,16,0,1,4,12,0,0,13,2,23,16,74,22,113,407,0,88,57,22,0,2,617,87,133,6,5,0,1,15,12,1,0,1,10,0,1644,7,1,0,121,1,0,1,56,0,0,12,0,40,5,0,396,66,21,1,3,41,1,1,0,2,23,0,33,5,3,2,1,493,0,4,80,5,1,20,0,0,20,5,57,33,16,57,1,1,7,1,0,2489,1,1,0,384,6,10,33,0,7,4,0,9,18,121,3,5,0,0,0,1,1886,0,0,11541,180,163,7182,53,168,10,0,207,3562,0,6,10,469,307,12,1,1,4,131,0,0,4,1,4,0,0,4,42
12,128660,114208,945,0,717,0,8,775,1,192,2624,44861,3331,1,1,1473,1837,430,10,17,22,829,15492,1,66,2,585,913,0,2,4055,1007,17296,0,16,27,133,5379,82,11061,15,2,2829,7,33,25,15,14,4,15,12,5,38,272,161,15,38,4,42,93,25,19,2,2,5,20,0,0,6,0,28,17,55,28,95,527,0,93,50,36,1,3,771,97,129,0,2,0,1,3,12,1,0,0,7,1,1183,7,1,0,63,0,0,2,22,1,0,2,0,33,3,2,280,14,0,0,11,74,10,1,0,3,5,1,24,2,3,4,1,279,1,4,20,3,1,48,0,0,30,4,13,90,47,66,0,1,7,0,0,3028,0,0,1,452,13,14,22,2,9,10,2,16,43,234,4,1,1,0,0,2,2201,0,1,6799,104,183,3371,86,235,8,0,87,2708,0,4,13,582,382,25,0,0,0,154,0,2,4,1,6,0,0,8,31
13,483538,420452,156,51,7930,2,12,3609,24,484,2051,181670,17415,12,3,10923,3798,1022,28,241,28,5864,90696,15,203,49,2520,2089,2,10,21005,1133,30711,5,359,78,1109,7897,701,26530,7,10,27177,23,229,336,155,116,48,121,247,49,257,6114,2725,85,174,35,378,1757,59,112,7,18,27,86,1,9,41,13,448,145,425,184,522,2447,0,1050,959,438,8,24,5993,437,671,14,20,0,11,22,41,11,2,2,77,4,3060,62,3,6,98,6,0,3,62,1,0,17,5,149,5,2,519,135,7,1,36,117,5,22,3,12,41,5,148,18,19,12,2,542,6,13,120,19,5,32,1,1,70,6,146,95,172,254,9,14,25,6,3,21848,4,2,4,3131,28,79,46,5,20,29,4,26,78,537,7,16,1,0,1,14,17815,1,0,6516,280,116,3307,141,524,42,0,70,1928,3,19,86,4385,3397,46,0,2,6,881,0,6,9,8,21,0,1,8,100
14,186233,153166,46,18,555,2,9,930,3,1733,2055,60618,4738,2,10,4296,2202,521,6,30,14,1818,27814,1,1250,12,984,655,5,2,4085,1096,20321,14,185,31,269,4189,186,12454,4,3,6773,2,73,70,36,26,18,43,29,14,53,954,961,32,54,3,87,323,39,26,0,9,5,23,0,2,21,1,151,38,129,51,234,818,1,245,146,120,13,11,1547,193,115,2,13,0,2,14,10,7,0,2,7,0,1669,14,0,1,34,4,0,2,43,1,1,9,2,18,1,2,327,23,5,0,29,71,1,2,1,9,32,1,54,5,15,12,0,456,1,8,110,1,0,7,1,0,111,6,41,33,55,81,7,10,17,5,0,6687,0,2,1,870,30,19,184,2,17,13,4,9,64,239,16,5,0,2,0,9,5200,1,0,16902,655,751,8333,40,304,48,2,242,6470,0,6,51,954,714,18,0,0,8,199,0,1,3,1,5,1,0,4,82
15,14149,12508,29,0,96,0,0,59,2,25,169,4955,184,0,1,78,318,14,1,2,3,139,1785,0,20,0,86,150,0,0,224,277,2218,1,2,2,19,416,8,1224,0,1,557,4,3,2,0,0,0,4,0,0,1,36,36,1,1,0,2,24,20,3,0,0,0,0,0,0,0,0,8,1,6,0,20,201,0,14,6,6,0,9,105,9,29,0,1,0,0,1,3,0,0,0,1,0,131,1,1,2,2,0,0,0,2,0,0,1,0,8,1,0,19,0,1,0,6,18,0,0,0,1,4,1,7,0,1,9,0,8,0,0,6,0,0,3,0,0,3,1,2,0,7,14,1,0,1,0,0,442,0,0,0,55,8,0,0,0,1,2,0,1,8,43,0,1,0,0,0,1,322,0,0,385,6,3,298,3,3,0,0,3,67,0,0,2,125,89,1,0,0,2,33,0,0,0,0,0,0,0,0,1
16,14464,11196,2,0,36,0,0,102,0,38,22,4975,145,0,1,132,289,3,0,4,1,112,950,0,2,0,86,20,0,0,62,505,1931,0,0,5,5,144,0,1624,0,0,655,2,1,1,3,4,0,5,0,1,5,11,7,0,7,0,4,9,0,2,0,0,1,0,0,0,3,0,2,1,1,2,31,472,0,5,0,3,0,1,47,16,3,0,0,0,0,0,2,0,0,0,3,0,45,1,0,0,1,0,0,0,11,0,0,2,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,5,12,1,0,0,0,0,227,0,0,0,25,0,0,1,0,0,0,0,0,8,8,2,0,0,0,0,2,181,0,0,2302,5,31,2087,2,2,0,0,121,54,0,0,0,39,31,0,0,0,0,6,0,1,0,0,0,0,0,1,0
17,12092,10044,1,0,133,0,0,63,0,23,10,4394,177,0,0,112,531,10,1,1,1,220,1413,0,3,0,70,81,0,1,144,36,820,0,0,11,6,274,6,1501,0,1,350,0,2,7,1,4,0,3,1,0,3,41,30,2,3,0,13,17,0,0,0,0,0,2,0,0,0,0,1,1,8,0,21,70,0,11,4,8,0,1,71,8,0,0,1,0,2,0,9,0,0,0,5,0,87,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,5,0,0,0,0,0,0,2,0,0,5,0,9,1,0,1,0,0,0,1,0,2,0,5,0,8,44,0,0,1,0,0,326,0,0,0,46,0,2,3,0,1,0,0,1,5,13,2,1,0,0,0,2,250,0,0,1221,13,8,1102,2,5,0,0,9,80,0,1,1,64,42,2,0,0,0,16,0,0,0,0,4,0,0,0,0
18,12347,8913,7,0,79,0,0,19,0,79,5,3328,92,0,0,6,203,5,1,1,0,293,2264,0,2,0,68,12,0,1,56,19,1316,0,0,0,3,225,1,828,0,0,160,0,1,0,0,1,0,1,1,0,2,8,9,0,2,1,5,7,0,1,0,0,0,2,0,0,1,0,2,0,1,2,4,68,0,2,2,1,0,0,18,9,5,1,0,0,1,0,2,0,0,0,0,0,20,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,4,4,0,0,0,0,0,210,0,0,0,24,0,1,0,0,0,0,0,0,6,1,0,1,0,0,0,0,177,0,0,3018,2,0,2925,2,2,0,0,3,83,0,0,1,21,15,0,0,0,0,5,0,1,0,0,0,0,0,0,5
19,14461,10436,1,0,8,0,0,22,1,1,78,3446,510,1,0,288,189,54,0,0,0,48,1912,0,16,0,76,39,0,0,135,29,2003,0,0,0,7,662,4,906,0,0,236,0,2,5,0,0,1,3,1,0,5,28,22,0,0,0,7,11,0,1,0,0,0,0,0,0,1,0,9,4,3,6,7,19,0,2,4,7,0,0,78,3,1,0,2,0,0,0,1,0,0,0,3,0,40,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,4,0,0,8,0,0,3,0,0,0,0,1,1,6,5,1,0,1,0,0,361,0,0,0,52,2,1,1,0,1,1,0,0,4,3,0,0,0,0,0,5,291,0,0,3323,8,38,2512,1,22,0,0,22,712,1,0,7,61,41,0,0,0,1,16,0,0,0,0,2,0,0,1,4
20,32743,25337,3,0,134,0,1,68,0,88,216,9644,720,0,0,58,848,47,2,3,2,331,3554,0,9,0,112,88,0,0,296,178,4676,1,5,0,26,2234,6,1987,0,0,548,0,10,9,3,0,0,3,3,1,8,77,55,0,6,0,2,19,3,0,0,0,0,1,0,1,0,1,22,1,7,2,10,41,0,12,16,9,0,3,204,4,8,0,0,0,0,1,4,2,0,0,0,0,67,1,0,4,0,0,0,1,2,0,0,1,0,3,0,0,4,0,1,0,0,2,0,0,0,2,0,0,4,0,0,0,0,9,0,0,5,1,1,0,2,0,2,0,3,3,7,7,0,0,2,0,0,748,0,0,0,141,2,1,9,0,1,0,1,1,4,20,4,0,0,0,0,0,564,0,0,5734,30,150,4966,11,19,5,0,102,443,0,1,7,304,254,1,0,0,0,49,0,0,0,0,0,0,0,0,5
21,46989,34769,27,0,297,0,0,145,0,515,213,12041,179,0,1,82,573,22,0,8,1,590,3969,0,7,1,81,20,0,1,581,277,10926,0,0,5,8,494,80,3625,0,0,447,0,3,3,1,2,0,4,2,0,1,37,26,0,1,0,9,19,3,0,0,0,0,1,0,0,5,0,5,0,3,1,79,64,0,21,10,3,0,0,107,27,3,0,0,0,2,1,1,0,0,0,3,0,125,0,0,0,2,0,0,0,6,0,0,1,0,0,0,0,14,4,0,0,3,5,0,0,0,0,0,0,1,0,0,0,0,13,0,0,8,0,0,0,0,0,2,0,2,3,5,55,0,0,0,1,0,475,0,0,0,91,1,2,9,0,0,4,0,1,2,19,0,0,0,0,0,1,345,0,0,11060,32,53,10088,6,10,4,0,17,844,0,2,4,111,78,0,0,0,0,28,0,0,0,1,3,0,0,1,2
22,77584,43789,5,0,616,0,2,193,1,68,536,11483,710,0,1,528,2333,75,0,6,2,427,4934,0,186,0,170,58,0,3,987,388,14251,0,0,8,36,1377,31,4373,0,1,822,0,4,7,3,6,2,5,7,1,6,90,62,2,10,0,12,34,2,3,1,0,1,4,0,0,1,1,12,3,21,8,86,117,0,32,14,13,0,0,204,30,5,0,1,0,0,0,9,0,0,0,3,0,126,2,0,0,15,0,1,0,2,0,0,1,0,0,2,0,5,1,0,0,0,6,0,0,0,0,0,0,3,0,0,0,1,40,0,0,7,0,0,4,0,0,3,0,3,3,12,10,0,1,2,0,2,1127,2,0,0,173,3,6,14,0,8,4,0,3,26,63,8,3,0,0,0,6,808,0,0,31503,244,269,25854,20,213,5,1,205,4657,0,21,14,206,124,1,0,0,0,76,0,0,1,0,2,0,0,2,11
23,217465,150453,245,1,881,7,17,452,1,435,1247,45684,1932,1,2,992,5003,189,2,20,18,2478,31468,1,51,6,437,412,0,1,5037,1327,32288,3,20,29,101,2601,1404,15655,5,0,2973,10,20,47,16,28,11,21,8,6,32,415,208,9,28,0,36,149,10,9,0,2,3,11,0,1,15,7,30,21,83,37,233,230,0,128,45,25,1,0,697,137,154,5,3,0,0,1,24,0,1,1,15,0,879,14,6,3,13,1,0,0,22,0,0,2,0,13,2,0,103,10,6,0,3,37,0,0,1,5,3,0,33,3,1,5,5,188,0,3,23,2,0,2,0,2,21,1,10,100,59,161,4,5,6,1,0,3377,0,0,0,479,7,12,34,0,7,6,0,7,52,163,2,2,1,0,0,1,2604,0,0,59167,358,1141,49444,57,283,14,1,304,7522,1,12,30,588,427,9,1,0,2,135,1,3,0,3,3,0,0,4,28
24,43591,26647,64,0,180,0,0,69,1,76,396,7872,307,0,0,63,1108,28,1,2,1,374,4578,0,8,1,54,154,0,0,620,182,6213,0,1,11,17,1232,40,2993,0,1,361,5,1,2,1,1,0,3,2,0,3,39,29,6,14,0,7,16,3,1,0,0,0,0,0,0,2,0,8,2,3,2,14,41,0,48,4,8,0,0,76,14,2,0,0,0,0,0,0,0,1,0,2,1,144,1,0,0,2,1,0,0,5,0,0,0,0,0,0,1,24,1,0,0,3,10,0,1,0,1,3,0,1,0,2,0,1,31,0,0,3,0,0,3,0,0,2,0,3,13,9,18,1,1,3,0,0,420,0,0,0,70,1,1,3,0,0,0,0,1,8,33,0,0,0,0,0,2,301,0,0,15929,50,900,11798,20,18,1,0,39,3102,0,0,1,87,59,2,0,0,0,22,0,0,2,0,2,0,0,0,3
25,24929,14254,20,0,78,0,1,46,0,41,27,4594,162,0,0,74,537,9,0,1,0,371,4405,0,2,0,93,45,0,0,163,25,2223,0,8,0,9,261,5,1053,1,0,308,0,3,6,0,0,0,0,1,1,7,38,26,2,6,0,2,14,4,1,0,0,0,1,0,0,0,0,7,1,7,3,9,27,0,16,5,6,0,0,95,7,13,0,0,0,0,0,0,0,0,0,0,0,53,1,0,0,4,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,2,8,0,0,0,0,0,0,4,0,0,0,0,5,0,0,1,0,0,1,0,0,6,0,1,1,4,5,0,0,0,0,0,495,0,0,0,54,2,0,15,0,1,1,1,6,8,36,0,0,0,0,0,1,370,0,0,9740,33,278,7751,8,24,1,0,31,1592,0,1,21,71,49,0,2,0,0,20,0,0,0,0,0,0,0,0,8
26,54149,48481,58,1,104,3,6,103,5,111,146,12513,1458,3,0,352,687,67,13,31,9,1977,25287,2,12,3,230,84,4,1,456,103,2052,0,7,39,66,545,70,1861,2,10,2466,2,22,56,19,7,6,17,22,4,47,528,292,11,33,5,41,188,25,18,0,3,4,4,0,0,3,3,43,20,31,16,36,203,0,101,98,47,3,4,426,28,15,0,11,0,4,5,7,0,1,0,7,0,349,3,0,1,1,0,0,0,17,2,0,2,0,13,0,4,3,3,1,0,1,22,1,9,0,4,4,2,6,1,2,5,0,19,0,0,5,1,0,12,3,0,13,1,7,5,36,119,5,1,8,7,0,1815,1,0,0,293,2,3,8,1,4,2,1,3,12,81,4,1,0,0,2,1,1395,1,0,654,16,73,355,17,28,2,0,10,143,0,3,7,375,267,3,1,1,0,94,0,1,1,0,7,0,0,0,9
27,214537,201147,48,7,411,1,1,208,1,211,327,54496,5714,4,2,1142,2225,167,12,37,11,5385,105411,0,27,1,522,206,4,5,1809,310,7107,0,88,63,168,2113,194,12700,9,0,3805,4,29,37,42,20,9,14,26,6,45,555,299,12,29,7,51,251,33,16,1,2,5,15,0,1,8,1,74,18,79,34,144,426,0,213,87,68,0,9,919,129,37,3,6,1,3,5,19,4,0,0,9,0,778,7,1,3,9,0,0,6,22,0,0,5,0,10,2,4,123,4,1,0,7,46,0,3,0,8,6,1,33,3,5,8,2,157,0,1,14,1,0,33,0,0,21,2,36,10,33,135,2,7,3,2,2,3697,2,3,1,650,2,9,18,0,5,10,4,2,49,137,0,7,0,0,0,4,2794,0,0,4065,43,159,2481,34,112,8,0,28,1182,0,2,16,995,744,11,0,5,5,215,0,3,2,4,2,0,0,4,50
28,99938,89968,86,0,236,2,0,119,2,138,192,22383,1859,1,0,1531,924,64,2,35,6,3245,41696,1,122,23,195,112,2,2,1185,212,3971,0,18,59,129,850,65,10494,4,3,2555,2,19,48,30,10,1,11,36,5,48,328,270,20,15,2,42,146,19,15,0,0,6,7,0,1,4,3,46,43,49,31,62,255,0,110,53,77,1,0,597,77,21,6,6,0,5,1,12,1,0,0,14,0,457,21,0,0,14,0,0,0,11,0,0,1,0,22,1,0,47,3,1,0,2,18,0,4,0,1,0,0,17,4,4,9,0,79,0,15,6,0,0,4,0,1,26,1,21,18,38,59,5,3,1,0,0,2902,2,0,0,496,4,13,24,0,4,5,0,3,24,59,2,2,1,0,0,4,2259,0,0,3340,51,96,2304,11,40,5,0,28,798,0,2,5,668,503,1,1,1,0,161,0,0,0,0,1,0,0,0,48
29,11254,9605,16,0,100,0,0,37,3,16,40,2986,310,0,0,69,248,21,0,0,0,193,3605,0,8,0,76,12,0,0,170,40,660,0,0,0,14,226,9,746,0,0,363,1,3,5,6,0,1,3,1,0,9,57,35,1,3,0,5,15,0,1,0,0,0,0,0,0,0,1,6,4,12,2,11,22,0,37,7,12,0,0,88,11,0,0,0,0,0,2,2,0,0,0,0,0,65,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,3,8,0,0,0,0,0,0,1,0,0,0,0,15,4,1,1,0,0,2,0,0,3,0,1,1,3,11,0,0,0,0,1,482,0,0,0,61,2,1,6,0,2,0,0,1,5,14,1,13,0,1,0,1,374,0,0,657,7,35,393,3,11,4,0,7,196,0,0,1,79,41,2,0,0,1,32,0,0,0,0,2,0,0,1,3
30,6162,5673,0,0,12,0,0,7,0,18,6,1366,112,0,0,50,170,3,0,1,0,179,2169,0,2,3,27,14,0,0,44,8,725,0,0,4,4,431,6,312,0,0,130,0,1,2,2,1,0,3,1,0,1,16,10,1,1,0,5,4,0,0,0,0,1,0,0,0,0,0,0,2,12,0,2,13,0,5,2,1,0,0,36,6,1,0,0,0,0,0,1,0,0,0,0,0,13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,205,0,0,0,31,0,0,0,0,1,0,0,1,6,6,1,1,0,0,0,0,158,0,0,96,1,0,83,0,0,0,0,0,12,0,0,0,42,27,0,0,0,0,15,0,0,0,0,0,0,0,0,3
31,3999,3626,0,0,33,0,0,6,0,55,0,1070,47,0,0,27,102,0,0,1,1,126,931,0,2,0,20,21,0,0,20,26,521,0,0,0,0,99,2,516,0,0,107,0,1,3,0,0,0,0,0,0,2,14,4,3,0,0,5,1,0,0,0,0,0,3,0,0,0,0,1,4,1,0,4,23,0,1,1,1,0,0,30,1,1,0,0,0,1,0,2,0,0,0,0,0,89,0,0,1,0,0,0,0,0,0,0,0,0,24,0,0,0,2,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,29,0,0,1,0,0,4,4,14,0,0,1,0,0,123,0,0,0,30,0,0,0,0,1,0,0,1,5,3,0,0,0,0,0,0,83,0,0,28,0,1,23,0,0,0,0,1,3,0,0,0,26,15,0,0,0,0,11,0,0,0,0,0,0,0,0,0
32,6902,4148,6,0,51,0,0,63,0,91,9,1607,27,0,0,13,124,0,0,0,1,74,678,0,2,0,19,20,0,0,18,2,865,0,0,0,1,50,0,427,0,0,92,0,1,1,0,0,1,0,1,0,1,8,11,0,0,0,3,5,3,0,0,0,0,0,0,0,1,0,3,0,2,7,2,17,0,3,0,1,0,0,19,2,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,5,0,0,0,0,4,0,0,0,0,0,150,0,0,0,15,0,1,0,0,0,0,0,0,6,2,0,1,0,0,0,0,125,0,0,2461,0,0,2455,0,2,0,0,0,4,0,0,0,24,13,0,0,0,0,11,0,0,0,0,0,0,0,0,2
33,22956,20845,8,0,118,0,0,52,0,216,45,7917,177,0,0,96,740,6,0,3,4,422,5059,0,9,0,116,7,0,0,217,109,1756,0,12,5,4,237,30,3480,0,0,382,1,2,6,1,0,0,1,7,0,4,37,30,2,4,1,3,15,0,1,0,0,1,0,0,0,0,0,9,1,9,19,15,50,0,9,5,3,0,0,117,13,5,0,0,0,0,1,6,0,0,0,4,0,78,3,0,0,1,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,1,14,0,0,0,0,1,0,2,0,0,0,0,6,0,0,3,0,0,1,0,0,2,0,4,0,9,23,1,0,1,0,0,461,0,0,0,86,0,0,1,0,0,0,1,0,10,10,0,1,0,0,0,2,350,0,0,1085,7,20,917,5,2,0,0,13,120,0,0,1,104,73,3,0,0,0,21,0,2,0,0,5,0,0,0,1
34,44365,39349,72,0,194,0,0,126,0,165,58,13781,302,2,1,398,1382,16,1,4,1,936,7931,0,36,0,103,64,0,0,201,34,6564,0,5,33,44,912,14,5969,0,0,723,2,1,6,8,8,8,2,8,0,3,50,72,3,7,0,13,38,2,4,0,0,1,4,0,0,8,0,9,5,14,5,22,100,0,35,2,8,0,1,166,80,13,0,0,0,0,4,8,0,0,2,0,1,227,8,0,0,2,0,0,0,11,0,0,0,0,5,0,1,10,5,0,0,2,21,1,0,0,1,0,0,2,4,0,2,0,18,0,9,0,1,0,2,0,0,2,0,4,1,21,90,0,2,1,1,0,962,2,1,1,105,1,3,12,0,3,2,0,2,11,35,0,0,0,1,0,2,780,0,1,2928,12,13,2272,1,12,2,0,8,602,0,1,5,162,102,4,0,0,0,50,0,2,0,3,1,0,0,0,14
35,14167,13349,21,0,23,0,0,63,0,40,10,3033,116,0,0,41,291,2,0,0,0,817,5522,0,11,0,62,8,0,0,233,9,1318,0,1,0,3,106,4,1615,0,0,205,0,2,0,3,2,0,1,3,1,1,15,15,0,1,0,1,8,0,0,0,0,0,1,0,1,0,0,3,2,2,1,8,22,0,14,5,2,0,0,60,20,0,1,0,0,0,1,5,0,0,0,4,0,28,0,0,1,1,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,6,0,0,2,3,4,0,0,0,0,1,411,0,0,0,48,4,0,1,0,0,0,0,0,5,4,3,0,0,1,0,0,345,0,0,132,3,1,97,2,2,1,0,0,26,0,0,0,42,31,1,0,0,1,5,0,2,1,0,0,0,0,1,0
36,5203,4715,11,0,10,0,0,39,0,89,4,2131,49,0,0,43,218,2,0,2,0,27,328,0,11,0,51,55,0,0,46,19,672,0,0,1,0,111,1,795,0,0,136,0,1,0,0,0,0,0,0,0,5,15,16,0,1,0,3,2,0,1,0,0,0,1,0,0,1,0,2,1,2,2,14,20,0,2,5,0,0,0,30,8,1,0,0,0,0,1,1,0,0,0,1,0,47,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,32,1,1,0,0,0,195,0,0,0,47,0,0,0,0,1,0,0,0,3,8,0,0,0,0,0,0,136,0,0,73,4,1,42,1,7,0,0,1,13,0,0,4,36,24,0,0,0,0,9,0,3,0,0,0,0,0,0,1
37,10313,9203,0,0,74,0,0,35,2,246,4,3735,75,0,0,34,553,2,0,0,0,67,864,0,100,0,43,9,0,0,288,35,1547,0,0,0,2,135,5,1348,0,0,178,0,3,0,2,0,1,0,4,0,0,29,14,2,1,0,7,24,1,0,0,0,0,0,0,0,0,0,2,1,4,2,5,9,0,15,0,4,0,0,40,5,0,0,0,0,2,1,0,0,0,0,0,0,33,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,0,1,0,1,1,0,2,0,0,0,1,5,0,0,3,0,0,2,0,0,0,0,0,0,4,6,0,0,2,0,0,211,0,0,0,38,0,1,0,0,0,0,0,0,6,3,1,0,1,0,0,1,160,0,0,652,5,8,217,1,8,1,0,1,411,0,0,0,35,25,1,0,0,0,6,0,2,1,0,0,0,0,0,1
38,10488,9631,0,0,21,0,1,21,0,81,8,4417,118,0,0,70,392,1,0,3,0,130,1200,0,7,0,48,14,0,0,119,18,1409,0,0,1,6,158,4,1383,1,0,186,0,1,2,2,2,0,2,1,1,2,28,17,0,3,0,4,9,0,0,0,0,0,1,0,0,1,0,3,0,1,0,7,17,0,19,2,2,0,0,50,4,1,0,0,0,0,0,1,0,0,1,2,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,1,4,0,8,0,3,0,0,0,1,0,1,0,0,1,0,0,10,5,3,0,0,0,0,0,248,1,0,0,34,0,2,4,0,0,0,0,1,8,5,0,0,1,0,0,1,191,0,0,306,9,4,217,0,17,15,0,9,32,0,0,3,69,46,0,0,0,0,23,0,0,0,0,0,0,0,0,2
39,3763,3361,0,0,30,0,0,33,1,38,6,1197,47,0,0,43,219,6,0,0,0,43,531,0,0,0,11,12,0,0,49,10,621,0,0,1,2,70,0,391,0,0,102,0,0,1,1,0,0,0,3,0,0,11,5,0,1,0,3,2,0,0,0,0,1,0,0,0,1,0,3,0,2,0,5,6,0,5,2,0,0,0,48,2,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1,0,0,0,1,170,0,0,0,27,0,1,1,0,0,0,0,2,0,2,0,0,0,0,0,0,137,0,0,31,3,0,19,0,4,0,0,1,4,0,0,0,66,49,0,0,0,0,14,0,0,0,0,2,1,0,0,0
