都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,北マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,エスワティニ,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネービス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
35,17425,16424,3,0,87,0,0,97,0,326,89,2956,169,0,2,54,485,3,0,1,0,5150,697,1,15,0,70,30,0,0,412,21,1508,0,0,0,2,188,10,4048,0,0,225,0,1,4,5,1,0,0,3,1,0,21,15,0,7,0,6,8,3,0,0,0,0,0,0,0,0,0,4,2,2,2,8,20,0,20,8,1,0,0,60,20,1,1,0,0,0,0,0,0,0,1,0,34,0,0,3,5,0,0,0,2,1,0,0,1,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,1,2,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,1,473,2,4,0,45,3,0,0,0,0,1,0,0,8,29,2,0,0,1,0,0,378,0,0,214,4,2,161,0,4,1,0,4,37,0,0,1,52,31,1,0,0,1,14,0,1,1,1,1,0,0,1,3
36,6232,5712,20,0,118,0,0,34,0,139,6,1968,74,0,0,62,319,1,0,1,0,293,28,0,11,0,13,48,0,0,61,27,731,0,0,2,3,110,4,1639,0,0,154,0,1,1,0,0,2,0,0,0,1,13,21,0,1,0,7,3,1,1,0,0,2,1,0,0,1,0,3,1,2,0,13,20,0,7,3,1,0,0,34,10,2,0,0,0,0,1,0,0,0,1,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,2,1,0,1,0,6,0,1,1,0,0,0,0,0,0,0,0,0,0,2,31,0,1,0,0,0,217,0,0,0,52,0,0,2,0,1,0,0,0,4,3,0,0,0,0,0,1,154,0,0,57,1,2,37,1,2,0,0,1,13,0,0,0,38,25,6,0,2,0,5,0,0,0,0,0,0,0,0,1
37,13385,12279,0,0,367,0,0,40,1,307,12,3999,150,0,0,48,890,4,0,0,0,850,58,0,157,0,45,18,0,0,162,38,1937,0,0,0,4,138,7,3047,0,0,182,0,2,0,2,1,0,0,5,0,0,20,9,0,1,0,9,25,3,1,1,0,0,0,0,0,0,0,3,1,7,1,4,8,0,14,1,3,0,0,51,5,0,0,0,1,0,3,0,0,0,1,0,33,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,1,0,3,1,0,1,1,5,0,0,4,0,0,0,0,0,0,0,0,0,0,1,5,0,0,3,0,1,241,0,0,0,39,0,2,0,0,0,0,0,0,5,7,1,0,0,0,0,1,186,0,0,609,4,10,183,1,9,1,0,2,398,0,0,1,37,29,0,0,0,0,6,0,1,1,0,0,0,0,0,4
38,12459,11511,0,0,149,0,17,21,0,179,17,3942,134,0,0,62,502,3,0,3,0,1136,103,0,5,0,50,10,0,0,122,22,1828,0,0,1,5,135,6,3058,1,0,197,0,2,2,2,3,0,2,1,1,4,34,17,0,2,0,5,9,0,0,0,0,0,2,0,1,2,0,7,1,2,0,4,19,0,11,4,2,0,0,52,3,1,0,0,0,0,1,0,0,0,1,0,50,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,7,0,0,1,1,0,0,1,0,0,9,0,5,0,0,1,1,0,0,0,0,0,2,1,0,4,7,3,0,0,1,0,0,278,1,0,0,39,2,1,5,0,0,0,0,1,5,4,0,0,1,0,0,3,216,0,0,352,4,5,277,0,3,5,0,6,50,0,0,2,69,46,1,0,0,0,22,0,0,0,0,0,0,0,0,2
39,4746,4273,0,0,71,0,0,32,1,110,5,1133,81,0,0,45,330,3,0,0,1,505,38,0,4,0,10,36,0,0,54,9,746,0,0,0,7,56,0,996,0,0,123,0,0,3,0,0,0,3,1,0,0,18,8,0,5,0,3,2,0,0,0,0,0,0,0,0,1,0,3,1,3,0,6,5,0,4,4,1,0,0,50,1,1,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,0,1,0,1,4,0,0,0,0,0,0,1,0,0,0,0,8,0,0,1,0,0,0,0,0,0,0,0,2,1,12,2,2,0,0,0,0,209,0,0,0,40,0,1,2,0,0,0,0,2,0,4,0,0,0,0,0,0,160,0,0,39,2,0,24,2,1,1,0,2,7,0,0,0,63,40,0,0,0,0,16,0,0,0,0,6,1,0,0,0
40,79129,73376,130,2,886,0,82,360,0,362,905,20511,1190,1,1,533,1474,48,3,11,8,15860,1161,1,15,2,226,271,1,0,6512,247,5471,0,8,27,85,850,39,16067,4,22,2016,9,7,33,8,10,3,14,11,2,9,301,166,5,11,2,27,95,10,9,0,0,3,5,0,1,4,1,56,8,48,9,88,220,0,80,57,22,0,0,526,94,38,1,2,3,4,6,1,0,1,6,0,570,12,0,3,18,0,0,0,19,0,2,1,9,16,0,0,1,15,2,1,0,1,38,0,7,1,3,1,0,21,7,2,8,1,68,2,2,39,0,0,6,0,0,0,21,0,14,21,20,177,3,2,5,0,1,2009,1,1,0,289,7,19,11,0,9,3,1,7,41,92,7,0,0,0,0,5,1516,0,0,712,53,12,323,22,41,8,1,26,218,0,1,7,435,278,10,0,1,0,126,0,4,2,2,8,0,1,3,11
41,6732,6377,15,0,163,0,1,64,0,65,94,1377,58,0,0,28,618,0,0,0,0,640,66,0,0,0,27,6,0,0,441,21,656,0,0,0,3,82,1,1951,0,0,101,0,1,0,3,3,2,0,1,1,3,14,3,1,1,0,1,6,0,1,0,0,0,4,0,0,1,0,1,1,2,0,8,7,0,9,0,0,0,0,23,2,1,0,0,0,1,0,0,0,0,0,0,29,0,0,0,1,0,0,1,0,0,0,1,0,2,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,1,0,1,3,0,1,0,1,3,0,0,0,0,0,0,0,0,1,0,2,7,0,0,0,0,0,143,0,1,0,14,0,0,0,0,0,1,0,1,3,5,1,0,0,0,0,1,116,0,0,36,2,1,22,2,4,2,0,0,3,0,0,0,45,36,4,0,0,0,5,0,0,0,0,0,0,0,0,1
42,10489,9291,2,0,207,1,5,29,2,290,45,2476,193,0,0,174,353,5,0,0,0,1260,51,0,10,0,30,26,0,0,508,9,1195,0,4,1,11,96,5,2303,0,0,339,0,0,3,0,5,1,1,1,1,0,39,13,8,6,0,3,15,2,10,0,0,0,1,0,0,0,0,29,5,40,5,15,28,0,7,2,2,0,0,73,20,0,0,0,0,0,4,0,0,0,0,0,139,2,2,0,3,0,0,0,21,0,0,1,0,2,0,0,0,13,0,1,0,0,17,0,0,1,1,0,0,1,0,0,0,0,9,0,4,1,0,0,5,0,0,1,2,0,0,0,20,23,0,4,3,1,1,576,0,0,0,62,1,0,0,0,0,1,0,4,7,9,0,0,0,0,0,1,491,0,0,60,1,1,39,0,0,1,1,2,14,0,1,0,79,45,1,0,0,1,27,0,1,0,0,2,0,0,2,5
43,16592,15565,27,0,245,0,2,89,0,416,69,3814,287,0,0,73,573,3,1,3,1,1024,55,0,3,0,53,50,3,2,370,84,2502,0,0,9,29,313,3,5462,0,0,328,0,4,2,5,0,0,5,1,0,3,52,21,1,1,0,11,15,2,1,0,0,0,0,0,0,1,0,6,1,7,1,27,17,0,4,6,6,0,0,113,7,4,1,0,0,0,2,0,0,0,0,1,98,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,3,2,0,0,0,3,0,0,0,1,2,1,1,1,1,0,0,13,0,0,1,0,0,4,0,0,0,11,0,2,1,13,33,0,0,1,0,0,438,0,0,1,59,1,0,1,0,1,0,1,0,6,17,0,0,0,1,0,1,349,0,0,64,2,1,45,2,2,0,0,0,8,0,1,3,95,64,1,1,0,0,22,0,1,0,0,6,0,0,0,4
44,13379,12224,37,0,179,0,4,136,0,134,274,2824,198,0,0,138,927,14,1,1,0,2114,140,0,2,0,111,82,0,0,368,47,1513,0,1,5,14,343,6,2610,1,0,382,0,3,1,3,0,0,4,1,0,13,33,19,1,4,0,6,18,8,7,0,0,0,4,0,0,0,0,9,15,14,2,6,23,0,10,6,3,0,28,75,1,61,0,4,0,0,0,0,0,0,0,0,111,0,1,2,7,0,0,0,3,0,0,0,0,4,0,0,0,6,0,0,0,1,21,3,0,0,0,0,0,2,0,0,2,0,17,0,2,7,0,3,3,0,1,0,3,0,1,7,7,1,0,0,1,2,4,418,2,0,0,50,3,1,4,0,0,2,0,1,3,31,0,0,0,0,0,1,320,0,0,110,8,1,67,0,3,4,1,1,24,0,1,0,133,59,12,1,1,2,31,0,4,1,2,14,0,0,6,1
45,7162,6583,92,0,192,0,0,35,0,175,33,1460,52,0,0,45,613,1,0,0,0,584,11,0,7,0,19,28,0,0,198,60,760,0,0,0,5,76,4,2133,0,0,161,0,1,1,0,1,0,0,1,0,4,17,12,0,0,0,3,13,2,1,0,0,0,1,0,0,0,0,4,1,2,1,10,10,0,2,2,3,0,0,63,4,0,0,0,0,1,1,0,0,0,0,0,54,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,0,1,1,0,1,0,0,0,0,8,0,1,2,0,0,1,0,0,0,5,0,0,1,6,13,1,2,0,0,0,248,0,0,0,48,0,5,1,0,0,1,0,0,2,7,2,0,0,0,0,3,179,0,0,48,0,2,29,0,4,2,3,1,6,0,1,0,68,45,1,1,0,0,19,0,0,0,0,2,0,0,0,0
46,11453,10570,11,0,92,0,0,54,0,110,24,2252,203,0,0,32,355,2,0,2,0,529,32,0,3,0,32,12,0,0,254,56,2062,0,0,2,6,83,5,4357,0,0,238,1,2,2,3,4,0,1,4,0,0,36,19,1,1,0,6,11,0,0,0,0,1,0,0,0,0,0,9,0,9,1,8,6,0,10,6,2,0,0,87,5,0,0,0,0,0,3,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,3,0,0,0,3,2,0,0,0,1,0,1,2,3,0,1,0,4,0,0,1,0,0,0,0,0,0,11,0,1,0,9,16,0,0,0,0,0,359,0,1,0,45,2,1,2,0,1,0,0,1,5,6,0,0,0,0,0,0,295,0,0,142,9,5,104,0,1,0,1,2,18,0,0,2,68,36,3,0,0,4,17,0,4,0,3,0,0,1,0,9
47,19360,14434,76,0,200,0,2,59,0,88,91,2741,1096,1,0,335,791,34,0,11,1,1484,28,0,11,0,67,49,0,7,2231,26,2253,0,1,5,36,196,14,2498,1,1,1007,1,8,14,6,1,3,4,8,1,8,137,101,10,15,0,19,67,73,15,0,0,1,2,0,0,1,0,21,2,25,6,20,86,0,45,23,19,0,0,231,18,4,1,0,1,1,7,0,0,0,2,0,168,2,0,0,5,0,0,0,0,0,0,1,0,2,0,0,0,3,2,0,0,0,7,0,5,0,1,0,1,13,1,5,2,1,21,0,2,7,6,0,0,0,0,0,1,2,5,4,29,24,4,4,5,0,3,2744,1,0,0,146,9,3,0,0,0,0,1,1,10,29,0,0,0,0,0,2,2542,0,0,838,69,9,464,9,19,0,0,1,265,0,1,1,160,106,10,0,3,3,34,0,1,3,0,0,0,0,0,9
未定・不詳,1221,667,0,0,3,0,0,2,0,3,6,125,98,0,0,21,8,0,1,0,0,177,9,0,1,1,2,5,0,0,9,8,132,0,3,0,2,11,7,33,0,0,285,0,4,1,0,0,0,2,16,0,3,105,44,0,6,0,6,4,0,1,0,0,0,1,0,0,0,0,4,1,3,2,3,6,0,13,1,2,0,0,52,3,0,0,0,0,0,2,0,0,0,0,0,13,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,1,1,0,0,149,1,0,0,32,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,111,0,0,52,3,0,31,2,4,4,0,1,1,0,0,6,55,35,0,0,0,0,20,0,0,0,0,0,0,0,0,0
