都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国,朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,北マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,赤道ギニア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,エスワティニ,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネービス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
25,32441,19841,12,1,191,1,4,82,1,86,56,5541,246,0,0,145,1209,12,0,1,1,4276,311,0,9,0,124,56,0,0,258,20,2571,0,1,2,18,320,14,4272,0,0,330,0,3,4,1,1,1,0,0,0,6,37,27,2,10,0,2,16,18,0,0,0,0,2,0,1,0,0,4,1,14,3,8,28,0,14,6,11,0,0,92,4,9,1,1,0,0,3,0,0,0,0,0,100,1,0,0,15,0,0,0,2,0,0,1,0,5,0,0,0,3,0,0,0,0,7,0,0,0,0,2,0,4,1,0,0,0,19,1,0,9,0,4,3,0,0,0,2,0,1,4,5,8,0,2,0,0,1,515,0,0,0,70,1,1,30,0,1,2,1,7,14,28,0,0,0,0,0,1,359,0,0,11565,30,358,9455,9,21,1,0,35,1597,0,0,59,86,63,0,1,0,0,22,0,0,0,0,0,0,0,0,4
26,62603,55835,72,3,219,8,3,187,4,151,276,15679,1902,1,1,465,927,85,17,48,8,23880,1689,1,25,6,240,120,11,1,931,111,2441,0,6,57,92,761,81,5315,1,10,2970,6,16,53,29,9,6,23,21,6,37,701,310,18,36,5,34,228,28,18,0,4,6,9,0,0,2,3,72,19,62,19,39,244,0,143,84,59,2,2,518,35,33,2,2,4,3,11,3,1,0,4,1,376,5,0,2,3,0,0,0,11,2,0,3,0,6,0,0,5,17,9,1,0,6,30,1,2,0,13,3,2,17,1,1,4,0,23,0,1,9,2,1,9,1,0,1,8,1,8,8,32,110,4,5,8,1,0,2164,1,0,1,352,10,6,19,0,3,3,0,5,18,105,2,2,0,0,0,3,1633,1,0,816,31,84,464,24,32,3,0,13,151,0,4,10,432,314,4,0,1,0,101,0,0,1,1,8,0,1,1,10
27,247184,231895,79,4,965,0,76,300,6,359,560,65394,7263,7,1,1399,3634,183,15,45,15,99730,4677,0,56,7,749,329,3,6,3392,432,8896,0,49,76,216,2600,227,30131,14,0,4521,3,49,40,32,21,9,21,31,2,46,770,334,11,37,7,60,311,33,32,2,1,4,15,0,5,11,3,79,25,92,35,147,467,0,258,95,72,0,7,1061,133,90,2,14,5,10,21,4,0,0,13,1,1015,14,0,0,27,0,1,8,25,0,0,5,0,20,0,0,0,155,8,5,1,6,50,1,6,0,8,10,4,30,6,4,6,2,184,0,3,27,2,0,50,0,0,0,24,4,63,13,50,167,6,6,6,2,6,4117,1,2,1,669,5,14,24,0,6,8,6,5,51,165,1,8,0,0,0,7,3144,0,0,4482,58,158,2759,63,115,12,0,22,1266,0,4,25,1106,818,15,0,0,4,248,1,1,4,2,8,1,0,4,48
28,112722,101864,55,0,625,1,64,204,2,301,282,23983,2232,2,0,1608,1575,73,3,29,10,39145,2802,0,127,31,243,185,0,2,1741,264,4979,1,9,131,151,981,54,19956,10,3,2869,1,18,64,26,16,11,21,41,6,51,377,295,20,19,2,47,187,21,14,0,0,4,7,0,1,7,0,48,45,58,22,55,269,0,141,48,64,2,6,683,84,36,3,2,8,2,14,2,0,0,20,1,612,25,0,3,32,0,0,3,15,0,0,5,3,12,0,0,1,46,4,4,1,7,18,1,11,0,10,1,2,27,4,1,7,4,108,0,14,13,0,2,4,0,0,1,31,3,34,18,43,71,8,9,3,0,3,3068,3,0,0,491,5,13,20,7,9,6,2,4,36,79,3,0,1,0,0,13,2375,0,1,3565,59,83,2503,21,39,6,0,42,800,0,1,11,690,489,5,3,1,0,188,0,0,1,0,3,0,0,0,54
29,13155,11514,18,0,260,0,0,64,0,19,92,3148,355,0,0,81,316,20,0,0,1,3366,167,0,8,0,73,30,0,0,233,39,802,0,0,5,13,260,14,2130,0,0,417,0,3,4,7,0,3,1,1,1,3,91,34,1,2,0,9,19,0,0,0,0,0,1,0,0,0,0,10,3,11,1,12,23,0,40,7,9,0,0,102,9,0,1,4,0,3,2,0,0,0,0,0,81,0,1,0,3,0,0,0,5,0,0,1,0,1,0,0,0,6,1,1,0,6,7,0,0,0,0,1,0,2,0,0,2,0,12,0,0,5,0,0,0,0,0,0,3,0,4,6,7,6,1,0,0,0,0,470,0,0,0,80,4,0,6,1,1,1,0,1,2,13,1,3,0,1,0,0,356,0,0,578,7,43,327,4,13,2,0,3,178,0,0,1,91,51,1,0,4,1,29,0,2,0,0,3,0,0,0,4
30,6868,6255,1,0,35,0,0,3,0,31,4,1374,129,0,0,58,189,3,0,3,0,1999,157,0,3,5,34,51,0,0,62,18,721,0,1,6,3,434,9,922,0,0,156,1,0,2,1,1,1,2,0,0,1,21,10,1,0,0,6,7,1,0,0,0,1,0,0,0,2,0,0,2,16,1,3,11,0,8,2,1,0,1,44,7,1,0,0,0,0,1,0,0,0,0,0,21,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,2,1,0,4,0,0,0,0,0,229,2,0,0,32,0,0,0,0,2,0,0,1,3,6,1,0,0,0,0,0,182,0,0,157,5,1,137,0,2,0,0,0,12,0,0,0,48,32,0,0,0,0,16,0,0,0,0,0,0,0,0,2
31,4739,4332,0,0,79,0,1,11,0,34,1,929,68,0,0,25,156,0,0,0,0,882,106,0,3,1,23,38,0,0,48,32,594,0,0,0,0,86,2,1213,0,0,119,0,2,4,0,0,1,0,0,0,2,14,6,3,1,0,6,3,0,0,0,0,0,1,0,0,0,0,0,0,2,2,5,20,0,9,0,0,0,0,30,1,4,0,1,0,0,2,0,0,0,0,0,79,0,0,0,3,0,0,0,0,0,0,0,0,28,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,19,0,0,0,1,0,1,5,5,8,0,0,0,0,0,141,0,0,0,24,0,0,0,0,1,0,0,0,9,5,0,0,0,0,0,3,99,0,0,43,1,1,36,0,0,0,0,2,3,0,0,0,25,17,0,0,0,0,8,0,0,0,0,0,0,0,0,0
32,9649,5229,3,0,131,0,0,104,0,157,3,1372,43,0,0,109,177,1,0,0,1,632,62,0,3,0,16,15,0,0,52,3,893,0,0,0,3,130,2,1317,0,0,94,0,0,2,0,0,1,0,1,0,2,13,12,0,1,1,2,8,3,0,0,0,0,0,0,0,1,1,2,2,4,0,2,14,0,1,0,1,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,2,0,0,0,0,0,0,1,0,8,0,2,0,1,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,1,0,0,4,0,0,0,1,0,0,0,0,1,1,4,0,0,0,0,0,0,168,0,0,0,15,0,0,0,0,0,0,0,0,6,2,0,1,0,0,0,3,141,0,0,4101,1,1,4091,0,2,0,0,1,4,0,0,1,23,13,0,0,0,0,10,0,0,0,0,0,0,0,0,2
33,29182,26764,21,0,263,0,0,101,0,370,133,7883,241,0,0,127,1163,8,1,3,5,4851,351,0,9,0,111,28,0,0,411,163,1948,0,4,9,6,392,33,8127,1,1,444,1,4,4,1,0,1,1,4,0,6,67,35,3,4,1,6,36,0,2,0,0,0,0,0,1,1,0,6,0,16,1,13,57,0,7,5,6,0,0,121,13,8,0,0,0,1,6,1,0,0,5,0,112,0,1,0,3,0,0,0,3,0,0,0,0,2,0,0,1,9,2,0,0,1,18,0,0,0,1,1,0,1,0,0,0,0,9,0,0,3,0,0,1,0,0,0,3,0,5,3,5,38,1,0,1,0,0,500,0,0,1,77,1,0,1,0,0,0,1,1,16,11,0,1,0,0,0,7,383,0,0,1247,7,21,1066,5,2,5,0,9,131,0,0,1,112,81,4,0,0,0,23,0,0,0,1,2,0,1,0,3
34,54419,49026,62,0,303,0,0,235,0,404,113,14480,448,1,1,542,1980,16,5,8,1,7513,815,0,47,0,107,126,1,0,527,52,7754,0,4,53,42,1137,12,12234,2,1,918,7,7,3,9,8,2,4,6,0,5,66,71,7,10,0,17,35,12,10,0,0,1,1,0,0,8,3,19,4,19,68,22,120,0,35,9,12,0,8,210,71,11,0,0,0,3,9,0,0,4,1,1,228,4,0,0,4,0,0,0,4,0,0,0,0,1,1,0,2,26,7,0,0,1,20,3,0,1,1,1,0,4,13,0,1,0,18,1,6,4,1,0,0,0,0,0,2,0,12,3,17,67,0,2,1,0,0,1028,4,0,0,126,5,5,18,0,4,1,0,3,15,66,1,0,0,0,0,2,778,0,0,3038,13,14,2340,2,12,5,1,10,634,0,2,5,166,119,1,0,0,0,42,0,0,0,4,0,0,0,0,15
