都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
29,11014,9401,12,0,53,0,0,39,3,15,36,3100,272,0,0,58,232,19,0,0,0,3922,0,7,0,62,12,0,0,155,41,673,0,1,0,12,190,6,481,0,0,345,1,2,6,6,0,1,1,1,1,8,55,26,0,3,1,5,16,0,0,0,0,0,0,0,0,1,1,3,3,12,2,8,24,0,35,4,12,0,0,92,10,0,0,0,0,2,1,2,0,0,0,0,75,0,1,0,1,0,0,2,0,0,0,1,0,0,0,0,5,0,0,0,3,8,0,0,0,0,0,0,1,0,0,0,0,13,5,1,1,0,0,2,0,0,0,4,0,4,4,4,14,0,0,0,0,1,421,0,0,0,55,1,1,5,0,2,0,0,1,3,17,2,2,0,1,0,0,331,0,0,683,4,40,410,2,11,4,0,5,206,0,0,1,87,48,2,0,0,1,32,0,0,0,0,3,0,0,1,2
30,5981,5490,0,0,7,0,0,5,0,8,2,1395,105,0,0,44,114,3,0,1,0,2419,0,6,2,23,10,0,0,36,3,671,0,0,1,4,414,10,207,0,0,132,0,3,2,1,2,1,3,0,0,0,15,10,1,1,0,4,4,0,1,0,0,1,0,0,0,0,0,0,2,11,0,3,14,0,5,3,1,0,0,36,7,0,0,0,0,0,1,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,206,0,1,0,29,0,0,0,0,1,1,0,1,5,5,1,1,0,0,0,0,161,0,0,89,1,0,72,1,1,0,0,0,14,0,0,0,49,32,0,0,0,0,17,0,0,0,0,0,0,0,0,1
31,3847,3510,0,0,22,0,0,8,0,35,1,1182,43,0,0,22,89,1,0,1,0,1082,0,2,0,24,25,0,0,14,22,499,0,0,0,0,98,2,338,0,0,99,0,1,2,0,0,0,0,0,0,2,12,5,2,1,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,1,0,6,27,0,1,1,0,0,0,27,1,1,0,0,0,0,2,0,0,0,0,0,68,0,0,1,0,0,0,0,0,0,0,0,0,21,0,0,0,2,0,0,0,2,0,0,0,0,0,0,1,2,0,0,0,2,0,0,0,0,0,13,0,0,0,1,0,0,2,4,16,0,0,1,0,0,116,0,0,0,23,0,0,0,0,1,0,0,1,3,2,0,0,0,0,0,2,84,0,0,26,1,1,20,1,1,0,0,1,1,0,0,0,28,17,0,0,0,0,11,0,0,0,0,0,0,0,0,0
32,6262,3949,4,0,30,0,0,50,0,38,10,1745,23,0,0,12,100,0,0,0,1,775,0,2,0,15,17,0,0,15,3,823,0,0,0,2,45,1,238,0,0,87,0,1,1,0,0,0,0,1,0,1,10,8,0,0,0,2,5,1,0,0,0,0,1,0,0,1,0,3,1,1,0,6,19,0,3,0,2,0,0,18,2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,144,0,0,0,13,0,1,0,0,0,0,0,1,6,1,0,1,0,0,0,0,121,0,0,2034,0,0,2022,1,3,0,0,0,8,0,0,0,28,13,1,0,0,0,12,0,0,0,2,0,0,0,0,2
33,21456,19405,14,0,49,0,0,53,0,149,22,8254,153,0,0,80,600,4,0,2,3,5592,0,8,0,116,9,0,0,141,104,1631,0,11,5,6,178,25,2196,0,0,369,1,2,6,1,3,0,1,4,0,2,39,34,2,3,1,2,12,0,1,0,0,3,0,0,0,0,0,6,0,12,3,19,55,0,8,4,3,0,0,114,12,6,0,0,0,0,6,0,0,0,4,0,61,2,0,0,0,0,0,0,1,0,0,1,0,0,0,1,2,1,0,0,0,12,0,0,0,1,1,0,0,0,0,0,0,6,0,0,3,0,0,1,0,0,0,1,0,4,0,5,18,0,0,1,0,0,438,0,0,0,93,1,1,2,0,1,0,1,0,10,10,0,1,0,0,0,1,317,0,0,1084,7,15,910,5,2,0,0,14,129,0,0,2,97,65,3,0,0,0,22,0,2,0,0,5,0,0,0,2
34,41365,36335,35,0,103,0,0,116,0,114,54,13939,251,2,2,316,1074,14,1,5,1,9155,0,35,0,106,66,0,0,185,31,6031,0,4,30,40,755,12,3858,0,0,711,1,3,3,7,10,4,2,8,0,4,51,68,3,8,3,15,30,0,4,0,0,1,3,0,0,8,0,8,1,14,6,21,94,0,36,4,7,0,0,186,76,9,0,0,0,1,8,0,0,2,1,1,199,4,0,0,5,0,0,0,6,0,0,0,0,2,0,1,8,5,0,0,0,19,1,0,0,1,0,0,1,2,0,2,0,15,0,6,0,1,0,0,0,0,0,1,0,3,0,24,88,0,2,1,1,0,987,1,1,1,112,1,3,11,1,2,1,0,2,8,28,0,1,0,0,0,1,813,0,0,2959,10,11,2316,1,14,1,0,8,589,0,1,8,160,102,4,0,0,0,48,0,2,0,3,1,0,0,0,14
35,13442,12655,16,0,12,0,0,44,0,19,8,3245,107,0,2,34,258,2,0,0,0,6558,0,11,0,69,9,0,0,131,6,1084,0,0,0,3,117,6,914,0,0,198,0,1,0,3,1,0,1,4,1,1,14,14,0,2,0,2,11,0,0,0,0,0,1,0,0,0,0,3,3,2,3,8,26,0,13,4,2,0,0,50,22,0,1,0,0,1,2,0,0,0,2,0,23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,1,2,6,0,0,0,0,1,393,0,0,0,52,5,0,1,0,0,0,0,0,8,5,2,0,0,1,0,0,319,0,0,133,3,1,91,2,2,1,0,0,33,0,0,0,39,28,1,0,0,1,5,0,2,1,0,0,0,0,1,1
36,5012,4538,2,0,8,0,0,26,0,85,6,2370,42,0,0,31,169,1,0,2,0,362,0,5,0,57,56,0,0,37,16,652,0,0,2,1,97,1,509,1,0,132,0,1,0,0,0,1,0,0,0,4,12,16,0,1,0,3,1,0,0,0,0,0,0,0,0,1,0,2,1,2,3,14,17,0,5,5,0,0,0,27,8,4,0,0,0,1,2,0,0,0,1,0,58,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,1,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,8,33,0,1,0,0,0,189,0,0,0,45,0,0,0,0,1,0,0,0,1,3,0,0,0,0,0,0,139,0,0,59,1,1,36,1,5,0,0,2,12,0,0,1,35,26,0,0,0,0,7,0,1,0,0,0,1,0,0,1
37,9284,8155,1,0,22,0,0,33,4,204,7,3753,55,0,0,42,469,3,0,0,0,953,0,84,0,28,7,0,0,214,35,1341,0,0,0,1,134,3,762,0,0,189,0,2,0,2,0,1,0,4,3,0,29,10,2,1,0,6,24,1,0,0,0,0,0,0,1,0,0,2,1,4,1,4,10,0,23,0,5,0,0,47,5,0,0,0,0,1,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0,0,1,4,0,0,2,0,0,1,0,0,0,0,0,0,1,3,3,0,0,2,0,0,220,0,0,0,40,1,1,0,0,0,0,0,0,8,3,1,0,1,1,0,1,163,0,0,656,6,4,256,0,6,1,0,1,382,0,0,0,39,26,0,0,0,0,10,0,2,1,0,0,0,0,0,1
38,9606,8796,0,0,19,0,1,15,0,39,6,4348,89,0,0,78,332,1,0,2,0,1353,0,5,0,45,12,0,0,144,15,1163,0,0,1,5,141,5,972,1,4,180,0,2,2,2,3,0,2,1,1,2,24,13,5,2,0,4,13,0,0,0,0,1,1,0,0,1,0,2,1,1,0,5,17,0,13,2,3,0,0,48,3,2,0,0,0,0,1,0,0,1,2,0,38,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,6,0,0,0,1,0,0,0,2,0,3,0,3,0,0,0,1,0,1,0,0,0,1,0,0,9,4,4,0,0,0,0,0,237,1,0,0,36,0,3,5,0,0,0,0,1,7,4,0,0,1,0,0,0,179,0,0,283,4,5,208,0,2,17,0,9,36,0,0,2,70,44,0,0,0,0,26,0,0,0,0,0,0,0,0,2
