都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,ジョージア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,モンテネグロ,セルビア,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,レソト,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,サントメ・プリンシペ,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
39,3541,3129,0,0,14,0,0,26,0,10,6,1156,52,0,0,32,215,6,0,0,0,606,0,0,0,16,7,0,0,36,9,576,0,0,0,2,63,0,297,0,0,109,0,0,1,2,0,0,0,3,0,0,13,5,0,1,0,3,1,0,0,0,0,1,0,0,0,1,0,3,0,2,0,7,5,0,4,3,0,0,0,51,2,0,1,0,0,0,0,0,0,0,0,0,38,0,0,0,1,0,0,0,11,0,0,0,0,1,0,0,5,0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,1,0,0,0,0,165,0,0,0,26,0,1,3,0,0,0,0,2,0,2,0,0,0,0,0,0,131,0,0,32,3,0,21,0,1,0,0,1,6,0,0,0,67,45,0,0,0,0,19,0,0,0,0,2,1,0,0,1
40,58054,53092,116,0,123,3,1,203,0,102,293,19027,731,1,0,248,756,53,1,9,6,17098,0,18,0,242,143,4,1,4275,163,4134,0,41,8,62,489,26,4712,0,3,1759,5,11,27,8,11,2,6,7,0,10,205,140,9,6,4,23,79,5,6,0,0,2,2,0,0,3,3,53,9,37,10,84,246,0,72,47,23,0,0,478,79,26,1,2,2,2,8,0,0,1,5,0,467,7,0,0,11,0,0,0,10,0,1,1,0,11,0,1,13,2,0,0,1,25,3,6,0,3,1,0,21,7,4,1,1,68,1,8,16,2,0,2,0,0,0,16,0,11,17,23,168,0,2,2,1,0,1786,2,1,1,259,8,10,9,0,5,4,0,7,21,68,6,0,0,0,0,3,1382,0,0,585,31,7,266,13,19,6,1,16,218,0,0,8,353,222,8,1,0,0,116,0,3,0,1,0,0,0,2,12
41,4490,4146,22,0,16,0,0,49,0,21,39,1378,36,0,0,15,319,0,0,1,0,756,0,1,0,33,1,0,0,262,11,538,0,0,0,2,63,1,578,0,4,132,0,2,0,4,3,3,1,2,0,2,6,2,1,0,0,5,4,0,0,0,0,0,2,0,0,1,0,2,1,3,0,10,40,0,3,1,1,0,0,29,1,1,0,0,0,2,0,0,0,0,0,0,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,146,0,1,0,19,0,0,0,0,0,0,0,1,2,5,0,0,0,0,0,0,118,0,0,19,1,0,12,2,2,1,0,0,1,0,0,0,36,27,2,0,0,0,7,0,0,0,0,0,0,0,0,0
42,9329,7527,4,0,44,0,0,23,0,144,24,2764,117,0,0,68,198,5,0,0,0,1383,1,4,0,18,12,0,0,291,3,1189,0,1,0,1,88,9,1136,0,0,988,0,2,2,8,3,22,1,12,100,58,25,54,1,7,1,6,34,1,8,0,0,6,162,0,0,0,0,24,14,161,20,105,33,0,5,4,0,0,0,82,17,0,0,0,0,0,9,0,0,0,0,1,86,0,0,0,1,0,0,0,2,0,0,0,0,3,0,0,5,4,0,0,0,20,0,0,0,1,0,0,0,0,0,0,1,7,0,0,1,0,0,3,0,0,0,3,0,0,2,8,24,1,0,0,0,0,591,1,0,1,53,2,0,0,0,2,1,0,2,9,9,2,0,0,0,0,2,507,0,0,48,3,1,28,1,6,1,1,1,5,0,1,0,83,49,0,0,0,0,27,0,0,0,1,5,0,0,1,6
43,10288,9369,24,0,58,0,2,64,1,84,35,4269,222,0,0,26,204,12,0,3,3,1025,0,4,0,32,16,1,2,200,43,1537,0,10,4,18,189,1,1280,0,0,273,0,2,3,4,0,0,0,0,0,1,35,20,2,0,0,8,14,7,0,0,0,0,0,0,0,1,0,5,1,7,2,30,18,0,7,1,3,0,0,90,5,4,1,0,0,0,2,0,0,0,0,0,88,0,0,0,0,0,0,0,0,1,0,1,0,3,0,0,0,2,0,0,0,1,0,0,0,1,1,0,4,0,0,0,0,15,0,0,0,0,0,4,0,0,0,6,0,0,2,6,41,0,0,0,0,0,394,1,0,1,56,0,0,0,0,0,1,1,0,1,12,0,0,0,0,0,0,321,0,0,68,2,1,49,2,3,0,0,1,6,0,1,3,91,51,1,0,0,0,29,0,2,0,2,6,0,0,0,5
44,10231,9193,38,1,38,0,0,87,2,59,118,3242,118,0,2,68,455,16,0,1,0,2244,0,10,1,50,38,0,1,226,36,1121,0,0,0,25,334,1,859,2,0,389,0,2,4,2,0,0,2,4,3,6,20,25,0,1,1,5,16,22,2,0,0,0,6,0,0,1,0,3,8,5,4,6,25,0,16,10,2,0,17,61,0,109,0,0,1,0,0,0,0,0,0,0,67,1,0,6,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,18,0,0,0,0,0,0,2,0,0,4,0,7,0,1,1,0,0,0,0,0,0,0,0,1,2,8,4,0,0,2,0,0,375,0,0,0,58,1,0,1,0,0,1,1,1,1,22,1,0,0,0,0,0,287,0,1,100,7,2,56,1,1,0,3,2,26,0,1,1,107,55,13,0,0,0,21,0,1,0,1,8,0,0,8,0
45,4393,3847,75,0,54,0,0,13,0,29,6,1708,34,0,0,25,273,0,0,1,0,587,0,1,0,12,11,0,0,89,32,557,0,0,1,5,46,2,286,0,0,143,0,0,1,1,1,0,0,1,0,2,11,9,0,0,0,3,14,0,0,0,0,0,0,0,0,0,0,2,0,2,0,13,10,0,1,3,4,0,0,58,5,0,0,0,0,1,1,0,0,0,0,0,43,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,1,5,0,0,0,0,0,0,6,0,0,1,6,11,1,0,1,0,0,255,0,0,0,50,1,1,0,0,1,0,0,0,5,6,2,0,0,0,0,2,187,0,0,42,0,4,25,0,5,2,0,0,6,0,0,0,63,45,2,1,0,0,14,0,0,0,0,1,0,0,0,0
46,6843,6112,7,0,29,0,1,27,0,24,12,2693,131,0,0,11,133,6,0,2,0,523,0,3,0,30,16,0,0,108,37,1566,0,0,2,3,78,4,666,0,0,229,1,2,1,2,5,0,1,4,0,1,25,20,1,1,0,7,10,2,0,0,0,0,0,0,0,0,0,10,0,6,2,8,5,0,10,6,3,0,0,83,8,0,0,0,0,0,5,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,3,2,0,0,0,0,0,1,2,2,0,0,0,5,0,0,1,0,0,0,0,0,0,6,0,2,1,4,12,0,0,0,0,0,326,0,3,0,55,2,1,1,0,1,0,0,2,3,6,0,1,0,0,0,0,251,0,0,58,4,1,29,1,3,0,0,6,12,0,0,2,63,38,4,0,0,1,19,0,0,0,1,0,0,0,0,9
47,12053,7952,42,0,35,0,0,67,0,7,59,1610,595,2,1,286,302,22,1,5,1,965,0,12,0,49,27,0,4,1516,26,1729,0,0,1,29,125,9,422,1,2,662,1,6,11,6,2,1,3,2,3,3,103,74,6,5,0,20,40,8,1,0,0,0,4,0,0,0,0,14,2,15,6,16,62,0,33,19,15,0,0,168,7,2,1,0,0,1,2,0,0,0,0,0,115,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,4,2,0,0,0,6,0,0,0,1,0,0,5,0,10,2,0,12,0,0,1,0,0,7,0,0,0,8,1,0,0,15,22,2,2,8,0,0,2561,1,0,0,112,3,2,5,0,0,0,0,0,8,21,0,0,0,0,0,1,2408,0,0,598,59,8,260,5,10,0,0,3,253,0,0,0,143,81,11,0,0,0,41,0,2,2,0,0,1,0,5,22
未定・不詳,2903,2069,1,2,12,1,0,18,0,20,20,396,172,0,0,72,44,1,0,1,0,677,0,0,0,16,12,0,0,35,6,96,0,8,0,4,73,13,366,2,1,372,2,3,2,3,0,2,3,12,1,3,124,73,0,1,0,8,11,0,0,0,0,0,0,0,0,0,0,3,5,3,2,4,11,0,13,12,4,0,0,63,1,2,0,0,0,1,0,0,0,0,0,0,34,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,5,3,0,0,0,1,0,0,0,0,2,0,2,1,0,0,0,7,0,1,2,0,0,0,0,0,0,0,0,4,1,2,1,0,0,0,0,0,205,0,0,0,40,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,160,0,0,141,6,3,114,1,2,2,0,1,9,0,0,3,82,57,0,0,0,0,24,0,1,0,0,0,0,0,0,0
