prefecture_id,総数,教授,芸術,宗教,報道,高度専門職１号イ,高度専門職１号ロ,高度専門職１号ハ,高度専門職２号,経営・管理,法律・会計業務,医療,研究,教育,技術・人文知識・国際業務,企業内転勤,興行,技能,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
,2172892,7696,435,4385,230,105,431,19,2,16294,146,1011,1759,10012,132816,16091,1910,34649,5061,82712,2555,91108,2684,226131,1413,128329,31949,688502,142199,28030,159937,354291
01,24488,263,5,189,0,5,5,1,0,193,0,48,9,375,1224,133,31,646,18,2979,25,2911,91,3130,29,1536,695,4754,1439,88,317,3349
02,4251,16,0,17,0,0,1,0,0,19,0,4,12,131,109,9,10,81,12,519,20,484,8,326,1,167,32,1111,361,25,107,669
03,5777,15,0,34,0,0,0,0,0,20,0,0,3,109,106,9,1,69,37,903,10,857,8,310,2,136,38,1864,447,19,149,631
04,16543,317,0,155,0,1,0,0,0,84,0,9,10,209,669,47,25,178,59,912,0,906,63,3453,9,973,98,4844,1039,110,375,1998
05,3658,58,1,6,0,1,0,0,0,13,0,0,0,103,85,8,4,51,6,266,13,404,2,466,2,134,17,1258,240,15,87,418
06,6145,21,0,15,0,0,0,0,0,21,0,20,0,86,116,17,3,67,99,493,12,612,8,261,7,168,15,3152,462,24,166,300
07,10669,44,0,15,0,2,0,0,0,28,0,1,13,199,337,53,38,176,57,837,11,928,1,569,9,275,51,4309,1017,74,527,1098
08,52920,187,1,55,0,10,3,0,0,412,0,5,419,308,1766,281,15,785,121,4584,10,5255,152,3416,128,2720,1056,17595,4387,712,6071,2466
09,33361,19,5,35,0,0,0,0,0,180,0,1,9,180,1359,340,10,348,182,1672,34,1817,6,2387,8,1290,1367,13316,2710,505,3995,1586
10,45108,23,0,50,0,0,1,0,0,195,0,4,3,253,1536,80,13,435,196,2627,21,2367,5,1548,7,1511,994,19170,3626,842,7928,1673
11,134374,218,20,141,3,4,18,0,0,1515,0,79,232,390,9862,610,20,2419,112,3566,56,3324,101,12988,29,10697,2348,52825,10269,2535,10887,9106
12,118456,372,23,157,3,2,37,0,0,1202,1,72,52,367,9214,1040,159,1921,61,3985,3,3703,82,13131,24,8928,1724,42932,10275,1962,8997,8027
13,447487,1827,220,1176,206,22,255,14,0,7308,142,170,391,1451,51427,6095,321,12289,48,2593,14,1469,765,80399,237,44507,10781,124309,27591,5569,20373,45518
