prefecture_id,総数,教授,芸術,宗教,報道,高度専門職１号イ,高度専門職１号ロ,高度専門職１号ハ,高度専門職２号,経営・管理,法律・会計業務,医療,研究,教育,技術・人文知識・国際業務,企業内転勤,興行,技能,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
14,176010,383,20,191,4,9,74,2,0,1260,2,141,241,614,15295,2688,128,3469,219,2063,62,1790,188,12383,61,13717,2499,71064,13277,3235,12417,18514
15,13493,69,1,17,0,0,0,0,0,78,0,0,9,120,554,63,17,159,101,684,24,957,14,1871,7,751,76,4769,1279,90,638,1145
16,13580,37,2,10,0,0,0,0,0,99,0,2,6,116,553,50,9,140,71,1438,43,1790,5,595,25,671,88,4604,961,188,1247,830
17,11234,125,2,16,0,2,1,0,0,18,0,4,1,104,359,15,40,155,43,1241,31,1504,33,1665,18,576,49,2617,597,70,596,1352
18,11868,30,0,10,0,0,0,0,0,13,0,0,2,102,170,37,1,60,47,1123,50,1539,9,336,17,193,15,3735,766,92,1349,2172
19,13997,30,0,26,0,0,0,0,0,110,0,3,3,105,499,14,11,465,78,427,6,433,9,1012,15,773,87,6300,1287,182,1566,556
20,31789,44,5,66,0,0,0,0,0,96,0,16,4,184,649,44,17,396,146,2578,15,1734,11,1335,26,838,274,12908,3811,425,3767,2400
21,45193,34,3,36,0,0,2,0,0,72,0,5,2,154,950,81,37,475,176,4178,110,5604,19,1389,16,1110,210,17117,2653,685,5912,4163
22,75319,81,2,62,0,2,3,0,0,134,0,15,16,296,2067,417,29,624,662,2619,113,3602,18,2529,63,1834,414,35379,5970,1315,13432,3621
23,203698,576,23,331,1,9,6,1,0,499,0,16,48,291,7671,1383,41,2680,424,8543,219,10739,119,9291,147,8872,2401,79025,12862,3385,25135,28960
24,42899,20,6,21,0,0,1,0,0,76,0,1,6,144,1074,91,29,343,172,2697,159,3786,13,954,13,1105,298,17228,2565,658,6940,4499
25,24358,52,1,25,0,0,1,0,0,22,0,2,5,144,508,73,4,191,166,1268,13,1477,17,882,31,504,56,8560,1892,305,3822,4337
26,52273,654,22,92,3,9,5,1,0,157,0,112,37,236,1751,101,34,437,53,710,40,804,212,8575,23,1825,504,7800,2063,270,1047,24696
27,207507,533,25,316,7,8,9,0,2,1111,1,123,74,497,10084,673,200,1529,132,3098,60,3191,117,17970,158,7185,2464,44967,9125,2177,9085,92586
28,97043,227,7,352,0,2,3,0,0,406,0,37,83,541,3119,338,64,876,164,2411,66,2713,81,6931,17,3840,542,22933,4177,883,4223,42007
29,11014,41,3,48,1,0,1,0,0,30,0,10,9,63,349,21,6,117,16,562,10,696,52,803,4,381,82,3113,721,81,455,3339
30,5981,10,1,12,1,0,0,0,0,17,0,28,3,72,146,13,5,78,37,293,3,349,3,304,15,83,46,1570,567,39,306,1980
31,3847,28,0,2,0,0,0,0,0,12,0,2,2,71,106,5,5,30,34,390,0,586,5,193,5,139,12,935,235,15,108,927
32,6262,30,0,1,0,0,0,0,0,5,0,1,1,81,96,3,2,40,14,464,12,759,6,248,3,123,16,1846,702,33,1122,654
33,21456,65,2,16,0,1,0,0,0,67,0,13,11,130,749,44,9,197,236,2061,285,2516,52,2780,11,769,144,4520,1172,122,643,4841
34,41365,163,1,43,0,2,0,0,0,71,0,11,6,213,1387,231,88,317,245,4523,415,4805,37,3240,35,1725,247,11448,1754,413,1909,8036
35,13442,28,0,35,0,0,0,0,0,23,0,2,1,70,274,22,16,103,34,1050,9,1163,24,1162,1,339,54,2195,572,62,240,5963
36,5012,42,0,6,0,0,0,0,0,9,0,3,2,85,106,7,9,74,0,884,1,1248,9,274,2,239,126,1110,359,31,168,218
37,9284,22,2,14,0,0,0,0,0,25,0,1,3,63,289,61,11,109,309,1537,257,1429,7,484,13,262,116,2280,563,95,596,736
38,9606,50,2,5,0,0,0,0,0,17,0,0,1,107,419,86,12,114,163,1750,163,2090,6,613,7,409,114,1643,561,48,202,1024
39,3541,22,0,3,0,0,0,0,0,7,0,3,1,105,66,22,9,49,0,359,0,481,8,494,4,83,29,887,306,14,98,491
40,58054,397,19,270,0,9,4,0,0,456,0,25,11,323,3011,279,149,655,69,2189,3,1934,115,14543,38,3987,518,11596,2861,315,1255,13023
41,4490,22,3,12,0,0,0,0,0,14,0,3,1,61,143,6,11,63,43,621,21,699,15,605,6,220,28,956,255,13,110,559
42,9329,51,1,31,0,1,0,0,0,29,0,3,0,179,541,260,59,615,56,953,54,948,15,1820,36,410,157,1697,521,38,156,698
43,10288,61,0,17,0,0,0,0,0,32,0,9,1,136,391,50,60,200,80,1347,48,1610,44,1078,6,515,81,2856,759,76,300,531
44,10231,74,1,41,0,0,1,0,0,40,0,2,2,92,371,17,9,81,30,765,15,1020,6,3509,3,415,52,1628,488,44,191,1334
45,4393,25,0,18,0,0,0,0,0,19,0,0,0,83,140,4,6,70,2,637,0,831,4,434,0,199,13,1075,351,16,92,374
46,6843,39,0,30,0,1,0,0,0,22,0,2,4,121,193,8,14,99,16,937,12,1111,12,619,0,243,24,2232,585,24,259,236
47,12053,217,4,153,0,3,0,0,0,51,0,2,3,140,783,97,17,146,1,215,7,133,34,2308,24,801,248,4232,1546,95,458,335
未定・不詳,2903,34,2,12,1,0,0,0,0,7,0,1,7,8,143,65,102,28,14,161,0,0,73,518,71,151,649,238,173,16,114,315
