id,total,change
,2323428,148959
010006,28189,3190
020001,4512,305
030007,6168,305
040002,18966,1587
050008,3637,58
060003,6230,179
070009,11808,963
080004,56843,3852
090000,35721,2176
100005,48521,3726
110001,149225,12702
120006,130725,10496
130001,486346,37304
140007,185859,11432
150002,14441,628
160008,14774,1077
170003,12282,934
180009,12203,237
190004,14455,686
200000,31307,855
210005,46775,2635
220001,76599,3910
230006,217218,15506
240001,43445,1815
250007,25043,1204
260002,54405,1429
270008,215057,7719
280003,100080,3036
290009,11281,427
300004,6149,167
310000,4091,200
320005,6779,498
330001,23853,1705
340006,45384,3161
350001,14546,800
360007,5369,418
370002,10665,1003
380008,10912,788
390003,3919,251
400009,64213,4516
410004,5143,600
420000,11156,592
430005,11498,892
440001,10993,592
450006,4992,459
460001,7788,656
470007,13863,1288
