都道府県,総数,アジア,アフガニスタン,アラブ首長国連邦,ミャンマー,バーレーン,ブータン,バングラデシュ,ブルネイ,カンボジア,スリランカ,中国,台湾,キプロス,東ティモール,インド,インドネシア,イラン,イラク,イスラエル,ヨルダン,韓国・朝鮮,クウェート,ラオス,レバノン,マレーシア,モンゴル,オマーン,モルディブ,ネパール,パキスタン,フィリピン,カタール,サウジアラビア,シリア,シンガポール,タイ,トルコ,ベトナム,イエメン,パレスチナ,ヨーロッパ,アルバニア,オーストリア,ベルギー,ブルガリア,ベラルーシ,クロアチア,チェコ,デンマーク,エストニア,フィンランド,フランス,ドイツ,ギリシャ,ハンガリー,アイスランド,アイルランド,イタリア,キルギス,カザフスタン,リヒテンシュタイン,ルクセンブルク,ラトビア,リトアニア,モナコ,マルタ,モルドバ,マケドニア,オランダ,ノルウェー,ポーランド,ポルトガル,ルーマニア,ロシア,サンマリノ,スペイン,スウェーデン,スイス,トルクメニスタン,タジキスタン,英国,ウクライナ,ウズベキスタン,アルメニア,アゼルバイジャン,グルジア,スロベニア,スロバキア,ボスニア・ヘルツェゴビナ,セルビア・モンテネグロ,セルビア,モンテネグロ,コソボ共和国,アフリカ,アルジェリア,ブルンジ,ボツワナ,カメルーン,中央アフリカ,チャド,コンゴ共和国,コンゴ民主共和国,カーボベルデ,コモロ,ベナン,ジブチ,エチオピア,エリトリア,ガボン,ガーナ,ギニア,ガンビア,ギニアビサウ,コートジボワール,ケニア,リベリア,リビア,マダガスカル,マリ,モーリタニア,モロッコ,マラウイ,モーリシャス,モザンビーク,ニジェール,ナイジェリア,ナミビア,ルワンダ,セネガル,シエラレオネ,ソマリア,スーダン,スワジランド,セーシェル,タンザニア,トーゴ,チュニジア,ウガンダ,南アフリカ共和国,エジプト,ブルキナファソ,ザンビア,ジンバブエ,アンゴラ,南スーダン共和国,北米,バルバドス,バハマ,ベリーズ,カナダ,コスタリカ,キューバ,ドミニカ共和国,ドミニカ,エルサルバドル,グアテマラ,ハイチ,ホンジュラス,ジャマイカ,メキシコ,ニカラグア,パナマ,セントルシア,セントビンセント,セントクリストファー・ネーヴィス,トリニダード・トバゴ,米国,グレナダ,アンティグア・バーブーダ,南米,アルゼンチン,ボリビア,ブラジル,チリ,コロンビア,エクアドル,ガイアナ,パラグアイ,ペルー,スリナム,ウルグアイ,ベネズエラ,オセアニア,オーストラリア,フィジー,キリバス,マーシャル,ミクロネシア,ニュージーランド,ナウル,パプアニューギニア,パラオ,ソロモン,トンガ,ツバル,バヌアツ,サモア,無国籍
,2049123,1656885,1723,60,8258,20,52,8671,40,2921,8792,647310,29468,20,31,22232,26173,4000,83,491,140,526578,22,2541,99,7946,4958,32,41,27588,10881,206805,21,866,282,2188,40704,2809,61931,51,57,57946,62,506,663,383,288,117,272,472,99,582,8829,5266,216,526,67,1040,2790,230,204,8,33,78,196,1,14,146,33,909,358,1021,411,2191,7409,1,1931,1686,963,37,78,14741,1452,1001,43,54,39,66,215,30,24,145,12,8,11289,156,13,29,357,6,1,31,281,2,1,42,7,326,30,21,1784,267,28,4,107,525,22,40,85,117,13,393,56,56,39,19,2429,6,40,355,44,5,205,4,5,335,28,318,430,534,1461,28,70,100,29,5,61948,22,13,10,9015,147,209,408,10,109,101,20,137,400,1916,69,45,8,6,1,76,49218,2,6,248093,2707,5302,185694,622,2258,212,8,1866,48995,6,99,324,12360,8740,177,6,11,38,3084,3,52,32,36,120,5,2,54,602
01,22783,18852,69,0,36,0,1,109,1,15,52,10098,347,0,0,141,199,19,0,7,6,5103,0,14,2,150,124,0,2,331,118,1249,0,2,7,28,297,13,311,0,1,1473,0,14,11,5,4,5,4,5,1,23,117,99,3,13,6,52,29,5,14,0,1,1,9,0,1,0,0,10,8,48,6,20,505,0,26,18,24,0,0,332,27,15,1,2,2,1,4,1,1,0,0,0,277,0,0,0,3,1,0,0,1,0,0,1,0,13,6,0,12,7,0,1,7,11,0,1,12,1,1,5,3,2,0,0,17,0,2,10,0,0,4,0,0,8,1,1,15,21,99,2,7,2,0,0,1377,1,0,0,270,3,9,1,0,3,3,0,4,9,21,1,2,0,0,0,1,1049,0,0,227,11,9,128,13,12,1,2,11,34,0,2,4,571,400,1,0,0,0,163,0,1,0,1,1,0,1,3,6
02,3947,3369,4,0,2,0,0,7,0,1,1,1354,31,0,0,26,102,2,0,0,0,976,0,2,0,39,6,0,0,37,43,525,0,0,0,3,91,2,115,0,0,131,0,0,0,0,0,0,0,1,0,0,18,10,0,4,0,2,5,0,0,0,0,0,0,0,0,0,0,1,0,1,0,25,27,0,7,1,0,0,0,26,2,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,4,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,1,0,4,0,0,0,0,1,0,365,0,0,0,31,0,0,0,0,1,0,0,0,4,3,0,0,0,0,0,0,326,0,0,29,1,0,19,2,2,0,0,0,5,0,0,0,32,16,0,0,0,0,15,0,0,0,1,0,0,0,0,1
03,5460,4960,28,0,1,0,0,13,0,0,2,2393,60,0,0,15,146,2,0,0,0,1034,0,7,0,27,25,0,0,26,35,923,0,0,0,4,53,0,166,0,0,121,0,0,2,0,0,0,0,1,0,0,8,12,0,0,2,4,4,0,0,0,0,0,1,0,0,0,0,2,0,4,0,9,16,0,1,0,5,0,1,45,4,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,4,0,0,1,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,4,0,0,20,0,0,0,0,0,228,1,0,0,32,0,0,0,0,0,0,0,1,4,7,0,0,0,0,0,0,183,0,0,62,2,0,47,1,4,1,0,3,4,0,0,0,49,30,1,0,0,0,15,0,0,0,1,2,0,0,0,1
04,14508,12726,10,0,9,1,1,131,1,11,48,5397,210,0,0,143,335,49,0,3,4,3990,1,2,0,82,87,2,1,196,152,995,0,2,1,14,247,42,550,8,1,545,1,2,4,3,4,1,10,4,5,17,67,47,1,6,2,12,15,3,0,0,0,1,2,0,0,0,0,4,0,18,0,21,100,0,5,27,4,4,0,119,11,12,1,1,0,0,9,1,0,0,0,1,112,1,0,0,7,0,0,2,8,0,0,1,0,4,1,0,12,1,0,0,1,6,0,6,3,1,0,3,0,0,1,0,8,0,0,2,0,0,1,0,0,1,0,3,1,15,18,0,5,0,0,0,771,1,1,0,127,2,7,2,0,1,1,1,2,17,28,3,1,1,0,0,2,574,0,0,240,6,11,154,6,12,3,0,2,39,0,0,7,104,75,0,1,0,0,23,0,0,0,3,1,0,0,1,10
05,3702,3222,4,0,3,0,1,4,2,0,2,1584,29,0,0,12,33,2,0,3,0,688,0,2,0,52,21,0,0,44,22,598,0,0,0,4,64,0,48,0,0,159,0,0,0,1,0,1,1,3,0,4,12,13,1,0,0,5,2,0,1,0,0,1,3,0,1,0,2,3,14,3,3,8,19,0,5,2,1,0,0,42,5,0,0,0,0,0,3,0,0,0,0,0,30,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,10,0,0,1,0,0,210,0,0,0,27,0,0,0,0,0,2,0,0,2,2,0,0,0,0,0,0,177,0,0,22,0,0,13,2,2,0,0,0,4,0,1,0,58,22,8,0,0,0,17,0,5,0,0,6,0,0,0,1
06,6236,5819,0,0,15,0,0,9,4,3,7,2713,60,0,0,16,64,2,1,2,0,1838,0,4,0,58,7,0,0,36,14,672,0,0,0,9,81,5,197,0,2,104,0,1,1,0,0,0,0,1,2,0,6,7,2,6,0,11,1,0,0,0,0,1,0,0,0,0,0,2,0,0,1,5,12,0,1,1,0,0,0,39,2,0,0,0,0,0,2,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,0,2,0,2,0,1,0,0,0,162,0,0,0,29,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,129,0,0,99,7,1,76,1,0,0,0,2,11,0,0,1,33,17,0,0,0,0,15,0,0,0,0,0,0,0,1,1
07,9489,8508,11,0,33,0,0,17,1,5,25,3578,71,0,0,66,72,6,0,2,0,1771,0,9,1,32,44,0,1,113,70,2122,0,1,2,5,251,1,198,0,0,226,0,0,0,2,1,0,1,1,1,3,9,14,0,2,2,9,3,1,0,0,0,0,0,0,0,1,0,2,1,7,0,6,46,0,3,0,3,0,0,88,15,4,0,0,0,0,1,0,0,0,0,0,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,1,0,6,0,3,6,0,0,0,0,0,372,1,0,0,81,1,1,0,0,2,0,0,0,8,9,0,0,0,0,0,2,267,0,0,250,8,4,189,1,4,2,0,7,35,0,0,0,91,58,5,0,0,0,25,0,0,0,0,3,0,0,0,2
08,50921,39952,106,0,95,0,2,324,0,97,870,13839,907,1,3,667,2004,188,13,11,6,5214,1,239,5,185,123,0,1,403,824,8052,0,5,9,31,4259,49,1417,0,2,1014,1,4,10,5,14,2,7,5,4,6,91,79,7,28,0,17,32,8,24,0,0,4,7,0,2,4,0,17,3,31,9,34,173,0,29,6,10,2,19,216,33,26,2,3,3,9,12,1,1,13,0,1,382,2,0,0,18,0,0,0,1,0,0,3,0,16,3,0,31,7,2,0,2,21,1,1,4,3,0,6,5,0,2,2,66,1,3,4,2,0,9,0,0,3,0,35,41,14,56,0,6,10,2,0,949,0,0,0,158,3,7,11,0,0,6,1,3,5,60,7,0,0,0,0,1,686,0,1,8451,55,95,6522,23,61,2,0,18,1666,0,1,8,163,103,9,0,0,1,35,0,6,0,2,5,0,0,2,10
09,30496,20458,25,0,138,0,0,248,0,15,377,7317,769,0,0,373,409,131,2,4,0,2834,0,26,1,136,78,0,0,572,479,3750,0,15,7,10,1652,9,1081,0,0,388,2,17,4,0,1,1,2,5,7,0,30,31,0,5,0,12,15,5,0,0,0,0,7,0,0,1,0,8,0,5,1,42,51,0,5,7,1,0,0,114,4,4,1,0,0,0,0,0,0,0,0,0,103,1,0,0,12,0,0,0,12,0,0,0,0,3,0,1,7,7,0,0,0,6,0,0,4,1,2,4,3,0,0,1,19,0,0,2,1,0,0,0,0,3,1,1,3,4,3,0,1,1,0,0,569,0,1,0,83,2,2,3,0,1,3,0,4,2,21,0,0,0,0,0,1,446,0,0,8890,112,334,4901,5,39,2,0,75,3412,0,0,10,79,57,2,0,0,0,20,0,0,0,0,0,0,0,0,9
