prefecture_id,総数,教授,芸術,宗教,報道,高度専門職１号イ,高度専門職１号ロ,高度専門職１号ハ,高度専門職２号,経営・管理,法律・会計業務,医療,研究,教育,技術・人文知識・国際業務,企業内転勤,興行,技能,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
,2307388,7666,449,4359,233,544,2011,90,43,20117,147,1340,1616,10772,154021,15966,2077,38600,5060,91796,3078,110959,2813,257739,1617,140245,41578,713604,139746,29900,164880,344322
01,26756,297,7,184,0,13,9,2,0,256,0,60,7,396,1600,149,32,748,11,3380,20,3419,105,3362,23,1715,914,4874,1483,90,318,3282
02,4528,15,0,20,0,2,1,0,0,19,0,2,15,135,126,10,5,86,15,549,20,671,10,343,2,162,63,1122,354,27,123,631
03,6054,18,0,32,0,1,0,0,0,24,0,0,2,107,136,15,2,75,55,831,6,1210,2,302,5,132,38,1876,429,17,136,603
04,18197,311,0,153,0,27,3,0,0,93,0,16,10,215,779,68,21,213,31,1132,0,1244,70,4105,9,1223,115,4908,1022,109,384,1936
05,3731,54,1,6,0,4,1,0,0,15,0,0,0,106,89,9,5,61,8,286,12,422,7,471,2,140,27,1264,231,16,86,408
06,6246,16,0,20,0,2,0,0,0,25,0,22,0,89,132,15,7,71,52,549,21,619,14,279,20,180,29,3145,458,23,155,303
07,11456,42,0,12,0,5,0,0,0,31,0,1,7,191,443,57,15,186,68,976,10,1224,3,710,18,334,101,4299,1048,76,529,1070
08,56153,181,0,68,0,59,13,0,0,507,0,3,371,357,2047,313,10,846,74,4994,18,5996,127,3823,140,3016,1522,18249,4183,731,6088,2417
09,35924,17,4,31,0,1,5,0,0,245,0,4,8,188,1625,422,6,372,142,2086,51,2220,6,2790,10,1498,1923,13581,2571,540,4062,1516
10,48320,17,0,47,0,2,4,0,0,254,0,5,3,266,2044,114,15,528,199,2921,19,2921,7,1832,12,1828,1547,19602,3469,906,8132,1626
11,145997,239,20,147,4,28,125,0,2,1969,2,113,200,451,11351,608,23,2712,108,4232,45,4525,93,15174,41,12040,3364,55784,9917,2759,10953,8968
12,128660,345,14,138,2,26,128,0,2,1556,3,123,61,388,10721,903,195,2196,101,4855,11,4776,86,15384,40,10076,2207,45049,9988,2125,9267,7894
13,483538,1907,247,1099,207,106,1126,79,23,8642,139,214,376,1733,59067,5957,445,13449,86,2621,10,2520,786,92806,217,48504,12166,130762,26835,5926,20532,44951
14,186233,366,23,206,6,44,358,5,10,1536,2,167,232,710,17155,2386,142,3724,302,2509,73,2675,189,14126,74,15353,2951,73499,12927,3559,12800,18124
15,14149,63,0,17,0,3,0,0,0,93,0,0,6,123,559,105,12,170,81,927,24,1005,24,2182,9,712,107,4887,1193,96,647,1104
16,14464,35,2,12,0,7,3,0,0,105,0,4,6,119,586,61,8,144,79,1647,36,1998,5,648,32,722,117,4881,924,195,1275,813
17,12092,133,2,18,0,2,2,0,0,21,0,9,0,109,379,20,22,166,57,1275,51,1786,40,1834,10,602,110,2698,622,72,723,1329
18,12347,24,0,9,0,2,1,0,0,16,0,0,2,111,197,19,2,67,46,1205,58,1655,8,389,12,192,63,3784,753,92,1555,2085
19,14461,31,0,30,1,0,9,0,0,120,0,6,0,114,572,25,6,481,97,440,9,556,7,1069,11,804,138,6353,1222,208,1618,534
20,32743,40,3,80,0,3,4,0,0,120,0,22,3,193,762,59,23,388,182,2987,22,1947,16,1496,27,878,394,13199,3570,444,3564,2317
21,46989,38,3,44,0,2,3,0,0,95,0,4,2,156,1003,89,17,464,91,4115,157,6032,25,1553,15,1136,326,17861,2691,708,6355,4004
22,77584,76,2,57,0,3,15,0,0,138,0,17,15,314,2345,409,30,624,762,3144,108,4012,32,2743,108,1905,541,35893,5779,1405,13609,3498
23,217465,551,25,311,1,30,47,1,0,597,0,23,41,323,9201,1401,35,2659,490,9334,334,12937,103,10881,188,9454,3868,82281,13104,3570,27618,28057
24,43591,20,5,25,0,3,7,0,0,96,0,1,4,150,1198,161,27,332,175,2660,210,4327,14,983,14,1206,457,17185,2528,648,6807,4348
25,24929,52,1,19,0,1,7,0,0,31,0,3,5,147,616,72,6,214,99,1243,32,1775,23,887,39,501,52,8830,1877,324,3882,4191
26,54149,663,19,107,3,36,19,1,0,214,0,114,27,230,2100,113,24,450,60,926,31,990,214,9621,21,1981,741,8098,2109,289,1084,23864
27,214537,543,26,324,8,20,61,0,4,1497,1,210,72,542,12030,661,209,1699,145,3375,80,4058,157,21162,167,7795,2892,46394,9215,2306,9201,89683
28,99938,229,5,346,0,13,22,1,1,479,0,47,74,551,3566,347,60,900,191,2569,63,3448,81,8477,24,4060,655,23659,4113,909,4154,40894
