prefecture_id,総数,教授,芸術,宗教,報道,高度専門職１号イ,高度専門職１号ロ,高度専門職１号ハ,高度専門職２号,経営・管理,法律・会計業務,医療,研究,教育,技術・人文知識・国際業務,企業内転勤,興行,技能,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
29,11254,37,2,47,1,2,2,0,0,40,0,19,16,70,411,26,4,131,13,564,6,794,83,910,4,434,101,3087,749,84,418,3199
30,6162,11,0,11,0,3,0,0,0,19,0,24,4,70,172,13,3,87,29,346,10,392,6,339,16,112,47,1604,561,35,331,1917
31,3999,26,0,4,0,1,0,0,0,15,0,2,0,72,110,4,7,41,35,408,7,665,5,192,6,161,9,969,231,15,109,905
32,6902,27,0,1,0,0,0,0,1,9,0,1,0,84,116,13,1,43,17,553,8,779,13,274,2,169,13,1856,776,40,1476,630
33,22956,73,2,17,0,2,1,0,0,99,0,18,8,139,865,39,39,233,211,2189,257,3037,60,3224,13,858,226,4636,1216,135,642,4717
34,44365,153,1,48,0,9,8,0,0,93,0,18,6,223,1654,269,63,331,300,4698,466,6056,40,3673,61,1950,609,11814,1686,445,1931,7760
35,14167,31,0,31,0,1,1,0,0,32,0,2,1,83,312,33,19,112,54,1230,12,1429,25,1436,6,385,80,2278,538,62,245,5729
36,5203,39,0,7,0,1,0,0,0,19,0,6,0,89,107,16,24,84,10,782,0,1392,5,313,4,253,159,1128,359,35,168,203
37,10313,13,2,12,0,1,0,0,0,23,0,1,3,63,320,58,9,108,197,1579,316,1954,11,562,18,266,403,2405,557,107,620,705
38,10488,46,1,4,0,1,1,0,0,23,0,0,1,104,421,93,34,110,151,1980,225,2455,17,544,9,427,313,1726,544,46,219,993
39,3763,23,0,4,0,1,0,0,0,8,0,6,1,108,71,25,6,58,0,411,0,538,10,605,5,86,28,909,287,14,93,466
40,61578,364,15,292,0,30,17,0,0,643,0,27,12,314,3738,263,159,667,129,2822,15,2604,117,15248,46,4031,627,12084,2955,384,1301,12674
41,4819,21,2,12,0,1,0,0,0,15,0,6,3,61,171,7,21,62,20,719,9,846,16,690,14,203,33,979,254,14,106,534
42,11343,54,1,33,0,2,2,0,0,42,0,2,1,180,645,298,59,1873,42,899,82,1435,15,1841,57,432,224,1716,535,41,165,667
43,10859,67,1,20,0,3,3,0,0,34,0,10,0,139,419,49,59,168,7,1558,102,1879,21,1111,2,524,137,2885,760,80,303,518
44,10802,62,0,43,0,3,1,0,0,54,0,4,2,83,406,31,27,87,7,962,11,1204,4,3613,3,396,107,1690,448,52,204,1298
45,4787,28,0,16,0,1,0,0,0,26,0,1,1,85,152,4,9,74,9,751,0,960,4,566,6,203,15,1094,325,15,87,355
46,7394,43,0,36,0,1,1,0,0,23,0,2,1,120,247,12,9,126,16,1121,20,1294,12,644,0,263,30,2239,607,29,264,234
47,13214,207,6,153,0,36,1,0,0,97,0,1,3,154,1175,102,18,157,1,334,1,274,39,2331,11,836,344,4429,1612,92,462,338
未定・不詳,1789,18,7,6,0,0,0,1,0,9,0,0,4,17,80,43,103,23,5,122,0,4,56,191,44,107,645,59,131,5,79,30
