id,total,change
,124776364,-433239
010006,5268352,-39461
020001,1287029,-16639
030007,1243012,-14767
040002,2281915,-10066
050008,996292,-15005
060003,1088125,-12213
070009,1887006,-19890
080004,2871183,-17986
090000,1935463,-11432
100005,1924605,-12471
110001,7200193,1364
120006,6157685,2044
130001,13189049,73205
140007,8976954,4184
150002,2242517,-23213
160008,1045031,-7837
170003,1130737,-6058
180009,771847,-5483
190004,817065,-6668
200000,2066413,-14762
210005,1990598,-14583
220001,3637196,-23144
230006,7311801,-4719
240001,1773994,-12604
250007,1390806,-2282
260002,2494923,-11278
270008,8613021,-18154
280003,5462316,-23336
290009,1350265,-9670
300004,958055,-10693
310000,561445,-5050
320005,677251,-6285
330001,1883926,-11099
340006,2787086,-13444
350001,1366822,-13968
360007,744521,-7298
370002,974869,-6804
380008,1369853,-12895
390003,713006,-8026
400009,5055178,-4559
410004,822443,-5163
420000,1355223,-13923
430005,1764768,-11005
440001,1147448,-9834
450006,1097293,-9016
460001,1633098,-13817
470007,1458686,2564
