id,total,change
,125891742,-271834
010006,5376211,-32545
020001,1334258,-15097
030007,1283607,-11734
040002,2307087,-5092
050008,1039436,-13552
060003,1123509,-11204
070009,1942854,-12485
080004,2917240,-13872
090000,1965319,-7831
100005,1960525,-9367
110001,7186890,8713
120006,6145670,2953
130001,12966307,86164
140007,8961724,11064
150002,2305622,-18690
160008,1066463,-6168
170003,1145694,-3403
180009,787254,-4912
190004,836015,-6084
200000,2107214,-11483
210005,2032055,-12060
220001,3697930,-16860
230006,7307924,10632
240001,1808398,-10444
250007,1396024,-1759
260002,2521866,-5831
270008,8658164,-9251
280003,5524043,-19128
290009,1376964,-7891
300004,988335,-9568
310000,575418,-4136
320005,695113,-5378
330001,1911633,-7004
340006,2820988,-9005
350001,1406035,-12416
360007,765106,-6521
370002,992511,-4206
380008,1405873,-11306
390003,736391,-7225
400009,5062751,-521
410004,837914,-5210
420000,1393539,-11594
430005,1799737,-8681
440001,1173560,-7161
450006,1123545,-7796
460001,1672370,-12422
470007,1448656,5533
