prefecture_id,総数,教授,芸術,宗教,報道,高度専門職１号イ,高度専門職１号ロ,高度専門職１号ハ,高度専門職２号,経営・管理,法律・会計業務,医療,研究,教育,技術・人文知識・国際業務,企業内転勤,興行,技能,技能実習１号イ,技能実習１号ロ,技能実習２号イ,技能実習２号ロ,文化活動,留学,研修,家族滞在,特定活動,永住者,日本人の配偶者等,永住者の配偶者等,定住者,特別永住者
,2382822,7463,438,4428,246,731,2813,132,63,21877,148,1342,1609,11159,161124,15772,2187,39756,4943,97642,3207,122796,2704,277331,1379,149303,47039,727111,139327,30972,168830,338950
01,28869,304,7,190,0,19,9,4,0,281,0,54,8,417,1815,168,42,1003,15,3347,13,3401,89,3696,24,1783,2008,5023,1497,91,330,3231
02,4568,15,0,23,0,2,1,0,0,19,0,2,16,143,151,10,7,81,10,589,19,653,10,352,3,156,74,1111,345,27,129,620
03,6275,16,1,31,0,1,1,1,0,22,0,0,1,109,156,17,4,91,51,886,12,1291,4,318,4,156,58,1874,424,19,130,597
04,19314,299,0,170,0,43,5,0,0,106,0,9,9,223,812,88,16,226,71,1370,1,1397,59,4637,8,1288,121,4955,975,106,402,1918
05,3695,54,1,6,0,4,1,0,0,19,0,0,0,111,96,5,5,68,6,317,3,443,3,373,2,143,29,1285,225,16,79,401
06,6378,17,0,18,0,3,2,0,0,23,0,17,0,98,171,15,7,73,39,580,30,662,11,296,16,181,37,3158,430,25,175,294
07,12068,46,0,14,0,5,0,0,0,39,0,1,8,197,488,52,15,172,96,1213,8,1373,7,767,13,363,153,4301,1070,75,532,1060
08,58182,170,0,68,0,88,24,0,1,554,0,8,374,360,2128,324,78,866,78,5051,17,6364,143,4382,62,3229,1847,18498,4104,769,6223,2372
09,36654,18,5,32,1,1,9,0,0,266,0,4,6,186,1728,415,12,381,135,2170,38,2363,9,2801,18,1668,1993,13730,2534,574,4049,1508
10,50220,17,0,54,0,3,9,0,0,282,0,3,3,286,2246,148,14,563,127,2968,17,3133,9,2067,8,2069,1993,19861,3475,934,8324,1607
11,152486,197,19,148,3,35,157,0,2,2175,2,117,219,459,12023,616,22,2865,114,4750,62,5169,83,16269,102,13073,3828,57075,9912,2916,11181,8893
12,133071,351,14,143,2,29,166,1,3,1714,2,131,55,390,11199,857,157,2294,121,4882,12,5514,83,16207,41,10898,2341,46088,9887,2223,9475,7791
13,500874,1865,245,1131,220,151,1618,112,33,9242,139,240,363,1811,61367,5909,340,13684,72,2693,8,2996,724,100135,159,51589,12674,133457,26659,6122,20728,44388
14,191741,342,17,210,6,55,465,6,13,1703,3,169,222,727,17826,2454,188,3850,419,2916,65,3246,230,14968,76,16384,2985,74742,12884,3755,12968,17847
15,14731,65,0,17,0,4,0,0,0,95,0,0,6,126,564,108,9,174,72,1005,22,1226,22,2286,4,766,251,4939,1167,95,623,1085
16,15052,34,2,12,0,7,4,0,0,107,0,3,6,120,601,60,8,154,87,1715,64,2248,8,655,27,740,176,5031,899,206,1290,788
17,12537,129,2,14,0,5,2,0,0,25,0,9,0,110,406,25,26,167,53,1377,24,1934,40,1951,3,645,133,2745,619,87,698,1308
18,12607,23,0,8,0,2,1,0,0,16,0,0,2,123,198,26,6,74,28,1299,62,1737,11,389,18,197,116,3850,732,86,1546,2057
19,14920,25,0,30,1,1,11,0,0,135,0,5,0,112,599,31,11,500,105,502,12,635,8,1145,9,839,145,6428,1230,203,1671,527
20,32483,41,3,75,0,6,4,0,0,131,0,22,1,201,814,60,26,426,167,1736,28,2158,17,1688,31,918,784,13342,3507,449,3583,2265
21,48465,33,3,45,0,2,2,0,0,101,0,3,2,152,1065,85,24,443,100,4243,149,6299,22,1771,33,1140,453,18379,2707,701,6576,3932
22,79836,68,2,63,0,4,22,0,1,149,0,14,13,319,2466,412,31,633,662,3277,127,4628,25,2906,66,1993,686,36377,5853,1432,14154,3453
23,224424,540,24,321,1,33,67,2,1,643,0,25,42,334,9714,1286,150,2675,437,9891,362,13805,105,11858,188,10043,4283,84389,13196,3621,28829,27559
24,44913,20,4,30,0,1,7,0,0,101,0,2,2,156,1258,158,3,313,199,2866,229,4496,15,1012,9,1246,557,17521,2597,654,7190,4267
25,25838,45,1,19,0,1,7,0,0,30,0,3,6,150,655,70,3,208,105,1628,40,1925,24,913,38,518,76,9022,1865,341,4044,4101
26,55111,655,18,83,4,41,25,1,1,252,0,102,30,234,2196,108,29,457,67,1002,28,1193,196,10312,35,2069,713,8198,2170,310,1081,23501
27,217656,546,25,336,5,26,99,2,6,1681,2,215,72,576,12516,677,191,1803,104,3694,93,4584,170,22758,127,8469,2942,47040,9164,2382,9227,88124
28,101562,231,4,342,0,21,36,2,1,494,0,43,68,577,3706,313,48,938,222,2983,91,3872,80,8982,28,4198,773,23935,4123,956,4171,40324
29,11421,43,3,48,0,2,2,0,0,43,0,14,23,71,420,30,4,120,12,688,3,848,40,988,2,449,102,3105,762,90,421,3088
30,6233,10,1,10,0,5,0,0,0,22,0,24,3,72,177,11,2,82,14,369,9,404,7,396,9,124,72,1607,554,33,332,1884
31,4156,24,1,4,0,1,0,0,0,19,0,2,0,79,136,3,10,46,29,487,7,691,7,220,6,163,12,972,225,15,105,892
32,7120,28,0,1,0,0,0,0,1,8,0,1,0,89,116,6,3,48,24,620,8,883,18,282,0,185,17,1882,744,37,1503,616
33,24146,70,2,16,0,3,2,0,0,104,0,18,7,174,893,50,48,255,199,2595,243,3236,45,3549,10,891,292,4742,1200,144,697,4661
34,46047,143,0,43,0,10,11,0,0,100,0,19,7,238,1706,187,88,320,237,4928,410,6736,38,4117,32,2028,830,12003,1722,473,1978,7643
35,14743,29,0,36,0,1,1,0,0,31,0,2,1,88,322,29,46,113,26,1424,43,1674,24,1562,5,379,112,2324,524,60,255,5632
36,5476,32,0,6,0,2,0,0,0,24,0,6,0,88,115,18,25,94,11,1012,0,1353,4,316,6,255,218,1139,364,37,156,195
37,10723,13,1,15,0,1,0,0,0,26,0,1,2,66,329,51,10,95,165,1652,317,2196,8,569,11,259,470,2463,544,115,655,689
38,11020,44,1,4,0,2,2,0,0,27,0,0,1,114,408,99,8,124,130,1998,284,2917,14,537,6,394,369,1759,550,50,213,965
39,3997,23,0,2,0,1,0,0,0,7,0,6,1,109,73,20,5,69,3,466,0,597,12,676,3,94,35,939,289,12,94,461
40,64998,364,14,286,1,41,27,1,0,720,0,22,13,317,3942,281,187,683,202,3123,35,3295,119,16739,49,4238,666,12454,2964,394,1313,12508
41,5203,20,1,12,0,1,1,0,0,20,0,7,2,64,173,7,22,68,32,846,9,962,20,751,9,219,54,1007,255,12,117,512
42,11735,58,1,36,0,2,1,0,0,44,0,2,2,180,685,270,59,1801,46,1045,90,1555,13,1897,29,452,332,1730,531,44,174,656
43,11662,70,4,21,0,3,4,0,0,34,0,10,0,141,439,54,63,169,23,1874,87,2251,22,1113,6,518,166,2929,755,75,314,517
44,11149,55,0,43,0,3,2,0,0,56,0,3,2,84,451,30,49,85,8,995,6,1403,14,3601,0,418,136,1712,452,52,219,1270
45,5100,22,0,15,0,1,0,0,0,28,0,1,1,83,159,4,22,75,0,832,0,1118,12,617,4,218,14,1097,330,18,87,342
46,7954,41,0,42,0,3,2,0,0,25,0,2,1,122,250,13,13,134,16,1248,18,1551,11,699,7,262,42,2294,605,30,289,234
47,14285,191,5,149,1,56,4,0,0,123,0,1,4,145,1335,91,25,179,0,489,2,381,52,2777,19,897,273,4541,1640,102,464,339
未定・不詳,1124,17,7,6,1,0,0,0,0,11,0,0,5,28,31,21,26,14,4,1,0,0,17,31,14,99,598,58,67,4,36,28
