id,total,change
,2003379,-2352
010006,21966,336
020001,3895,41
030007,5377,85
040002,14930,982
050008,3688,13
060003,6030,-78
070009,9502,438
080004,49574,-35
090000,29858,231
100005,40593,103
110001,120232,3978
120006,106357,1722
130001,394410,3735
140007,160605,-629
150002,12965,-45
160008,12920,-500
170003,10431,-173
180009,11163,-606
190004,13323,-488
200000,29929,-1452
210005,43474,-1611
220001,71561,-4724
230006,189664,-2451
240001,41284,-532
250007,23824,-394
260002,51337,-491
270008,200180,-1230
280003,94983,-1345
290009,10841,-66
300004,5781,119
310000,3793,-112
320005,5300,-43
330001,20666,-303
340006,37777,-458
350001,13178,-211
360007,4888,-29
370002,8361,155
380008,8661,-215
390003,3348,-10
400009,55272,2492
410004,4245,-24
420000,7683,563
430005,9410,349
440001,9699,-198
450006,4173,102
460001,6362,78
470007,9886,579
